block	time	key
0	2.33450293541	left
0	9.99030280113	right
0	16.378841877	left
0	22.6682209969	right
0	30.0407919884	left
0	46.0874938965	right
0	53.0436480045	left
0	59.6657788754	right
0	67.1217639446	left
0	82.2519059181	right
0	94.1109638214	left
0	98.7819077969	right
0	110.008012772	left
0	115.512757778	right
1	4.74765300751	left
1	12.1048870087	right
1	18.6427698135	left
1	25.6161549091	right
1	34.4227387905	left
1	52.5212709904	right
1	66.8174037933	left
1	92.95566082	right
2	15.0225851536	right
2	21.8109650612	left
2	28.5665049553	right
2	36.7741999626	left
2	46.0985729694	right
2	52.2032711506	left
2	59.1767480373	right
2	65.0814831257	left
2	78.0082800388	right
2	96.5410060883	left
2	118.809852123	right
