block	time	key
-1	3.28127503395	left
-1	5.48349094391	right
-1	7.76907396317	right
-1	9.8041498661	right
-1	11.8057899475	left
-1	13.373664856	left
-1	15.0076889992	left
-1	16.3589599133	left
-1	18.8618400097	left
-1	21.1976380348	right
-1	23.3148128986	right
-1	25.0161449909	right
-1	26.9018030167	right
-1	28.9530580044	right
0	3.4107530117	right
0	5.82969403267	right
0	8.56459307671	right
0	10.7670331001	left
0	13.5854260921	left
0	20.6414411068	right
0	22.9932820797	left
0	24.0440630913	right
0	25.7464239597	left
0	27.7317581177	right
0	32.7353689671	left
0	38.9407379627	right
0	41.5097150803	left
0	44.1282720566	right
0	47.4139750004	right
0	49.6834909916	left
0	51.4506080151	right
0	53.4194579124	left
0	55.5713059902	right
0	56.9553439617	left
0	58.089703083	right
0	59.407433033	right
0	62.0935399532	left
0	63.3608949184	right
0	64.5622999668	left
0	65.696532011	right
0	67.2808821201	left
0	70.8169879913	right
0	79.1415159702	right
0	84.6621379852	left
0	87.5483210087	right
0	90.2667329311	left
0	92.9198760986	right
0	95.3887250423	left
0	98.9241449833	left
0	107.848649025	right
0	110.266880989	left
0	111.468127012	right
0	114.738117933	left
