TrialNumber,SpeedUpTimeCalc,TrialStart,SpeedUpTimeAct,RespScreenOnset_to_Resp,StimOnset_to_Resp,Prestim_Interval
1,1.74594942121769,3.29802049999125,1.75215429998934,0.38356339999882,2.13593989999208,1.35
2,1.74116775495687,8.9387252000015,1.74856050001108,0.500468500002171,2.24923080000735,1.52
3,1.62476190811165,14.2058426000003,1.63566859999264,0.483560799999395,2.11951930000214,1.65
4,1.18900039019445,19.0236192000011,1.20427370000107,0.482964700000593,1.68776619998971,1.38
5,1.60602824584726,23.4826815999986,1.61643009999534,0.447764099997585,2.06619469998986,1.42
6,1.91590849669673,28.5526363999961,0,NaN,NaN,1.57
7,1.67134122177033,0,0,0,0,0
8,1.25476814275938,0,0,0,0,0
9,1.10393822197637,0,0,0,0,0
10,1.38709439457002,0,0,0,0,0
11,2.42094170624225,0,0,0,0,0
12,1.75882521593737,0,0,0,0,0
13,1.22781407158138,0,0,0,0,0
14,1.45187275936362,0,0,0,0,0
15,1.35764729801747,0,0,0,0,0
16,1.70675931167595,0,0,0,0,0
17,1.06523468288773,0,0,0,0,0
18,1.67724974081497,0,0,0,0,0
19,1.8716159385529,0,0,0,0,0
20,1.34495202914356,0,0,0,0,0
21,2.00534671482552,0,0,0,0,0
22,1.91775598819923,0,0,0,0,0
23,1.05958117260623,0,0,0,0,0
24,1.21901583669873,0,0,0,0,0
25,1.59113083960535,0,0,0,0,0
26,1.98714316028106,0,0,0,0,0
27,1.72345825480833,0,0,0,0,0
28,2.48889607832526,0,0,0,0,0
29,2.31478650275925,0,0,0,0,0
30,1.90804504036704,0,0,0,0,0
31,1.66551951549626,0,0,0,0,0
32,1.26992378367554,0,0,0,0,0
33,2.03802358936758,0,0,0,0,0
34,2.08105456523231,0,0,0,0,0
35,1.18250886797511,0,0,0,0,0
36,1.50587967359522,0,0,0,0,0
37,1.94708484702478,0,0,0,0,0
38,1.95560221674256,0,0,0,0,0
39,1.34295448755105,0,0,0,0,0
40,1.95417077785673,0,0,0,0,0
41,1.70267157983919,0,0,0,0,0
42,1.82167535210413,0,0,0,0,0
43,2.17468613421073,0,0,0,0,0
44,2.43618608640912,0,0,0,0,0
45,1.48046160229297,0,0,0,0,0
46,2.12999083420905,0,0,0,0,0
47,2.1389291703532,0,0,0,0,0
48,2.19358220239077,0,0,0,0,0
49,1.26631892304331,0,0,0,0,0
50,1.22451381417049,0,0,0,0,0
51,1.04038761487732,0,0,0,0,0
52,1.99093763479031,0,0,0,0,0
53,2.06686016601167,0,0,0,0,0
54,1.64295401644055,0,0,0,0,0
55,1.70691812763479,0,0,0,0,0
56,2.45212633145469,0,0,0,0,0
57,1.97365598480827,0,0,0,0,0
58,2.22273725068697,0,0,0,0,0
59,1.58183143801852,0,0,0,0,0
60,1.83763937996986,0,0,0,0,0
61,1.46453096531785,0,0,0,0,0
62,2.47699845075191,0,0,0,0,0
63,1.17738542319109,0,0,0,0,0
64,1.37686181854898,0,0,0,0,0
65,1.38525266270425,0,0,0,0,0
66,1.39792012734048,0,0,0,0,0
67,2.45768554925762,0,0,0,0,0
68,2.09464285814538,0,0,0,0,0
69,1.78692238656576,0,0,0,0,0
70,2.36888716110118,0,0,0,0,0
71,2.18536900597006,0,0,0,0,0
72,1.60470771414006,0,0,0,0,0
73,1.46827602232483,0,0,0,0,0
74,2.48316877746492,0,0,0,0,0
