CatchTime,CatchType,Accuracy,ResponseTime
10,4,0,0
20,4,0,0
22,1,1,0.0115330191329122
24,3,1,0.043472683057189
26,1,1,0.0418773666024208
30,4,0,0
36,2,1,0.00143443886190653
40,4,0,0
46,1,1,0.0298629840835929
48,4,0,0
56,3,0,0
60,1,1,0.0885080052539706
62,4,0,0
64,3,0,0
72,2,1,0.0587402088567615
76,2,1,0.0536651238799095
78,3,0,0
84,4,0,0
86,4,0,0
94,2,1,0.0561102759093046
100,1,1,0.0584906656295061
104,2,1,0.110755647532642
112,4,0,0
114,2,1,0.0902007417753339
118,2,1,0.0010219682008028
124,1,1,0.00103352963924408
126,2,1,0.00101494882255793
130,3,0,0
132,1,1,0.00100360624492168
134,1,1,0.109496961347759
150,3,0,0
154,2,1,0.056918503716588
156,1,1,0.0480232676491141
162,1,1,0.0638794424012303
164,3,0,0
178,3,0,0
188,4,0,0
190,3,0,0
194,2,1,0.0557893430814147
202,3,0,0
