CatchTime,CatchType,Accuracy,ResponseTime
8,2,1,0.00830249697901309
12,1,1,0.00608134397771209
14,3,0,0
18,4,0,0
24,4,0,0
28,1,1,0.117875683004968
30,1,1,0.102147365920246
34,3,0,0
36,2,1,0.107356794993393
38,3,0,0
42,4,0,0
48,2,1,0.042072732001543
50,4,0,0
52,3,0,0
54,3,0,0
66,2,1,0.0489037140505388
72,3,0,0
74,2,1,0.0215778170386329
78,4,0,0
82,4,0,0
90,2,1,0.0322367519838735
96,4,0,0
104,4,0,0
108,1,1,0.101556050940417
112,1,1,0.0408578719943762
116,1,1,0.0498430009465665
124,2,1,0.00603530206717551
130,1,1,0.109127087984234
138,1,1,0.0470281570451334
146,2,1,0.0921315980376676
150,3,0,0
156,1,1,0.0320878439815715
158,4,0,0
160,4,0,0
162,3,0,0
172,3,0,0
178,2,1,0.0749998240498826
196,3,0,0
206,1,1,0.0591081450693309
208,2,1,0.102210855926387
