CatchTime,CatchType,Accuracy,ResponseTime
2,2,1,0.0476268059574068
8,4,0,0
22,1,1,0.00152325897943228
36,1,1,0.0223846389562823
40,4,0,0
56,1,1,0.0437184239854105
60,2,1,0.0356318110134453
66,3,0,0
68,3,0,0
72,2,1,0.0487407059990801
78,3,0,0
82,2,1,0.104550915013533
84,3,0,0
86,2,1,0.0802420989493839
90,3,0,0
92,3,0,0
94,3,0,0
100,4,0,0
102,3,0,0
104,3,0,0
112,4,0,0
116,2,1,0.0143457500380464
120,1,1,0.088112703000661
122,2,1,0.0669896219624206
124,1,1,0.0774267070228234
130,2,1,0.0814548470079899
138,1,1,0.0808278799522668
142,4,0,0
148,2,1,0.09068575699348
158,4,0,0
162,1,1,0.0543536879704334
164,2,1,0.0590627260389738
166,4,0,0
174,4,0,0
176,3,0,0
178,4,0,0
186,1,1,0.109605711011682
196,4,0,0
200,1,1,0.0329701419686899
204,1,1,0.0803320949780755
