CatchTime,CatchType,Accuracy,ResponseTime
4,1,1,0.00225352961570024
6,3,0,0
12,3,0,0
18,2,1,0.105364198796451
22,2,1,0.00112832663580775
24,4,0,0
26,2,1,0.099169610068202
36,1,1,0.0624339422211051
40,1,1,0.10517970379442
48,3,0,0
60,4,0,0
66,2,1,0.073387292213738
68,1,1,0.103184117935598
70,1,1,0.00110858818516135
76,2,1,0.0172712900675833
84,4,0,0
92,4,0,0
98,3,0,0
100,1,1,0.0436968328431249
102,2,1,0.0651709921658039
104,3,0,0
106,3,0,0
108,4,0,0
112,1,1,0.0516923489049077
114,4,0,0
116,2,1,0.0145646692253649
130,1,1,0.0334208179265261
134,4,0,0
140,2,1,0.00396322505548596
142,3,0,0
148,1,1,0.0515779401175678
150,2,1,0.104744113050401
158,4,0,0
160,2,1,0.00384779507294297
176,3,0,0
188,4,0,0
190,4,0,0
198,3,0,0
200,3,0,0
208,1,1,0.075937950052321
