CatchTime,CatchType,Accuracy,ResponseTime
2,3,0,0
4,2,1,0.119415462999996
6,4,0,0
18,2,1,0.0765671059999704
22,3,0,0
26,4,0,0
34,1,1,0.00153140300000132
40,3,0,0
42,1,1,0.0789892230000078
56,2,1,0.049532370999998
64,2,1,0.00111911900000905
66,2,1,0.0843300330000147
72,3,0,0
76,2,1,0.0765337049999744
86,4,0,0
92,1,1,0.00109949800003051
98,1,1,0.00104354099994453
100,1,1,0.0689644059999637
102,1,1,0.0889049300000124
104,3,0,0
106,4,0,0
110,3,0,0
112,2,1,0.0870749189999742
114,1,1,0.0631405550000181
116,1,1,0.00104584700000032
130,1,1,0.037088160000053
132,2,1,0.0586772629999928
136,4,0,0
144,4,0,0
150,4,0,0
156,4,0,0
158,2,1,0.0736378249999916
164,2,1,0.0627190719999362
184,3,0,0
186,3,0,0
188,3,0,0
194,4,0,0
200,3,0,0
204,4,0,0
206,1,1,0.0336060189999898
