CatchTime,CatchType,Accuracy,ResponseTime
2,1,1,0.0602349443361163
8,4,0,0
14,4,0,0
18,4,0,0
22,1,1,0.0538575323298573
24,4,0,0
30,3,0,0
36,2,1,0.10973204113543
42,2,1,0.0669397292658687
44,1,1,0.00914398301392794
46,3,0,0
56,3,0,0
64,3,0,0
66,3,0,0
68,1,1,0.0583963748067617
78,4,0,0
84,3,0,0
86,1,1,0.00100553594529629
96,2,1,0.0116841103881598
114,2,1,0.00102890376001596
116,1,1,0.00099753774702549
120,3,0,0
132,2,1,0.0116528877988458
134,3,0,0
136,2,1,0.00104119069874287
140,4,0,0
142,4,0,0
146,2,1,0.00896729063242674
148,4,0,0
150,3,0,0
156,1,1,0.022187408991158
162,3,0,0
166,1,1,0.00380233861505985
168,4,0,0
178,2,1,0.0589658915996552
180,1,1,0.0405661398544908
194,1,1,0.0697403643280268
198,4,0,0
204,2,1,0.0718790041282773
208,2,1,0.043160816654563
