PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StairNum,StimPresTime,StimPresLength,Response,ReationTime,Accuracy,StepLevel
1,62,1,2,2,1.99847847906494,0.200612125590851,2,0.244036999996752,1,8.75
2,108,1,1,4,3.84984107906348,0.199743498829775,1,0.0173575988446828,1,15
3,99,1,1,3,5.50057105347514,0.200133784885111,1,0.213884172102553,1,8.75
4,63,1,2,3,7.31857230231253,0.200658827918232,2,0.116068772098515,1,7.25
5,17,1,1,1,9.05316512673016,0.200248399996781,1,0.116434800002025,1,8.75
6,79,1,2,3,10.788217379064,0.200149993019295,2,0.038827908145322,1,5.75
7,114,1,1,2,12.4389791534777,0.200158177904086,1,0.0916339569885167,1,7.25
8,44,1,1,4,14.1402316069652,0.199818623244937,1,0.150442010475672,1,15
9,24,1,2,4,15.8915006802199,0.200625583733199,2,0.0303831569835893,1,15
10,18,1,1,2,17.5260309267323,0.200141951165278,1,0.643933652325359,1,5.75
11,28,1,1,4,19.778205879069,0.2001422558169,1,0.256155198847409,1,15
12,95,1,2,3,21.6461618790636,0.200032115120848,2,0.00486895233188989,1,4.75
13,97,1,1,1,23.2806702790695,0.199655801159679,1,0.0422500767599558,1,7.25
14,117,1,2,1,24.9318786790682,0.200627032565535,2,0.0231771721009864,1,5.75
15,46,1,2,2,26.616462079066,0.200054099994304,2,0.0739452999987407,1,4.75
16,1,1,1,1,28.3005899290583,0.200158446510613,1,0.510012676750193,1,4.75
17,52,1,1,4,30.4187975046443,0.200142044188397,1,0.135847776757146,1,15
18,32,1,2,4,32.1705222790697,0.200243600003887,2,0.93597544534714,1,15
19,67,1,1,3,34.7057254790634,0.200146899995161,1,0.112886772098136,1,3.75
20,35,1,1,3,36.4232281046425,0.200153999998292,1,0.035487152330461,1,3.25
21,109,1,2,1,38.0577373558044,0.20004969999718,2,0.208179074419604,1,3.75
22,113,1,1,1,39.8761371790679,0.200199200000498,1,0.302337232569698,1,3.25
23,60,1,1,4,41.7774959790695,0.200671898834116,1,0.361043976750807,1,15
24,58,1,1,2,43.7452304558028,0.200222799998301,1,0.160384899994824,1,3.75
25,106,1,1,2,45.513814479069,0.200158699997701,1,0.265395950009406,1,3.25
26,7,1,2,3,47.381732579066,0.199611125579395,2,0.157310823269654,1,2.75
27,76,1,1,4,49.1496641790654,0.200120500005141,1,0.396909800001595,1,15
28,50,1,1,2,51.150694151147,0.2000837999949,1,0.21204027908243,1,2.75
29,115,1,1,3,52.9686375267265,0.200150829070481,1,0.161732125590788,1,2.25
30,116,1,1,4,54.7537697790685,0.200637054658728,1,0.200006799997936,1,15
31,22,1,2,2,56.5549665790677,0.200156024417083,2,0.0234875255919178,1,2.25
32,16,1,2,4,58.189600379068,0.200158100000408,2,1.1331838790793,1,15
33,49,1,1,1,60.9244557755737,0.200155999998969,1,0.285926696516981,1,2.75
34,39,1,2,3,62.8425299802184,0.200635103494278,2,0.032035847681982,1,1.75
35,55,1,2,3,64.4770539267265,0.200145933726162,2,0.0614856255851919,1,1.75
36,33,1,1,1,66.1449346755689,0.200578534888336,1,0.0648995999945328,1,2.25
37,87,1,2,3,67.8131626790637,0.199651579066995,2,0.117217147686461,1,1.25
38,75,1,1,3,69.5307449534739,0.200155673264817,1,0.0718460767529905,1,1.25
39,54,1,2,2,71.2158422790671,0.200130829070986,2,0.138715799999773,1,1.75
40,25,1,1,1,72.9665921046399,0.199755740686669,1,0.0837436476795119,1,1.75
41,61,1,2,1,74.651657779068,0.200161346510868,2,0.0875371348884073,1,1.75
42,51,1,1,3,76.352398880219,0.20013719767303,1,0.0659940860568895,1,1.25
43,100,1,1,4,78.0202850046408,0.200202799998806,1,0.157962347679131,1,15
44,92,1,1,4,79.7887423790671,0.200138326748856,1,0.893852205816074,1,15
45,74,1,1,2,82.290691279064,0.20013808720978,1,0.0958498476829845,1,1.75
46,107,1,1,3,83.9918767790659,0.199735696500284,2,0.387287296522118,0,0.75
47,57,1,1,1,85.9927855023125,0.200152053490456,1,0.0734833476817585,1,1.25
48,112,1,2,4,87.6778921790683,0.200141897679714,2,0.0612969255889766,1,15
49,15,1,2,3,89.3457381790649,0.200199999999313,2,0.520692979072919,1,1.25
50,68,1,1,4,91.4805484790631,0.200160083717492,1,0.0336006279103458,1,15
51,59,1,1,3,93.1146617267295,0.200269197681337,1,0.0157645279105054,1,1.25
52,81,1,1,1,94.7325391999912,0.200600376760121,1,0.308777000005648,1,1.25
53,94,1,2,2,96.650598324406,0.200152351157158,2,0.743869303492829,1,1.25
54,56,1,2,4,99.0028337790645,0.200100300004124,2,0.232283374425606,1,15
55,31,1,2,3,100.836984275571,0.200098499997694,2,0.252798547684506,1,1.25
56,34,1,1,2,102.705529979066,0.200141970926779,1,0.0653746011739713,1,1.25
57,47,1,2,3,104.372902731382,0.200056599998788,2,0.0929600721065071,1,1.25
58,85,1,2,1,106.074537779066,0.200040200004878,2,0.151509299997997,1,1.25
59,23,1,2,3,107.825746379065,0.200135402323212,2,0.113269698842487,1,1.25
60,105,1,1,1,109.576713255803,0.200156051156227,1,0.153161200003524,1,0.75
61,13,1,2,1,111.344670002312,0.20050857210299,1,0.312376699999731,0,0.75
62,36,1,1,4,113.279443077896,0.199767845333554,1,0.0591239232671796,1,15
63,86,1,2,2,114.980670182551,0.200150275573833,2,0.189796947684954,1,1.25
64,83,1,1,3,116.781987880218,0.200148724419705,1,0.0438025279072463,1,0.75
65,40,1,2,4,118.433678579066,0.200142451169086,2,0.0653200081505929,1,15
66,118,1,2,2,120.118196579067,0.200136973253393,1,0.156729850001284,0,0.75
67,5,1,2,1,121.885717404642,0.200148586038267,2,0.164128323260229,1,1.25
68,77,1,2,1,123.654030279067,0.200210599999991,2,0.771525600001041,1,1.25
69,82,1,1,2,126.039274579067,0.200152280231123,1,0.194564800003718,1,1.25
70,30,1,2,2,127.840589779065,0.199739465111634,2,0.170409998841933,1,1.25
71,38,1,2,2,129.624727429058,0.200140599998122,2,0.225947774430097,1,1.25
72,71,1,2,3,131.459852279069,0.200146751165448,2,0.222770323263831,1,0.75
73,42,1,1,2,133.294522679069,0.200145577902731,1,0.116320750006707,1,1.25
74,69,1,2,1,135.012495479066,0.199686676736746,2,0.181211399998574,1,1.25
75,90,1,1,2,136.797301779065,0.200152395344048,1,0.0544128744222689,1,1.25
76,9,1,1,1,138.46450400231,0.200147502328036,2,0.241582537222712,0,0.75
77,103,1,2,3,140.316383079065,0.200129826749617,2,0.517312999996648,1,0.75
78,29,1,2,1,142.434446879066,0.200138097679883,2,0.240095676759665,1,1.25
79,26,1,1,2,144.285429255804,0.200140422093682,1,0.0770820255929721,1,0.75
80,2,1,1,2,145.969997551147,0.200121860463696,1,0.159554398836917,1,0.75
81,89,1,1,1,147.737952758114,0.199990300003265,1,0.216441834891157,1,1.25
82,111,1,2,3,149.55595875813,0.199606903479435,2,0.278113100001065,1,0.75
83,96,1,2,4,151.440680631385,0.2001419976732,2,0.464990983738971,1,15
84,12,1,1,4,153.50918877907,0.200564610473521,1,0.0459373546618735,1,15
85,73,1,1,1,155.16005850464,0.200657425586542,1,0.28949350000039,1,1.25
86,3,1,1,3,157.061913979065,0.20016002907505,1,0.165020503496635,1,0.75
87,45,1,2,1,158.829890679066,0.200154397680308,2,0.90036968140339,1,1.25
88,91,1,1,3,161.331654579066,0.199694345334137,2,0.830507505816058,0,0.75
89,104,1,2,4,163.76675857907,0.200044800003525,2,0.139454747681157,1,15
90,64,1,2,4,165.518093779065,0.200048346508993,2,0.476922403497156,1,15
91,20,1,1,4,167.60297037907,0.20056697907421,1,0.351346476760227,1,15
92,84,1,1,4,169.554438079067,0.199611794181692,1,0.168517574420548,1,15
93,110,1,2,2,171.355231099988,0.200139944186958,2,0.183136400002695,1,0.75
94,27,1,1,3,173.140292879063,0.200150677912461,1,0.221851003494521,1,0.75
95,102,1,2,2,174.975025179068,0.200562598838587,1,0.155407400001423,0,0.75
96,11,1,1,3,176.742513631383,0.200146232571569,1,0.10813732790848,1,0.75
97,98,1,1,2,178.460849679068,0.200143351154111,2,0.2060915965194,0,1.25
98,80,1,2,4,180.278435306966,0.20014227325737,2,0.106688699997903,1,15
99,88,1,2,4,181.996812479068,0.20015095348208,2,0.0539672034938121,1,15
100,14,1,2,2,183.664231182549,0.200662172101147,1,0.386330996516335,0,1.25
101,78,1,2,2,185.699065331384,0.200137877902307,2,0.126669276753091,1,1.75
102,10,1,1,2,187.434095579069,0.200140475586522,1,0.160659196517372,1,1.25
103,43,1,1,3,189.201627853479,0.2001595220936,2,0.216761405819852,0,0.75
104,4,1,1,4,191.020037879069,0.200683020928409,1,0.174478547683975,1,15
105,8,1,2,4,192.804667679069,0.200223800005915,2,0.0615399011730915,1,15
106,19,1,1,3,194.472146575572,0.199643120919063,1,0.257219700004498,1,0.75
107,48,1,2,4,196.340657779067,0.200136351166293,2,0.0542043744208058,1,15
108,41,1,1,1,198.008504079065,0.200576398841804,1,0.313963474422053,1,1.25
109,21,1,2,1,199.959502199985,0.200140929075133,2,0.138379574425926,1,1.25
110,93,1,2,1,201.711144679066,0.200130551165785,1,0.419596232561162,0,0.75
111,70,1,2,2,203.74610557907,0.200563294201856,2,0.272659101174213,1,1.25
112,37,1,2,1,205.630310826731,0.200134051163332,1,0.692135098841391,0,1.25
113,120,1,2,4,207.931986099989,0.200273099995684,2,0.181886679078161,1,15
114,6,1,2,2,209.716623404645,0.200122800000827,2,0.548637199994118,1,1.25
115,66,1,1,2,211.868553879067,0.199703901154862,1,0.142335901175102,1,1.25
116,101,1,2,1,213.636155575572,0.20014010000159,2,0.382380305818515,1,1.25
117,53,1,2,1,215.620947929063,0.199679269753688,2,0.12533999884181,1,1.25
118,65,1,1,1,217.355551104643,0.200124531394977,1,0.110633000003872,1,1.25
119,72,1,2,4,219.07346587324,0.200082600000314,2,0.0491697500110604,1,15
120,119,1,2,3,220.724680704639,0.200162499997532,2,0.252608499999042,1,0.75
121,168,2,2,4,222.593077979065,0.200219600003038,2,0.233510056983505,1,15
122,128,2,2,4,224.427383175571,0.200539856981777,2,0.349978199999896,1,15
123,189,2,2,1,226.379295579063,0.200624125587638,2,0.222284399998898,1,8.75
124,175,2,2,3,228.213788379064,0.200151500001084,2,0.0609687058167765,1,8.75
125,222,2,2,2,229.881380280218,0.200144777911191,2,0.137004579082713,1,8.75
126,217,2,1,1,231.632654902314,0.200136899999052,1,0.13664350000181,1,7.25
127,127,2,2,3,233.38444487907,0.199669647670817,2,0.0506189767547767,1,7.25
128,201,2,1,1,235.068506226729,0.200163024412177,1,0.46180609883595,1,5.75
129,205,2,2,1,237.136682155804,0.200150446507905,2,0.153724554664223,1,4.75
130,141,2,2,1,238.905107979066,0.200146958144614,2,0.0410699790736544,1,3.75
131,216,2,2,4,240.555856055798,0.200148251162318,2,0.174581945349928,1,15
132,177,2,1,1,242.340488106965,0.200668927915103,1,0.190413398835517,1,3.25
133,143,2,2,3,244.1418100558,0.200584232567053,2,0.0919215209287358,1,5.75
134,144,2,2,4,245.843054877892,0.200360799994087,2,0.0395875721005723,1,15
135,183,2,2,3,247.494798279069,0.200148348842049,2,0.124027341873443,1,4.75
136,204,2,1,4,249.228870029059,0.20014836860355,1,0.236305600003107,1,15
137,160,2,2,4,251.080541779069,0.200256153490045,2,2.025559401176,1,15
138,146,2,1,2,254.716747279068,0.200019015115686,1,0.245632296522672,1,7.25
139,198,2,2,2,256.568027679066,0.200146875584323,2,0.114212923268497,1,5.75
140,176,2,2,4,258.285875079069,0.19968796975445,2,0.10845849999896,1,15
141,210,2,1,2,260.003947279067,0.200133597681997,1,0.830123530242417,1,4.75
142,240,2,2,4,262.455611179066,0.199713496498589,2,0.155221972097934,1,15
143,209,2,1,1,264.223163982548,0.200104800002009,1,0.115284447681915,1,2.75
144,169,2,1,1,265.941123329059,0.200569959313725,1,0.0929493523290148,1,2.25
145,199,2,2,3,267.675697631385,0.199775469758606,2,0.0380234999975073,1,3.75
146,197,2,2,1,269.326895826729,0.200151726741751,1,0.243673272103479,0,1.75
147,182,2,2,2,271.178252858132,0.199467545338848,2,0.192288698839548,1,3.75
148,121,2,1,1,272.979997679067,0.199710225577292,1,0.0868831255938858,1,2.75
149,136,2,2,4,274.681336879068,0.200144748836465,2,0.0255122988455696,1,15
150,167,2,2,3,276.315344606963,0.199614579061745,2,0.469852299997001,1,3.25
151,226,2,1,2,278.400754779068,0.199676103482489,1,0.393023299999186,1,3.25
152,234,2,1,2,280.401994479063,0.200643103496986,1,0.175465000000258,1,2.75
153,228,2,1,4,282.186842979063,0.200125300005311,1,0.208030647678243,1,15
154,203,2,1,3,284.004302980218,0.200162195353187,1,0.117498956984491,1,2.75
155,142,2,2,2,285.722689979069,0.199755054643902,1,0.271751820931968,0,2.25
156,207,2,2,3,287.607418979067,0.200155699996685,2,0.0508707348926691,1,2.25
157,156,2,1,4,289.258143751147,0.199677972093923,1,0.223232600001211,1,15
158,173,2,2,1,291.093241879069,0.200645620934665,1,0.4851677034967,0,2.25
159,192,2,2,4,293.194796779069,0.20066345698433,2,0.191879845355288,1,15
160,235,2,1,3,294.996154879067,0.200151099998038,1,0.294771479078918,1,1.75
161,200,2,2,4,296.897584279068,0.200142686036997,2,0.0335156209330307,1,15
162,185,2,1,1,298.531602626732,0.200270699999237,1,0.182587452334701,1,3.25
163,232,2,2,4,300.316714679066,0.200137719766644,2,0.413650896516629,1,15
164,181,2,2,1,302.334369955803,0.20025122674997,2,0.0758860988426022,1,2.75
165,161,2,1,1,304.018942104645,0.200107600001502,1,0.0632119476867956,1,2.75
166,157,2,2,1,305.687365479069,0.200561632569588,2,0.0670529767521657,1,2.75
167,223,2,2,3,307.355157879065,0.200660603491997,2,0.0951074476834037,1,1.75
168,155,2,1,3,309.056414379069,0.200151493023441,1,0.217240400001174,1,1.25
169,188,2,1,4,310.891086379066,0.200135604660318,1,0.262861099996371,1,15
170,132,2,1,4,312.75912387907,0.20013437558373,1,0.00332969999726629,1,15
171,229,2,2,1,314.376515855802,0.200634398846887,2,0.00984990582219325,1,2.25
172,231,2,2,3,316.011050631387,0.200145355811401,1,0.29458209999575,0,1.25
173,233,2,1,1,317.912901379066,0.200151524419198,1,0.505396550004662,1,2.25
174,213,2,2,1,320.031101979068,0.200140353488678,2,0.02749390117242,1,2.25
175,190,2,2,2,321.665176751143,0.200149751159188,2,0.352829925592232,1,3.25
176,153,2,1,1,323.667239279064,0.20013505116367,1,0.0867321000041557,1,2.25
177,174,2,2,2,325.367901555801,0.200148424417421,2,0.162412572106405,1,2.75
178,239,2,2,3,327.136338179065,0.199717479059473,2,0.161502499999187,1,1.75
179,193,2,1,1,328.903807980219,0.200641376759449,1,0.394538101172657,1,2.25
180,171,2,1,3,330.905806479066,0.200182351167314,1,0.120418776750739,1,1.75
181,131,2,1,3,332.640302779066,0.20017120000557,2,0.0665879034932004,0,1.75
182,137,2,1,1,334.341542879069,0.200162544184423,2,0.14118758373661,0,2.25
183,122,2,1,2,336.092407980221,0.200683023263991,2,0.125790352329204,0,2.75
