PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StairNum,StimPresTime,StimPresLength,Response,ReationTime,Accuracy,StepLevel
1,116,2,1,4,4.10955712589202,0.196968060801737,1,6.14965111424681,1,15
2,85,2,2,1,11.8436260707676,0.198680956324097,2,0.383654651232064,1,9
3,16,2,2,4,13.7979260297143,0.198894885368645,2,0.857564820325933,1,15
4,69,2,2,1,16.22158775141,0.19898765621474,2,0.264276397472713,1,7
5,53,2,2,1,18.0657637164113,0.199139835545793,2,1.07006512401858,1,5.75
6,90,2,1,2,20.7189973371569,0.198303434473928,1,0.225568704423495,1,9
7,26,2,1,2,22.5115701659233,0.199023652472533,1,0.189108583203051,1,7
8,101,2,2,1,24.2722280606395,0.199309574032668,1,0.358337569457944,0,4.75
9,14,2,2,2,26.2044590887381,0.198817332449835,2,0.18547149701044,1,5.75
10,30,2,2,2,27.9649440257926,0.198693832964636,2,0.699339278275147,1,4.75
11,21,2,2,1,30.2277158963843,0.198352892824914,2,0.280734593106899,1,7.5
12,20,2,1,4,32.0759161269525,0.198338552785572,1,0.151073113142047,1,15
13,76,2,1,4,33.7961390930577,0.19866866490338,1,0.0900088117923588,1,15
14,64,2,2,4,35.4529009332764,0.198671006131917,2,0.0873377716634423,1,15
15,83,2,1,3,37.1155003144522,0.199277089617681,1,0.000221538008190691,1,9
16,82,2,1,2,38.6860742149292,0.19877343456028,1,0.000278312596492469,1,3.75
17,120,2,2,4,40.2693644551327,0.199145103280898,2,0.000220660062041134,1,15
18,61,2,2,1,41.8526055297698,0.199893708631862,2,0.230619302601553,1,6.5
19,43,2,1,3,43.6589002525434,0.199102961283643,1,0.000233244092669338,1,7
20,97,2,1,1,45.235887926945,0.199231728445739,1,0.000221830676309764,1,5.75
21,103,2,2,3,46.8191901659011,0.198908347403631,2,0.0248947840882465,1,5.75
22,54,2,2,2,48.4190975120873,0.198638229048811,2,0.169091732241213,1,3.25
23,95,2,2,3,50.1633996395976,0.19845532119507,1,0.435854506038595,0,4.75
24,44,2,1,4,52.1630428961362,0.198459710984025,1,0.587822843343019,1,15
25,92,2,1,4,54.3147715509986,0.199328011134639,1,0.188811248168349,1,15
26,46,2,2,2,56.0676252794219,0.198287923936732,2,0.148626830196008,1,2.75
27,15,2,2,3,57.7785208226414,0.198723098263144,2,0.203498895687517,1,7.5
28,112,2,2,4,59.5467753929552,0.199033895332832,2,0.124655072344467,1,15
29,49,2,1,1,61.2348932008026,0.1992018778692,1,0.0885218440671451,1,5.75
30,78,2,2,2,62.8986491449759,0.199126080842689,1,0.413994529168122,0,2.25
31,68,2,1,4,64.8749644792988,0.199181684816722,1,0.0552053967840038,1,15
32,66,2,1,2,66.4984429419274,0.199394735973328,1,0.141615167085547,1,3.25
33,9,2,1,1,68.2025202654186,0.1985624320223,1,0.130264344275929,1,5.25
34,70,2,2,2,69.9065168168163,0.198380109446589,1,0.000326307606883347,0,2.75
35,17,2,1,1,71.4847552882857,0.198823770741001,1,0.015004004992079,1,5.25
36,5,2,2,1,73.075187129376,0.198440103209578,2,0.071626425429713,1,4.75
37,94,2,2,2,74.7145112658036,0.199301965069026,2,0.0529177315183915,1,3.75
38,56,2,2,4,76.3306341986172,0.19933825393673,2,0.000219489447772503,1,15
39,51,2,1,3,77.9012587280013,0.19876436231425,1,0.00024553551338613,1,6.5
40,7,2,2,3,79.4846654439461,0.199060526734684,2,0.000222123286221176,1,5.75
41,67,2,1,3,81.0678479880444,0.199098278884776,1,0.000259582826402038,1,5.75
42,84,2,1,4,82.6512128546601,0.199053503049072,1,0.000244657567236573,1,15
43,22,2,2,2,84.2344837798737,0.199398247757927,2,0.00024114572443068,1,3.25
44,115,2,1,3,85.8177649478894,0.199010483105667,1,0.000220074725802988,1,5.25
45,1,2,1,1,87.401115474524,0.198322456912138,1,0.194766728091054,1,4.75
46,62,2,2,2,89.1700267572305,0.19833913812181,1,0.332196963427123,0,3.25
47,41,2,1,1,91.0754481754266,0.198395034705754,1,0.0561532984138466,1,4.25
48,11,2,1,3,92.6991171549307,0.198553067108151,1,0.0844677278655581,1,5.25
49,113,2,1,1,94.3464833842008,0.199005508038681,1,0.000221537949983031,1,3.75
50,110,2,2,2,95.917444171384,0.199030676158145,2,0.0542768100858666,1,4.25
51,39,2,2,3,97.5463290977641,0.199123154336121,1,0.20541372144362,0,4.75
52,74,2,1,2,99.3141297638649,0.199397369811777,1,0.165279639768414,1,3.75
53,114,2,1,2,101.042463303544,0.199160321208183,2,0.360705128812697,0,3.75
54,38,2,2,2,102.970390582865,0.19916119921254,2,0.188052692683414,1,5.25
55,58,2,1,2,104.730025656812,0.199334449484013,1,0.00474331300938502,1,4.25
56,36,2,1,4,106.300327390432,0.198830501758493,1,0.190984486194793,1,15
57,59,2,1,3,108.066640210862,0.198411715915427,1,0.000268362404312938,1,5.25
58,48,2,2,4,109.633466402418,0.198464100772981,2,0.0339128732448444,1,15
59,3,2,1,3,111.242168836528,0.198828745866194,1,0.000238804495893419,1,5.25
60,99,2,1,3,112.816666915431,0.198402058391366,1,0.000221245398279279,1,5.25
