PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StairNum,StimPresTime,StimPresLength,Response,ReationTime,Accuracy,StepLevel
1,79,2,2,3,58.4980513671162,0.19911671340833,2,0.320364786651226,1,8.5
2,69,2,2,1,60.6856389985282,0.19884074122092,2,0.0207526402459735,1,8.5
3,21,2,2,1,62.5024332669695,0.198428977840649,2,0.0204234051338972,1,7
4,42,2,1,2,64.3009753260967,0.199046769237611,1,0.0395913270399433,1,8.5
5,1,2,1,1,66.1061931026857,0.199438924838432,1,0.0205995825008358,1,5.75
6,71,2,2,3,67.9211102920067,0.198659881399635,2,0.0195524685173041,1,7
7,57,2,1,1,69.7020270054736,0.199152417127152,1,0.0196452396553468,1,4.75
8,7,2,2,3,71.4824699130322,0.198461169718485,2,0.0198579987013545,1,5.75
9,96,2,2,4,73.2824369017253,0.198559501271575,2,0.0964840323899807,1,15
10,48,2,2,4,75.1430548511553,0.198941706655205,2,0.117226429765651,1,15
11,61,2,2,1,77.0142645136352,0.198239338415988,2,0.075188812678789,1,3.75
12,38,2,2,2,78.8512489424238,0.198302844210957,2,0.0185735427835425,1,7
13,91,2,1,3,80.6299411971459,0.198287626232286,1,0.0632912800106169,1,4.75
14,4,2,1,4,82.4440746605733,0.199274746261835,1,0.142325558800167,1,15
15,37,2,2,1,84.3562994090453,0.198394152082074,2,0.0189042411625451,1,3.25
16,17,2,1,1,86.1276273327771,0.198768748476141,1,0.0440039555037401,1,2.75
17,76,2,1,4,87.9228796746634,0.198795672592496,1,0.0187465009621519,1,15
18,53,2,2,1,89.6936375095079,0.199037111674897,2,0.071233601530821,1,2.25
19,93,2,2,1,91.5156524225413,0.215369221813944,1,0.16682328502884,0,1.75
20,114,2,1,2,93.4609988086081,0.198539600838558,1,0.0785218426281062,1,5.75
21,108,2,1,4,95.290644659909,0.198306063398377,1,0.0489328246239893,1,15
22,83,2,1,3,97.0912189044757,0.198339133236459,2,0.153116276183937,0,3.75
23,98,2,1,2,98.9953125699626,0.198217974715135,1,0.0485526678144197,1,4.75
24,70,2,2,2,100.795579528424,0.198322159337749,2,0.105547509211647,1,3.75
25,64,2,2,4,102.650890793152,0.198373666341467,2,0.0191468508587604,1,15
26,33,2,1,1,104.443717623385,0.198897223333461,1,0.0196335335176627,1,2.75
27,113,2,1,1,106.213461999391,0.198676855298345,1,0.123657196304066,1,2.25
28,13,2,2,1,108.090517999503,0.198912441312132,2,0.0807220111378228,1,2.25
29,36,2,1,4,109.921887579525,0.199024527576967,1,0.0196388012795978,1,15
30,72,2,2,4,111.686355706786,0.199347324313749,2,0.0554554843397455,1,15
31,115,2,1,3,113.50565216208,0.198498336704233,1,0.0191904562202581,1,5.75
32,80,2,2,4,115.275981552298,0.199004919797062,2,0.0190356425541722,1,15
33,15,2,2,3,117.036635820019,0.198330938940671,2,0.0517159587720926,1,5.25
34,66,2,1,2,118.835183146909,0.19825016659297,1,0.0188091287968746,1,3.25
35,26,2,1,2,120.610150508734,0.199202460864399,1,0.0269917187856663,1,2.75
36,40,2,2,4,122.403617664679,0.19823436330762,2,0.0192604003909764,1,15
37,89,2,1,1,124.176554596986,0.199188413499542,1,0.0198998481419039,1,2.25
