PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StairNum,StimPresTime,StimPresLength,Response,ReationTime,Accuracy,StepLevel
1,107,1,1,3,171.27934595661,0.198394742086748,1,0.582598702202858,1,11.5
2,64,1,2,4,173.859639727119,0.198438932625777,2,0.598118946298428,1,20
3,24,1,2,4,176.315020891004,0.198301971219962,2,0.464665859530669,1,20
4,40,1,2,4,178.641751689556,0.199256603925051,2,0.425988602352845,1,20
5,109,1,2,1,180.925621469695,0.199416099579139,2,1.09237490785108,1,11.5
6,41,1,1,1,183.890065937552,0.198400009832994,1,0.305620304937975,1,9.5
7,106,1,1,2,186.077039327531,0.199028920220144,1,0.226002708207034,1,11.5
8,92,1,1,4,188.146986805173,0.199035065924363,1,0.214201200402158,1,20
9,62,1,2,2,190.218541530766,0.19821476075208,2,0.197355825439899,1,9.5
10,44,1,1,4,192.268871042935,0.198263926384925,1,0.203695265554416,1,20
11,7,1,2,3,194.335695039627,0.198222077066475,2,0.128663827351374,1,9.5
12,47,1,2,3,196.32392279708,0.198510925159553,2,0.0252134827383088,1,7.5
13,39,1,2,3,198.203476946732,0.198994094563659,2,0.101968644617727,1,5.75
14,93,1,2,1,200.163545087958,0.198915663673233,2,0.255204752911823,1,7.5
15,79,1,2,3,202.267012406421,0.198314555280831,2,0.21131710925988,1,4.75
16,100,1,1,4,204.32871703159,0.199016336159275,1,0.120501746989476,1,20
17,113,1,1,1,206.298279993011,0.198131062115181,1,0.128112469896905,1,5.75
18,117,1,2,1,208.263761914252,0.19930489160015,2,0.154099726047889,1,4.75
19,4,1,1,4,210.255735917339,0.198663397152131,1,0.32436031268162,1,20
20,108,1,1,4,212.423815949624,0.199078671158304,1,0.180550251227487,1,20
21,50,1,1,2,214.447441499482,0.198332699740604,1,0.513344518514714,1,7.5
22,61,1,2,1,216.800382262795,0.198187251409763,2,0.0861905736019253,1,4.25
23,56,1,2,4,218.736079468051,0.198849231538361,2,0.0972510850824619,1,20
24,74,1,1,2,220.679576157126,0.199572961360218,1,0.113253035319303,1,5.75
25,58,1,1,2,222.631122840626,0.198155059626515,1,0.170990462159807,1,4.75
26,116,1,1,4,224.650228078786,0.198421373471092,1,0.164641949815177,1,20
27,17,1,1,1,226.673210085627,0.198614524171717,1,0.331753302072229,1,3.25
28,43,1,1,3,228.856560436708,0.198814698534306,1,0.204706380206744,1,4.25
29,1,1,1,1,230.913463511052,0.198201884038781,1,0.343205675352692,1,2.75
30,21,1,2,1,233.106023931372,0.198989119469843,2,0.170101383632073,1,2.25
31,96,1,2,4,235.129928671787,0.198349380937316,2,0.277847575417354,1,20
32,49,1,1,1,237.24900988317,0.198468783188673,1,0.189019909447552,1,1.75
33,77,1,2,1,239.297038560781,0.198295825515743,1,0.343109977960239,0,1.75
34,66,1,1,2,241.490707549061,0.198510925159553,2,0.347572051796078,0,4.25
35,36,1,1,4,243.688787689628,0.198245196620064,1,0.595771287328944,1,20
36,14,1,2,2,246.136669631237,0.198237295000581,2,0.154267123321688,1,6.5
37,95,1,2,3,248.145442770179,0.199224997446436,2,0.215539207982829,1,3.25
38,87,1,2,3,250.208526374289,0.199092718482007,2,0.342364299194969,1,2.75
39,3,1,1,3,252.40427290321,0.199100327449059,1,0.246292896648811,1,2.25
40,88,1,2,4,254.49562206378,0.198332114435289,2,0.63976370060368,1,20
41,34,1,1,2,256.976194176155,0.198378060889809,1,0.207868198644292,1,5.75
42,115,1,1,3,259.050092463581,0.198382450678537,1,0.277051853061494,1,1.75
43,5,1,2,1,261.174470686601,0.198469661146191,2,0.208884873695524,1,2.75
44,12,1,1,4,263.233135236804,0.198423129386811,1,0.0863594341385578,1,20
45,71,1,2,3,265.16760008206,0.198299337346725,1,0.512902905776855,0,1.75
46,6,1,2,2,267.565796347169,0.198325090773551,2,0.201035638938038,1,5.25
47,75,1,1,3,269.614307608879,0.198264219037583,1,0.383142216568103,1,2.75
48,102,1,2,2,271.857713780512,0.199713434597015,2,0.282380763828996,1,4.75
49,54,1,2,2,273.994637141534,0.198318652416901,2,0.228336319852815,1,4.75
50,112,1,2,4,276.072354252432,0.198621547833682,2,0.213031468053487,1,20
51,65,1,1,1,278.135791673507,0.19895634238128,1,0.314195318085467,1,2.25
52,60,1,1,4,280.293924444714,0.198197201597623,1,0.681229351531783,1,20
53,80,1,2,4,282.814370470653,0.198357867862114,2,0.16744878067766,1,20
54,25,1,1,1,284.840104582325,0.198283534107532,2,0.406470431408025,0,2.25
55,101,1,2,1,287.099420518633,0.19830636100869,2,0.140038355046727,1,2.75
56,45,1,2,1,289.098942616975,0.198200420775947,2,0.244048836691263,1,2.75
57,118,1,2,2,291.190499560875,0.199187245264284,2,0.160047304362479,1,4.25
58,114,1,1,2,293.191234118842,0.199194268926021,1,0.127077065081039,1,4.25
59,35,1,1,3,295.170988413592,0.198954293813358,2,0.177282199904539,0,2.25
60,70,1,2,2,297.201228496986,0.198736852948741,2,0.0799901434611456,1,3.75
