PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StairNum,StimPresTime,StimPresLength,Response,ReationTime,Accuracy,StepLevel
1,46,1,2,2,1005.33499589262,0.198280607582092,2,1.34420683981716,1,8.5
2,119,1,2,3,1008.4637589292,0.198584088303505,2,0.899078173649286,1,8.5
3,27,1,1,3,1011.11744118634,0.198561554055232,1,0.400873450879772,1,7
4,105,1,1,1,1013.2944108333,0.198728073371512,1,0.553480648787627,1,8.5
5,6,1,2,2,1015.60724912138,0.199673633846487,2,0.472579477855106,1,7
6,89,1,1,1,1017.84415957643,0.19888610576254,1,0.443404357187319,1,7
7,70,1,2,2,1020.04098423744,0.198693540367458,2,0.434218870765108,1,5.75
8,10,1,1,2,1022.22055527315,0.198507705981228,1,0.405168712747127,1,4.75
9,93,1,2,1,1024.36935067124,0.198539897764931,2,0.375668455066716,1,5.75
10,24,1,2,4,1026.48871195114,0.199191049747697,2,0.521777595162348,1,15
11,117,1,2,1,1028.7565072032,0.198968341137061,2,0.958749156063277,1,4.75
12,99,1,1,3,1031.44837857303,0.198344113190615,1,0.420382549594706,1,5.75
13,49,1,1,1,1033.61581272108,0.198878789448372,1,0.997559277510845,1,3.75
14,26,1,1,2,1036.35944789336,0.199448876667702,1,0.566581826684796,1,3.75
15,59,1,1,3,1038.6782328818,0.198819673627895,1,1.08276010009922,1,4.75
16,54,1,2,2,1041.51114933154,0.198336796876902,2,0.521783155561479,1,3.25
17,39,1,2,3,1043.78276018789,0.198270950047117,2,0.487309267341061,1,3.75
18,69,1,2,1,1046.01549419802,0.19879918794777,2,0.869794478875065,1,3.25
19,64,1,2,4,1048.63070756662,0.198440981193926,2,0.484994970765456,1,15
20,31,1,2,3,1050.86284866262,0.198325676079094,2,1.03585930551799,1,3.25
21,60,1,1,4,1053.64696617317,0.198968633789264,1,0.868422523596109,1,15
22,18,1,1,2,1056.26234547578,0.19946760643279,1,1.45120062182787,1,2.75
23,86,1,2,2,1059.46185815071,0.198522631262676,1,0.484529653168465,0,2.25
24,107,1,1,3,1061.69500743484,0.198372500491132,1,0.490987617576593,1,2.75
25,19,1,1,3,1063.93392021881,0.198311043449849,1,1.38553377342396,1,2.25
26,33,1,1,1,1067.06132476212,0.198893422077163,1,1.62812139580046,1,2.75
27,90,1,1,2,1070.43788229572,0.199132226579877,1,1.22872818165297,1,3.25
28,7,1,2,3,1073.40464457198,0.199299916506334,1,0.605384046512881,0,1.75
29,8,1,2,4,1075.74999831725,0.199397955119366,2,0.816406454628122,1,15
30,50,1,1,2,1078.31071187447,0.198822307501359,1,1.13818323036367,1,2.75
31,74,1,1,2,1081.19809857768,0.198263341079837,1,0.511103092430403,1,2.75
32,72,1,2,4,1083.45406422729,0.198583210346442,2,0.341207736212255,1,15
33,47,1,2,3,1085.53552787647,0.198497170488281,1,0.649976690222047,0,2.75
34,2,1,1,2,1087.92629427797,0.198430445700978,2,2.31407562318191,0,2.75
35,25,1,1,1,1091.99015575263,0.198267145563477,2,2.21991758318109,0,2.25
36,81,1,1,1,1095.95103424884,0.199445072184062,2,0.576725457642624,0,3.25
37,108,1,1,4,1098.26970129829,0.199287332445238,1,2.53982928404594,1,15
38,97,1,1,1,1102.54897701829,0.198454150559883,1,0.697894452507171,1,4.75
39,79,1,2,3,1104.99026403408,0.198635302504954,1,1.79216018865554,0,4.25
40,42,1,1,2,1108.53326596471,0.198529654924641,1,3.80264944230657,1,3.25
41,17,1,1,1,1114.07913793916,0.198842207876169,1,2.1167344303708,1,4.25
42,111,1,2,3,1117.94170594796,0.199173490593239,2,0.305718636203892,1,5.75
43,32,1,2,4,1119.9967860894,0.198535215323773,2,0.408590699325487,1,15
44,12,1,1,4,1122.15145912185,0.198783677361007,1,0.530054980639306,1,15
45,43,1,1,3,1124.41570771734,0.198522338610019,1,0.799512499338107,1,5.25
46,101,1,2,1,1126.95000645299,0.198871180481547,2,0.954450089712736,1,3.75
47,34,1,1,2,1129.64034344536,0.198627108232813,1,4.17415696303851,1,3.25
48,73,1,1,1,1135.55803403023,0.199141298809536,1,0.793198519997077,1,3.75
49,21,1,2,1,1138.10092416757,0.198968926441921,2,0.316472740436438,1,3.25
50,5,1,2,1,1140.15200521156,0.198950196677288,2,0.657673452987183,1,3.25
51,71,1,2,3,1142.54279209873,0.19839005964559,2,0.330880612088549,1,4.75
52,66,1,1,2,1144.62055720465,0.198883764542188,1,1.06079271974068,1,2.75
53,29,1,2,1,1147.42144253723,0.198244611314749,2,1.01227853150431,1,3.25
54,96,1,2,4,1150.17269311485,0.198745339873767,2,0.401372423523298,1,15
55,104,1,2,4,1152.32462223674,0.198430738353636,2,0.547504683172974,1,15
56,78,1,2,2,1154.62075123331,0.198325676078639,2,2.18062838946526,1,2.75
57,22,1,2,2,1158.54030923427,0.19876992269019,2,1.05075063922641,1,2.75
58,14,1,2,2,1161.34032070625,0.198296996125919,1,0.427211304817774,0,2.25
59,57,1,1,1,1163.51579402058,0.198500097014403,1,0.388442447383113,1,2.75
