PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StairNum,StimPresTime,StimPresLength,Response,ReationTime,Accuracy,StepLevel
1,114,2,1,2,238.684965310325,0.200328005967549,1,0.465761450577702,1,11.5
2,45,2,2,1,241.129463147763,0.200468479615665,2,0.535895260507004,1,11.5
3,106,2,1,2,243.529434935972,0.200328298621571,1,0.457648512106061,1,9.5
4,96,2,2,4,245.847672132164,0.20029142428848,2,0.411829520010087,1,20
5,88,2,2,4,248.132307153825,0.201037397889195,2,0.514345432309256,1,20
6,80,2,2,4,250.535838778394,0.200294643476354,2,0.578068668786727,1,20
7,100,2,1,4,252.987134369775,0.200402047286389,1,0.511181848697561,1,20
8,1,2,1,1,255.354655574711,0.200357271311077,1,0.696572823441329,1,9.5
9,36,2,1,4,257.90849429516,0.200359027231571,1,0.530434347445407,1,20
10,16,2,2,4,260.310818431664,0.200389755842025,2,0.442176510406171,1,20
11,97,2,1,1,262.613146987235,0.200396486870886,1,0.589684083545762,1,7.5
12,40,2,2,4,265.05978851107,0.200675092939491,2,0.403348130866561,1,20
13,84,2,1,4,267.321531595889,0.20030781288051,1,0.488698456048496,1,20
14,92,2,1,4,269.676399051686,0.200318641057947,1,0.429819511848109,1,20
15,117,2,2,1,271.960140017109,0.200456188171302,2,0.436150483565598,1,5.75
16,32,2,2,4,274.251009434854,0.200320104325328,2,0.482165553461527,1,20
17,20,2,1,4,276.594612074705,0.200664264762509,1,0.42024886662648,1,20
18,26,2,1,2,278.873246530374,0.200241380551688,1,0.625120609795886,1,7.5
19,85,2,2,1,281.363154815715,0.200417557918172,2,0.509098741560592,1,4.75
20,102,2,2,2,283.729841080406,0.200344979866713,2,0.47831335632236,1,5.75
21,11,2,1,3,286.075209883726,0.200488380049137,1,0.359998255785285,1,11.5
22,104,2,2,4,288.300920307251,0.200358441924436,2,0.566679475131878,1,20
23,108,2,1,4,290.720637422589,0.200939944296351,1,0.485636130524199,1,20
24,3,2,1,3,293.065013252811,0.200217675623207,1,0.447691271699114,1,9.5
25,51,2,1,3,295.375072834123,0.200369562754986,1,0.442899949692674,1,7.5
26,76,2,1,4,297.681850599837,0.200293180209428,1,0.502419804911369,1,20
27,105,2,1,1,300.037417789993,0.200309861455025,1,0.438404792960682,1,4.25
28,47,2,2,3,302.337495548009,0.200382146852917,2,0.401750828428703,1,5.75
29,21,2,2,1,304.602440846693,0.200419606492233,2,0.481125170507312,1,3.25
30,58,2,1,2,306.944226108725,0.200361661112311,1,0.514977856378209,1,4.75
31,77,2,2,1,309.321631683363,0.200399998712328,2,0.569318623791332,1,2.75
32,99,2,1,3,311.741540779354,0.200297570010662,2,1.02636573309246,0,4.75
33,82,2,1,2,314.622350937706,0.200369855408553,1,0.941635247882004,1,4.25
34,15,2,2,3,317.432397203287,0.200353466816523,2,1.22101684776544,1,8
35,5,2,2,1,320.520002715824,0.200444482034072,2,0.522084067039486,1,2.25
36,59,2,1,3,322.911094813567,0.200366050913999,1,0.46626657040315,1,7
37,31,2,2,3,325.232265275119,0.200449749796007,2,0.587542153068625,1,5.75
38,38,2,2,2,327.670248061829,0.200458529398929,2,0.603285151848013,1,3.25
39,103,2,2,3,330.125761081834,0.200292302249181,2,0.504959451403465,1,5.75
40,56,2,2,4,332.485510289548,0.200354052123203,2,0.442310253025425,1,20
41,101,2,2,1,334.782090253733,0.200327713314437,2,0.477493926709485,1,1.75
42,48,2,2,4,337.118557417579,0.201308102315124,2,0.456395077452271,1,20
43,83,2,1,3,339.429906429918,0.200451798370068,1,0.635700909362185,1,5.25
44,66,2,1,2,341.927206263018,0.200326542700623,1,0.799484110528283,1,2.75
45,29,2,2,1,344.592365081646,0.200328298621571,2,0.596505542417162,1,1.75
46,7,2,2,3,347.045319432686,0.200288497754173,2,0.529840553630038,1,5.25
47,28,2,1,4,349.439574236079,0.20039238972322,1,0.417954463711339,1,20
48,81,2,1,1,351.709827682732,0.20043306855041,1,0.542395385908549,1,1.25
49,52,2,1,4,354.102046203539,0.20035639335083,1,0.499297485433999,1,20
50,63,2,2,3,356.455029849187,0.200347613747454,2,0.624505744933231,1,4.75
51,19,2,1,3,358.933294332386,0.200324786780129,1,0.628810676933426,1,4.75
52,41,2,1,1,361.425236559086,0.200412290156237,2,1.0065958230748,0,1.25
53,9,2,1,1,364.286155063592,0.200359905191817,2,1.7654107639687,0,1.75
54,35,2,1,3,367.920224137411,0.200383610120298,1,0.520708888557692,1,3.75
55,8,2,2,4,370.308210889576,0.200388877881778,2,0.364886738731457,1,20
56,27,2,1,3,372.526201993497,0.200296399396848,1,1.28374067276945,1,3.25
57,113,2,1,1,375.6726835237,0.200309568801458,1,1.38898294445062,1,2.75
58,30,2,2,2,378.924518533888,0.200301667158783,2,0.522832381868284,1,2.25
59,57,2,1,1,381.319229291331,0.200248111580549,1,0.55504796443438,1,2.25
60,110,2,2,2,383.725760028282,0.200394730950848,2,0.386282923876934,1,1.75
61,94,2,2,2,427.913492523144,0.200402925246635,2,0.298281451245202,1,1.75
62,10,2,1,2,430.611887406859,0.200256305876792,1,0.433480020989464,1,1.25
63,73,2,1,1,432.891406553857,0.200333273729939,1,0.398141240985296,1,2.25
64,112,2,2,4,435.140388193073,0.200642023101409,2,0.315613850818409,1,20
65,53,2,2,1,437.317657157088,0.200380098278856,2,0.820250212832434,1,1.75
66,89,2,1,1,439.997962839452,0.2005267176487,2,0.544004101830524,0,1.75
67,87,2,2,3,442.405088833486,0.200822297616014,2,0.344071763304328,1,2.75
68,90,2,1,2,444.613284534349,0.200402925246635,1,0.34324999246428,1,1.25
69,74,2,1,2,446.813191119373,0.200450335102687,1,1.19100143370906,1,1.25
70,24,2,2,4,449.861632286229,0.200374830516921,2,0.363473515303212,1,20
