PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StairNum,StimPresTime,StimPresLength,Response,ReationTime,Accuracy,StepLevel
1,2,1,1,2,469.74287033742,0.199359261010841,1,0.166895035165453,1,8.5
2,37,1,2,1,471.694358663995,0.198761952032555,2,0.113585574680883,1,8.5
3,41,1,1,1,473.554211716036,0.19822317406647,1,0.167402499040008,1,7
4,60,1,1,4,475.475968629719,0.198288436144821,1,0.178443496502268,1,15
5,87,1,2,3,477.405843209466,0.198485685655669,2,0.108637070265331,1,8.5
6,7,1,2,3,479.277835886066,0.198681179236019,2,0.0829299571084903,1,7
7,1,1,1,1,481.106523222765,0.198544509322801,1,0.04936944540691,1,5.75
8,13,1,2,1,482.905342769313,0.198586651651567,2,0.0571739705565051,1,4.75
9,39,1,2,3,484.709646086382,0.198336431574944,2,0.0575825170208191,1,5.75
10,112,1,2,4,486.510237074011,0.19851407319652,2,0.113526751013751,1,15
11,20,1,1,4,488.366698839213,0.198269706221254,1,0.115624502486526,1,15
12,75,1,1,3,490.222722792444,0.199381795450563,1,0.0919809001600242,1,4.75
13,48,1,2,4,492.061221682696,0.198789754263544,2,0.107546637510495,1,15
14,27,1,1,3,493.908902918122,0.198564409867004,1,0.0504844611868975,1,3.75
15,16,1,2,4,495.702984086588,0.198301898277805,2,0.0978269776458092,1,15
16,18,1,1,2,497.549686976148,0.198196835111276,1,0.045073269121076,1,7
17,100,1,1,4,499.333011315215,0.19825126895239,1,0.0939811974976692,1,15
18,101,1,2,1,501.163951803223,0.198977053501949,2,0.0705585497419179,1,3.75
19,54,1,2,2,502.971978277971,0.198361892565345,2,0.103132521235011,1,5.75
20,84,1,1,4,504.820267943267,0.198312141204951,1,0.101169683745184,1,15
21,12,1,1,4,506.668416256169,0.198396425862484,1,0.131115320141134,1,15
22,21,1,2,1,508.54955294013,0.198263267809807,1,0.196310965902285,0,3.25
23,53,1,2,1,510.484284130604,0.199380624830155,2,0.0656650644777983,1,4.75
24,91,1,1,3,512.300248288553,0.198800582500553,1,0.114061431808977,1,3.25
25,78,1,2,2,514.165487949635,0.198173130051146,2,0.236899588878032,1,4.75
26,52,1,1,4,516.139778495238,0.198223466721629,1,0.121039206413116,1,15
27,108,1,1,4,518.004640045982,0.19831360448029,1,0.0701400530058436,1,15
28,95,1,2,3,519.822304529832,0.198300142347307,2,0.109430750788988,1,2.75
29,90,1,1,2,521.677026168045,0.198685569061809,1,0.259605231736032,1,3.75
30,32,1,2,4,523.677713907437,0.198684983751718,2,0.0676340477239137,1,15
31,51,1,1,3,525.484199260636,0.198715712533158,1,0.139030761558615,1,2.25
32,93,1,2,1,527.371928585142,0.198784779127209,2,0.151849053202341,1,4.25
33,110,1,2,2,529.267023159551,0.199305997789907,2,0.115548119515552,1,3.25
34,98,1,1,2,531.132946170199,0.199046412751386,2,0.336872020771352,0,2.75
35,83,1,1,3,533.219702299567,0.198496513892906,1,0.141762403892244,1,1.75
36,109,1,2,1,535.107014590611,0.198326773957888,2,0.106505956115825,1,3.75
37,11,1,1,3,536.955597788932,0.198313311825132,2,0.960723057004543,0,1.75
38,17,1,1,1,539.659340730092,0.198655425590687,1,0.124771143742691,1,3.75
39,4,1,1,4,541.523959669792,0.198339065470464,1,0.0738459440349288,1,15
40,45,1,2,1,543.339419583072,0.198249220366961,2,0.0332195685562056,1,3.25
41,81,1,1,1,545.11571610352,0.198329700508566,1,0.0100846007248947,1,3.25
42,36,1,1,4,546.875680423015,0.198484515035489,1,0.000539948586492756,1,15
43,34,1,1,2,548.616227664566,0.198986418464074,1,0.126055606802538,1,4.25
44,15,1,2,3,550.491182595686,0.199384136690924,1,0.0829024475326605,0,2.25
45,35,1,1,3,552.316476889615,0.198816385873897,2,0.178383209559797,0,3.25
46,55,1,2,3,554.244787813375,0.198811118082858,1,0.0450200058999144,0,4.75
47,82,1,1,2,556.028142881224,0.19890301177179,2,0.157844092113692,0,3.75
48,107,1,1,3,557.924662978432,0.198271462151524,1,0.122275088732977,1,7.5
49,71,1,2,3,559.78818182776,0.198691129508006,2,0.159828000767902,1,5.75
50,42,1,1,2,561.692545080586,0.1984160337513,1,0.0120199286391198,1,5.25
51,56,1,2,4,563.443276718236,0.198829262696563,2,0.0778629273934257,1,15
52,38,1,2,2,565.259688638428,0.198366867701225,1,0.0375265730795036,0,4.75
53,99,1,1,3,567.035756009964,0.198737369007631,2,0.11033622554578,0,5.75
54,115,1,1,3,568.892743090999,0.199174595667728,1,0.000573603918155641,1,8
55,69,1,2,1,570.632507187608,0.1993888191721,2,0.229237001432921,1,2.75
56,74,1,1,2,572.61137280977,0.199046998061476,1,0.0467021871868383,1,7
57,58,1,1,2,574.39660233328,0.19850909806064,2,0.0770964637904399,0,5.75
58,119,1,2,3,576.213046152874,0.198582554480481,1,0.181813126867155,0,7
59,26,1,1,2,578.132157172156,0.198296630486539,1,0.546144386642027,1,8
60,80,1,2,4,580.426859647315,0.199002221837191,1,0.262431694309043,0,15
61,24,1,2,4,596.848208014535,0.198336724230103,2,0.534072950712243,1,15
62,46,1,2,2,599.133294722376,0.198856186962075,2,0.162784694842685,1,7.5
63,57,1,1,1,601.043111602251,0.199161426189903,1,0.158057730307746,1,2.75
64,118,1,2,2,602.93951024761,0.198302483587895,2,0.0909194402563571,1,6.5
65,47,1,2,3,604.772441082683,0.198300435002466,2,0.233572100841911,1,9.5
66,31,1,2,3,606.748007019039,0.198483051760149,2,0.0741664013260106,1,8.5
67,76,1,1,4,608.571514946479,0.199227566233731,1,0.0570882226238609,1,15
68,30,1,2,2,610.37153174488,0.199086213839564,2,0.129386314044496,1,5.75
69,33,1,1,1,612.242913357713,0.19933145878008,1,0.157952374486285,1,2.25
70,22,1,2,2,614.139319904758,0.19850968337073,2,0.10726949316836,1,5.75
71,64,1,2,4,615.986576497692,0.198232246373436,2,0.0571798236576342,1,15
72,66,1,1,2,617.786807519596,0.198331749093995,1,0.0732208328261095,1,5.75
73,65,1,1,1,619.603225585544,0.198588114926906,1,0.416397814217817,1,1.75
74,9,1,1,1,621.764275128534,0.19861533184735,1,0.529911103098812,1,1.75
75,59,1,1,3,624.044084095017,0.199005148387869,1,0.197897448984349,1,8
76,40,1,2,4,625.980102089791,0.198400523033115,2,0.0816273494347115,1,15
77,116,1,1,4,627.812929032319,0.198796192674763,2,0.016252013466783,0,15
78,104,1,2,4,629.580095300194,0.198741173523331,1,0.129420554686703,0,15
79,96,1,2,4,631.459306313857,0.199320923198002,2,0.277852274749193,1,15
80,70,1,2,2,633.475467604256,0.199167571946418,2,0.173251503076244,1,5.25
81,113,1,1,1,635.38935004823,0.198345211226524,1,0.129767936243297,1,1.25
82,88,1,2,4,637.258932125097,0.198784193817346,2,0.0870874148959047,1,15
83,3,1,1,3,639.083377719351,0.198289021454912,1,0.133814770417985,1,7.5
84,19,1,1,3,640.963737696781,0.198294289246178,2,0.162524524494074,0,7
85,94,1,2,2,642.874900204625,0.199135672544799,2,0.189953912681176,1,5.25
86,67,1,1,3,644.802705713095,0.198478661934132,1,0.169432061883754,1,8
87,79,1,2,3,646.714927046947,0.198773365580109,2,0.108571808186753,1,8
88,86,1,2,2,648.570683513453,0.198916181249388,2,0.234574151768584,1,4.75
89,8,1,2,4,650.546840320375,0.199246003502594,2,0.0666276069712239,1,15
90,23,1,2,3,652.363552797314,0.198824287560683,2,0.122706169637013,1,7.5
91,44,1,1,4,654.235352906884,0.198484515035489,1,0.120196652494542,1,15
92,5,1,2,1,656.099705823133,0.198292240660749,2,0.317461673893376,1,1.25
93,89,1,1,1,658.162499648814,0.198302190932736,2,0.866903697755333,0,1.25
94,10,1,1,2,660.779860473773,0.198370379561993,1,0.178415401616348,1,4.75
95,29,1,2,1,662.706497703243,0.198362185220276,2,1.05366181717727,1,1.75
96,50,1,1,2,665.49883698879,0.198335260954764,1,0.173680242739692,1,4.75
97,97,1,1,1,667.418752809489,0.198732979181841,1,0.273014686601528,1,1.75
98,28,1,1,4,669.434780063869,0.199254783154174,1,0.0565058390538979,1,15
99,6,1,2,2,671.234551032019,0.199319752577821,2,0.11161103098857,1,4.25
100,117,1,2,1,673.09132506017,0.199178692838814,2,0.445720095335219,1,1.25
101,103,1,2,3,675.275497864789,0.198954519062454,2,0.158560219046421,1,7.5
102,73,1,1,1,677.171322906229,0.198296045176448,1,0.259442222867392,1,1.25
103,72,1,2,4,679.170131214823,0.198322384132098,2,0.195308914975385,1,15
104,68,1,1,4,681.107558343713,0.199266782011819,1,0.165163395173295,1,15
105,92,1,1,4,683.011870674558,0.198264438429987,1,0.185568183946771,1,15
106,114,1,1,2,684.947164640713,0.198296630486766,1,0.508198731515904,1,4.25
107,77,1,2,1,687.203800301552,0.198418667647047,2,0.378120288253513,1,1.25
108,85,1,2,1,689.323685276407,0.199408719716075,1,0.627561024433135,0,1.25
109,49,1,1,1,691.691419529223,0.199272927768106,1,0.933763087534317,1,1.75
110,63,1,2,3,694.362454462873,0.198482466450059,2,0.188055459304451,1,7.5
111,25,1,1,1,696.299315596876,0.198232246373436,1,0.686424785308418,1,1.25
112,43,1,1,3,698.731112042405,0.198281119768353,1,0.0930862583229555,1,7.5
113,61,1,2,1,700.570444706924,0.1983244327173,2,0.315870508330136,1,1.25
114,120,1,2,4,702.627513906968,0.198303654208075,2,0.0973367804197096,1,15
115,14,1,2,2,704.476320401101,0.198893061499803,2,0.141067933433987,1,4.25
116,105,1,1,1,706.35555424186,0.198428325263876,2,0.156834724810551,0,1.25
117,62,1,2,2,708.250431080904,0.198916766559478,2,0.160630753598525,1,3.75
118,106,1,1,2,710.156601771383,0.199332044090397,1,0.0591763164795793,1,3.75
119,111,1,2,3,711.955548330227,0.198936959758612,2,0.108649654433066,1,6.5
120,102,1,2,2,713.803297754282,0.198498855133494,2,0.0430299514896433,1,3.75
121,164,2,1,4,891.763928917598,0.199384722001241,1,0.175858767009004,1,15
122,226,2,1,2,893.689592483682,0.19850851275055,1,0.091219411693146,1,8.5
123,163,2,1,3,895.528093715174,0.198323554752278,1,0.0578690263248518,1,8.5
124,178,2,1,2,897.327275276032,0.198306580758754,1,0.000572725953134068,1,7
125,236,2,1,4,899.070324425694,0.199270293872587,1,0.0508297941580622,1,15
126,182,2,2,2,900.848925897398,0.198449689083418,2,0.0455262991542895,1,5.75
127,145,2,1,1,902.624892595593,0.198536607636242,1,0.00053292486495593,1,8.5
128,195,2,1,3,904.36193090297,0.19822317406647,1,0.000531168934685411,1,7
129,150,2,2,2,906.0958840407,0.198318872271102,2,0.0915758655564787,1,4.75
130,128,2,2,4,907.919360361394,0.199064850020022,2,0.0251902843201606,1,15
131,170,2,1,2,909.671734086588,0.198233416993844,1,0.0488748583550205,1,3.75
132,179,2,1,3,911.44671336661,0.199385892621194,1,0.34883312574334,1,5.75
133,146,2,1,2,913.527278670831,0.198543046047462,1,0.138143431415756,1,3.25
134,204,2,1,4,915.398158672891,0.198296045176676,1,0.0958600429851231,1,15
135,168,2,2,4,917.222727474925,0.198281997733602,2,0.0466849205383824,1,15
136,157,2,2,1,919.00707932591,0.198339650780554,1,0.22308334347872,0,7
137,175,2,2,3,920.966363690638,0.198324725372458,2,0.0973543397233243,1,4.75
138,211,2,1,3,922.791132083423,0.198564995177094,1,0.0400325783612061,1,3.75
139,210,2,1,2,924.566637849898,0.198730345286094,1,0.281438762513972,1,2.75
140,131,2,1,3,926.574713666289,0.198423350127996,1,0.00896226856843896,1,3.25
141,122,2,1,2,928.317800861108,0.199280536799733,1,0.0101972729230511,1,2.25
142,156,2,1,4,930.055032320825,0.199175180977818,1,0.0534036954138628,1,15
143,230,2,2,2,931.846357849243,0.198477491313952,2,0.173732920650764,1,1.75
144,149,2,2,1,933.7500260463,0.198565287832025,2,0.0102704366881881,1,10.5
145,231,2,2,3,935.486648198181,0.198427447298627,2,0.0579392635395379,1,2.75
146,129,2,1,1,937.269815381482,0.198737661662562,1,0.0263998276845996,1,9.5
147,139,2,1,3,939.021977517068,0.198324725372458,1,0.0550630496061331,1,2.25
148,140,2,1,4,940.81351961023,0.198536900291174,1,0.0157784975790491,1,15
149,169,2,1,1,942.557899169796,0.198509976025662,1,0.000492538466460246,1,9
150,137,2,1,1,944.291518680758,0.19838354903959,1,0.044576340828371,1,8.5
151,127,2,2,3,946.070096154747,0.198472516178072,2,0.162797571665351,1,1.75
152,130,2,1,2,947.958496537305,0.198760781412375,1,0.0584078042909368,1,1.75
153,218,2,1,2,949.750456249239,0.199375649694048,1,0.00050541528935355,1,1.25
154,233,2,1,1,951.476683878686,0.198907108942649,1,0.0531446956856598,1,8
155,136,2,2,4,953.261545827441,0.19871337129257,2,0.000629208379905322,1,15
156,205,2,2,1,954.991997932685,0.198499733098743,2,0.000600528183895221,1,7.5
157,234,2,1,2,956.725136904037,0.198292533315907,2,0.635529436416618,0,1.25
158,240,2,2,4,959.094118452721,0.198304824828483,2,0.000542582481784848,1,15
159,158,2,2,2,960.824999297628,0.198410180649944,2,0.0554721813805372,1,1.75
160,184,2,2,4,962.613478755584,0.198493587342227,2,0.0481654624886687,1,15
161,121,2,1,1,964.388782297412,0.198291655350658,1,0.0809369761473135,1,6.5
162,167,2,2,3,966.206543942743,0.198335553609922,2,0.056254741012026,1,1.75
163,185,2,1,1,967.999910447552,0.199226980923413,1,0.0719237855985284,1,6.5
164,225,2,1,1,969.798038450193,0.199326190989041,1,0.200218788923166,1,5.25
165,166,2,2,2,971.726170269056,0.19936248021645,2,0.0826905652691039,1,1.75
166,228,2,1,4,973.541777680486,0.198828970041404,1,0.000493416431709193,1,15
167,126,2,2,2,975.275989232635,0.198365404425886,2,0.0378508348865125,1,1.75
168,187,2,1,3,977.04564862897,0.198243659920763,2,0.215323301898252,0,1.25
169,174,2,2,2,978.98937954786,0.198293703936088,2,0.593355208323601,1,1.25
170,132,2,1,4,981.317162287767,0.199027097517273,1,0.000518292112019481,1,15
171,208,2,2,4,983.04264598805,0.198670936308872,2,0.000541997171694675,1,15
172,235,2,1,3,984.775111560109,0.198263853119897,1,0.122155392813511,1,1.75
173,220,2,1,4,986.629674579279,0.198412814545691,1,0.000541704516763275,1,15
174,142,2,2,2,988.357785151385,0.198539241531762,2,0.0667923717703616,1,1.25
