PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StairNum,StimPresTime,StimPresLength,Response,ReationTime,Accuracy,StepLevel
1,19,2,1,3,397.4904854536,0.198964247031654,1,0.278965277166208,1,8.5
2,64,2,2,4,399.543398933168,0.19849922344838,2,0.693528387655533,1,15
3,119,2,2,3,401.990070619787,0.19920012431885,2,0.475365895129471,1,7
4,75,2,1,3,404.205830149039,0.19900199910353,1,0.450735448404885,1,5.75
5,3,2,1,3,406.401558546001,0.198292026030686,1,0.443410083197705,1,4.75
6,94,2,2,2,408.60664184785,0.198968929459625,2,0.241869915725147,1,8.5
7,105,2,1,1,410.590348755982,0.199060529447706,1,0.386001180556377,1,8.5
8,86,2,2,2,412.719436844442,0.199342938358313,2,0.270366291672872,1,7
9,22,2,2,2,414.739541724965,0.199414930681087,2,0.44453884088216,1,5.75
10,9,2,1,1,416.922068895483,0.198968636807876,1,0.326872363756593,1,7
11,59,2,1,3,418.985964130849,0.198299927627886,1,0.372636654452435,1,3.75
12,14,2,2,2,421.096760023541,0.198303439447955,2,0.311655352264097,1,4.75
13,90,2,1,2,423.151506673484,0.19842020748456,1,0.325692684672504,1,3.75
14,110,2,2,2,425.216894432623,0.198284709737891,2,0.283094592937232,1,3.25
15,29,2,2,1,427.240928455141,0.198707298822228,2,0.351923058350621,1,5.75
16,51,2,1,3,429.327062294723,0.198930592084253,1,0.294531129509778,1,3.25
17,97,2,1,1,431.367934326613,0.198452691824968,1,0.365478978680585,1,4.75
18,69,2,2,1,433.473658857646,0.199035654051841,1,0.390142202397328,0,3.75
19,63,2,2,3,435.600226922144,0.198394454133449,2,0.364096784606772,1,2.75
20,27,2,1,3,437.703589461144,0.19825749312804,1,0.264200997884473,1,2.25
21,109,2,2,1,439.70739481146,0.198247250317763,2,0.237514672825455,1,5.75
22,84,2,1,4,441.680549576518,0.198287343602715,1,0.313123293291028,1,15
23,5,2,2,1,443.735917526063,0.198728369746277,2,0.279142624108317,1,5.25
24,91,2,1,3,445.752434203846,0.198339142957593,1,0.32626862325742,1,1.75
25,58,2,1,2,447.815434510252,0.198363140399124,1,0.395593425989318,1,2.75
26,49,2,1,1,449.950298665713,0.198722809363062,1,0.262472596824409,1,4.75
