PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StimPresTime,StimPresLength,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,StepLevel
1,295,2,7,2.17960439809985,0.198321286290138,NaN,NaN,NaN,NaN,0,-1.63713115221154
2,218,2,2,5.31801970195693,0.198765240249031,NaN,NaN,NaN,NaN,0,1.63713115221154
3,449,3,1,8.46439281467701,0.198975657451228,NaN,NaN,NaN,NaN,0,-2.67758704289199
4,2,1,2,11.3616796619044,0.198143353523392,NaN,NaN,NaN,NaN,0,-2.67758704289199
5,3,1,1,14.3649860507148,0.198819380975692,NaN,NaN,NaN,NaN,0,2.67758704289199
6,429,3,1,17.4322156638782,0.199245775779673,NaN,NaN,NaN,NaN,0,-2.67758704289199
7,130,1,2,20.5114463739028,0.198587600134942,NaN,NaN,NaN,NaN,0,-2.67758704289199
8,8,1,2,23.376576556012,0.198313677323313,NaN,NaN,NaN,NaN,0,-2.67758704289199
9,353,2,1,26.2770442440947,0.198363428261018,NaN,NaN,NaN,NaN,0,1.63713115221154
10,419,3,1,29.3598605334882,0.198241099483766,NaN,NaN,NaN,NaN,0,-2.67758704289199
11,35,1,1,32.3445088572767,0.198325383426436,NaN,NaN,NaN,NaN,0,2.67758704289199
12,196,1,2,35.4263945114767,0.198386840467265,NaN,NaN,NaN,NaN,0,-2.67758704289199
13,285,2,5,38.6764702353307,0.198479026028508,NaN,NaN,NaN,NaN,0,-1.63713115221154
14,71,1,1,41.8593444406692,0.198666323677571,NaN,NaN,NaN,NaN,0,2.67758704289199
15,341,2,5,44.7435479618066,0.198482830512148,NaN,NaN,NaN,NaN,0,-1.63713115221154
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
