PresOrder,TrialNumber,Illusory_Fragmented,Fat_Thin,StimPresTime,StimPresLength,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,StepLevel
1,166,1,2,217.820983484889,0.200403746921438,2,0.463095026269002,2.2748827038522,1.02108960161604,1,-5.83710343289226
2,210,2,2,221.157796974649,0.201306880437187,3,0.365002317828839,1.88195377689044,0.925080597204214,1,2.25979049988359
3,48,1,2,224.191998108277,0.200438572872372,2,0.455370688605399,1.99993590854137,1.01195525186995,1,-5.83710343289226
4,373,2,5,227.252546684334,0.20030717075133,3,0.763223033593022,2.41135156301243,1.32168614968941,1,-2.25979049988359
5,46,1,2,230.422113952856,0.200362482557466,2,0.365313117501501,1.96159458377406,0.922825689964156,1,-5.83710343289226
6,300,2,4,233.535860780476,0.200431841807585,3,0.39523534149339,2.05599837517912,0.951984962212009,1,2.25979049988359
7,343,2,7,236.711169063317,0.200495347955439,3,0.493923310326863,1.90454089444756,1.05043909965207,1,-2.25979049988359
8,277,2,5,239.63765557543,0.201255958456386,2,0.457320649271423,2.12183932534754,1.01740712298852,0,-2.25979049988359
9,159,1,1,242.816425674981,0.200429500566315,1,0.931288688998393,2.35906698054896,1.48825341118754,1,5.83710343289226
10,303,2,7,245.759942955676,0.200444425974638,3,0.385879451869187,1.89650780569536,0.942462551858625,1,-2.25979049988359
11,26,1,2,248.78651106002,0.200493592024941,2,0.509787848493943,2.0217972415503,1.06705049353332,1,-5.83710343289226
12,249,2,1,251.813108722527,0.200416623743877,2,1.0723311614438,2.66642356786178,1.62912585104095,0,2.25979049988359
13,22,1,2,254.922568738821,0.201024760959626,2,0.808215529916197,2.37299063035607,1.36882468557269,1,-5.83710343289226
14,224,2,8,258.003346510615,0.200477203341507,3,0.30681254155752,1.70030717075133,0.862934709826732,1,-2.25979049988359
15,422,3,1,260.911657094895,0.200382383101896,3,0.866908672891441,2.34383662589789,1.42292958250982,1,-5.83710343289226
16,208,2,8,263.903715899833,0.200406088160889,3,0.437829236943799,1.83165749290674,0.993689771588834,1,-2.25979049988359
17,305,2,1,266.812320602448,0.200463155899342,3,0.544405137618014,2.1710592240197,1.1003142530044,1,2.25979049988359
18,212,2,4,269.954195678538,0.200452912971741,3,0.534465401147827,2.24505530009992,1.09069087665557,1,2.25979049988359
19,49,1,1,273.179871653198,0.200394089304609,2,0.732677161666288,2.25978375132217,1.28862929734714,0,5.83710343289226
20,286,2,6,276.222620948483,0.200440036149303,3,0.257641516280273,1.78495530571854,0.813631697117671,1,-2.25979049988359
21,404,3,1,279.2651232429,0.200518467705479,3,0.630327200062311,2.15830180462763,1.18690708084796,1,-5.83710343289226
22,103,1,1,282.307938970884,0.200459644038347,2,0.851723094463523,2.57940814611356,1.40837526104951,0,5.83710343289226
23,349,2,5,285.551137959937,0.201216157369345,3,0.443308032328787,2.20817198284203,1.00336524054001,1,-2.25979049988359
24,89,1,1,288.830735922122,0.200441499424414,1,0.607148626628259,2.18469694983105,1.16355496296092,1,5.83710343289226
25,211,2,3,291.922879831151,0.200395259924335,3,0.181112510652383,1.90853241681543,0.737522944156808,1,2.25979049988359
