CatchTime,CatchType,Accuracy,ResponseTime
4,3,0,0
14,2,1,0.101107154041529
18,4,0,0
24,4,0,0
34,2,1,0.0839358353987336
54,2,1,0.00102128554135561
68,2,1,0.051524261943996
70,4,0,0
72,1,1,0.0895595522597432
78,1,1,0.0506041068583727
80,4,0,0
82,4,0,0
84,2,1,0.0226176185533404
86,3,0,0
88,3,0,0
100,2,1,0.0656644124537706
102,4,0,0
104,3,0,0
106,1,1,0.00648323353379965
114,4,0,0
116,1,1,0.0909770242869854
140,1,1,0.071409223601222
142,3,0,0
146,3,0,0
158,3,0,0
172,4,0,0
174,4,0,0
176,3,0,0
182,1,1,0.00101116020232439
184,4,0,0
186,1,1,0.102009588852525
188,2,1,0.0511716092005372
196,2,1,0.00105174165219069
200,1,1,0.00103720091283321
208,1,1,0.110169635154307
226,2,1,0.0706343092024326
230,3,0,0
234,2,1,0.109668348915875
240,3,0,0
242,1,1,0.00103234499692917
