CatchTime,CatchType,Accuracy,ResponseTime
4,3,0,0
8,2,1,0.00214669806882739
16,4,0,0
18,4,0,0
22,1,1,0.0309698949567974
34,3,0,0
36,3,0,0
40,3,0,0
42,2,1,0.0039037570822984
46,1,1,0.0890578478574753
48,1,1,0.00658937101252377
50,2,1,0.0600763359107077
52,1,0,0
64,4,0,0
70,2,1,0.0837013151030988
82,3,0,0
88,2,1,0.0336932518985122
100,4,0,0
114,3,0,0
120,4,0,0
122,1,1,0.0919168391264975
124,1,1,0.060010293032974
126,3,0,0
128,4,0,0
132,2,1,0.100119034992531
134,1,1,0.0145060608629137
138,1,0,0
140,3,0,0
148,2,1,0.0953006071504205
150,4,0,0
188,2,1,0.118908516131341
192,4,0,0
194,2,0,0
200,1,1,0.00384087604470551
212,1,0,0
218,4,0,0
220,3,0,0
224,4,0,0
236,3,0,0
242,2,1,0.110619965940714
