CatchTime,CatchType,Accuracy,ResponseTime
2,3,0,0
8,2,1,0.0781319630332291
12,1,1,0.0629164753481746
14,1,1,0.0176672353409231
20,3,0,0
26,4,0,0
36,2,1,0.0574699812568724
44,4,0,0
50,4,0,0
52,1,1,0.0653624148108065
56,1,1,0.0394187686033547
62,2,1,0.00112885516136885
66,4,0,0
68,3,0,0
72,2,1,0.011973962187767
84,3,0,0
96,1,1,0.0173705667257309
98,1,1,0.00114426529034972
100,4,0,0
106,2,1,0.0307503561489284
108,4,0,0
110,3,0,0
120,3,0,0
130,2,1,0.038546924944967
156,4,0,0
164,4,0,0
172,3,0,0
194,2,1,0.0679829050786793
198,2,1,0.106272852048278
202,2,1,0.111796519253403
206,4,0,0
214,2,1,0.0920952251181006
216,3,0,0
220,1,1,0.0359876547008753
222,3,0,0
224,3,0,0
240,1,1,0.0144354370422661
244,4,0,0
246,1,1,0.0928988689556718
248,1,1,0.00117951584979892
