CatchTime,CatchType,Accuracy,ResponseTime
8,1,1,0.00993908200007354
10,2,1,0.0475792009999623
12,4,0,0
24,2,1,0.0172097170000143
28,1,0,0
30,3,0,0
36,2,1,0.00105695499996727
46,1,1,0.0446683459999804
52,1,1,0.0795675809999921
56,4,0,0
60,2,1,0.00102333499989982
66,4,0,0
70,3,0,0
74,3,0,0
76,3,0,0
96,2,1,0.0709359089998998
104,2,1,0.036345067999946
108,4,0,0
114,3,0,0
130,3,0,0
144,4,0,0
148,3,0,0
152,1,1,0.0868870420001713
156,1,0,0
164,4,0,0
166,2,1,0.00381645700008448
168,3,0,0
186,2,1,0.103180344000066
188,1,1,0.0465108140001576
194,2,1,0.0792305239999678
198,2,1,0.049489038000047
202,4,0,0
208,1,1,0.030798933999904
214,1,1,0.0441795830001865
216,4,0,0
218,4,0,0
222,4,0,0
228,1,1,0.00104492500008746
236,3,0,0
248,3,0,0
