CatchTime,CatchType,Accuracy,ResponseTime
2,3,0,0
4,1,1,0.0239538233727217
12,4,0,0
14,2,1,0.00142417289316654
16,2,1,0.0987909128889441
22,2,1,0.0677316011860967
28,2,1,0.0170965809375048
30,1,1,0.0914988284930587
56,3,0,0
70,4,0,0
76,1,1,0.0170975681394339
78,3,0,0
86,3,0,0
90,3,0,0
104,1,1,0.0382916079834104
110,2,1,0.00105353724211454
114,3,0,0
124,4,0,0
136,4,0,0
138,1,1,0.0947178965434432
140,2,1,0.0950326900929213
144,2,1,0.107949675992131
146,4,0,0
152,1,1,0.0862179258838296
154,2,1,0.104723628610373
160,3,0,0
166,3,0,0
178,1,1,0.0651701716706157
182,1,1,0.064813943579793
184,3,0,0
192,3,0,0
196,4,0,0
206,4,0,0
210,2,1,0.08622329775244
212,2,1,0.00916145369410515
214,4,0,0
228,4,0,0
232,4,0,0
236,1,1,0.0859686424955726
240,1,1,0.0966900922358036
