PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,47,1,2,0.99,1,1.35728565111435,0
2,45,1,3,0.99,1,1.21305316254461,0
3,11,1,2,1.2,2,1.21579912970719,1
4,54,1,3,1.2,2,1.08001583840382,1
5,65,1,2,1.1,1,1.13801711495807,0
6,19,1,1,0.99,1,1.01281090403268,0
7,14,1,2,1.15,2,1.02989893799008,1
8,25,1,1,1.2,2,1.50950611513986,1
9,69,1,3,1.1,1,1.3873765697565,0
10,9,1,3,1.15,2,1.05136506730582,1
11,101,1,5,0.5,1,1.02825364038904,0
12,4,1,1,1.1,2,1.01732596119837,1
13,49,1,1,1.025,1,1.01153903221257,0
14,97,1,4,1.5,2,1.01408804361472,1
15,85,1,1,1.05,1,1.01175998555459,0
16,104,1,5,0.5,1,1.06535682794106,0
17,52,1,1,1.075,2,1.17792801954693,1
18,58,1,1,1.05,1,1.11493934318628,0
19,50,1,2,1.125,2,1.07251922806222,1
20,86,1,2,1.1,1,1.10106815576546,0
21,94,1,4,1.5,2,1.14847830457666,1
22,35,1,2,1.1,1,1.04981927187237,0
23,66,1,3,1.125,1,1.1871878668228,0
24,32,1,2,1.125,1,1.01948779210829,0
25,21,1,3,1.15,2,1.08116801496976,1
26,42,1,3,1.125,1,1.08134126580217,0
27,28,1,1,1.075,1,1.01421329928417,0
28,76,1,1,1.1,2,1.07622246460414,1
29,110,1,5,0.5,1,1.01721914269524,0
30,77,1,2,1.15,2,1.01191714044808,1
31,99,1,4,1.5,2,1.10566983834701,1
32,70,1,1,1.075,1,1.05686870776844,0
33,75,1,3,1.15,2,1.04685264402133,1
34,31,1,1,1.1,2,1.14289652564753,1
35,79,1,1,1.075,1,1.22093197826985,0
36,30,1,3,1.125,1,1.05903405051959,0
37,20,1,2,1.125,1,1.04062410100528,0
38,87,1,3,1.125,2,1.02976285414343,1
39,98,1,4,1.5,2,1.58720355304695,1
40,57,1,3,1.1,1,1.06798017331516,0
41,106,1,5,0.5,1,1.06856665079499,0
42,22,1,1,1.075,2,1.46943190993534,1
43,51,1,3,1.125,2,1.16578173146058,1
44,41,1,2,1.15,2,1.0506787950053,1
45,12,1,3,1.1,1,1.17192160048648,0
46,27,1,3,1.15,2,1.16386075432592,1
47,18,1,3,1.1,1,1.11276785471273,0
48,90,1,3,1.15,2,1.12071837052895,1
49,71,1,2,1.125,1,1.17827539917198,0
50,1,1,1,1.1,1,1.09157711227749,0
51,39,1,3,1.1,1,1.09426864590137,0
52,64,1,1,1.25,2,1.02523023777212,1
53,88,1,1,1.2,2,1.22762818147203,1
54,3,1,3,1.125,2,1.29358231507013,1
55,38,1,2,1.125,1,1.08585134785926,0
