PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,95,1,4,1.5,2,1.09977053044315,1
2,103,1,5,0.5,1,0.695267296476345,0
3,78,1,3,0.99,1,0.738547520040129,0
4,8,1,2,0.99,1,0.724345341586627,0
5,12,1,3,1.2,2,0.791253525376419,1
6,98,1,4,1.5,2,0.761253914605504,1
7,45,1,3,1.1,1,0.714800157213404,0
8,70,1,1,0.99,1,0.777701037544148,0
9,19,1,1,1.2,2,0.736770235741119,1
10,28,1,1,1.1,1,0.80709661162939,0
11,108,1,5,0.5,1,0.703568703758947,0
12,22,1,1,1.15,2,0.692248868967681,1
13,87,1,3,1.15,2,0.744947850621429,1
14,13,1,1,1.125,1,1.28523613181233,0
15,53,1,2,1.2,2,0.696904985087826,1
16,92,1,4,1.5,2,0.74110501839175,1
17,59,1,2,1.1,1,0.718187035394294,0
18,11,1,2,1.15,2,0.753286424890007,1
19,52,1,1,1.15,1,0.729567449446336,0
20,106,1,5,0.5,1,0.732132264133838,0
21,36,1,3,1.125,2,0.706484995219512,1
22,71,1,2,1.125,2,0.653250457783088,1
23,109,1,5,0.5,1,0.610859608002443,0
24,35,1,2,1.1,2,0.593456971604724,1
25,88,1,1,1.175,2,0.616054206439458,1
26,18,1,3,1.1,1,0.684207923240592,0
27,6,1,3,1.1,2,0.658220005730186,1
28,79,1,1,1.1,2,0.587136828064104,1
29,86,1,2,1.025,1,0.611911111787549,0
30,57,1,3,1.025,1,0.602690772725055,0
31,40,1,1,0.825,1,0.585858810521813,0
32,41,1,2,1.075,2,0.570671267959142,1
33,72,1,3,1.075,2,0.586119857384119,1
34,26,1,2,1.05,1,0.654050864922624,0
35,34,1,1,0.85,1,0.643157718836733,0
36,14,1,2,1.01,2,0.589437084048086,1
37,48,1,3,0.875,1,0.604154039890432,0
38,25,1,1,0.9,1,0.595876922842763,0
39,93,1,4,1.5,2,0.591289287625955,1
40,96,1,4,1.5,2,0.630287991463888,1
41,60,1,3,0.9,1,0.637182028386746,0
42,94,1,4,1.5,2,0.610158410376812,1
43,50,1,2,0.75,1,0.602508156982822,0
44,23,1,2,0.8,1,0.636436054785804,0
45,30,1,3,0.925,1,0.626574512051661,0
46,69,1,3,1.075,2,0.594067446666145,1
47,4,1,1,1.3,2,0.61272000587644,1
48,21,1,3,1.05,1,0.599361254616952,0
49,63,1,3,1.2,2,0.577416051631076,1
50,43,1,1,1.25,2,0.566694693110435,1
51,76,1,1,1.125,2,0.691723848708648,1
52,51,1,3,1.075,1,0.571030353721426,0
