PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,84,2,3,0.99,2,1.87537399999565,1
2,82,2,1,0.99,2,1.35548910003854,1
3,76,2,1,0.75,1,1.27205350005534,0
4,61,2,1,0.9,1,1.27217219996965,0
5,47,2,2,0.99,1,1.34408120001899,0
6,42,2,3,0.75,1,1.36541440000292,0
7,65,2,2,1.2,2,1.28969560004771,1
8,12,2,3,0.9,1,1.32146070001181,0
9,31,2,1,0.975,1,1.35113720002118,0
10,64,2,1,1.1,2,1.31574400002137,1
11,23,2,2,1.1,2,1.30626390001271,1
12,71,2,2,1.025,1,1.25634919997538,0
13,9,2,3,0.975,2,1.44895609997911,1
14,26,2,2,1.05,2,1.2740009999834,1
15,15,2,3,0.925,1,1.2577203999972,0
16,59,2,2,1.01,2,1.17060460004723,1
17,7,2,1,1.01,2,1.25462490000064,1
18,20,2,2,0.9,1,1.39917419996345,0
19,24,2,3,0.95,1,1.25018510001246,0
20,85,2,1,0.975,2,1.48276049998822,1
21,78,2,3,0.975,2,1.32223039999371,1
22,33,2,3,0.95,2,1.61646069999551,1
23,58,2,1,0.95,1,1.31402789999265,0
24,62,2,2,0.95,1,1.27998210000806,0
25,44,2,2,1.025,2,1.29615619999822,1
26,77,2,2,0.975,1,1.2635618999484,0
27,98,2,4,1.5,2,1.28758140001446,1
28,103,2,5,0.5,1,1.2711611999548,0
29,105,2,5,0.5,1,1.35923750000075,0
30,41,2,2,1.01,1,1.33149110001978,0
31,27,2,3,0.925,2,1.48909809999168,1
32,75,2,3,1.1,2,1.26474280003458,1
33,100,2,4,1.5,2,1.2884412999847,1
34,107,2,5,0.5,1,1.29553519998444,0
35,104,2,5,0.5,1,1.34336870000698,0
36,39,2,3,0.825,1,1.25249730003998,0
37,101,2,5,0.5,1,1.25334070000099,0
38,110,2,5,0.5,1,1.23793110001134,0
39,40,2,1,0.95,2,1.34337030001916,1
40,5,2,2,1.125,2,1.28467779996572,1
41,6,2,3,0.85,1,1.26802760001738,0
42,29,2,2,1.075,2,1.34845879999921,1
43,51,2,3,1.025,2,1.28898579999804,1
44,94,2,4,1.5,2,1.28838260000339,1
45,54,2,3,0.925,1,1.30336780002108,0
46,79,2,1,0.8,1,1.27034380001714,0
47,63,2,3,0.95,1,1.2782722999691,0
48,96,2,4,1.5,2,1.31791879999219,1
49,17,2,2,1.01,2,1.34859090001555,1
50,52,2,1,1.125,2,1.33710799994878,1
51,109,2,5,0.5,1,1.27846040000441,0
52,37,2,1,0.85,1,1.35843770002248,0
53,57,2,3,0.99,2,1.28351619996829,1
54,81,2,3,0.95,2,1.33330869994825,1
55,49,2,1,0.925,1,1.2721668999875,0
56,93,2,4,1.5,2,1.29626500001177,1
57,88,2,1,0.975,1,1.23134910000954,0
58,14,2,2,0.925,1,1.35282249999,0
59,46,2,1,1.1,2,1.29346309998073,1
60,91,2,4,1.5,2,1.2447687999811,1
61,72,2,3,0.925,2,1.49392410001019,1
62,19,2,1,1.05,2,1.2936109000002,1
63,97,2,4,1.5,2,1.27685289998772,1
64,102,2,5,0.5,1,1.35716559999855,0
65,74,2,2,0.99,2,1.32251510000788,1
66,2,2,2,0.85,1,1.19171560002724,0
67,32,2,2,0.875,1,1.27527829998871,0
68,28,2,1,0.95,2,1.52312770002754,1
