PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,17,1,2,0.99,1,0.842672565951943,0
2,44,1,2,1.2,2,1.04696246207459,1
3,32,1,2,1.1,1,0.735929562069941,0
4,24,1,3,0.99,1,0.693009986367542,0
5,10,1,1,0.99,1,0.660260572796687,0
6,55,1,1,1.2,2,0.740459162159823,1
7,31,1,1,1.1,1,0.722209162137005,0
8,16,1,1,1.15,1,0.799740772752557,0
9,84,1,3,1.2,2,0.682456793205347,1
10,109,1,5,0.5,1,0.825940293201711,0
11,43,1,1,1.175,2,1.15606459020637,1
12,71,1,2,1.15,1,0.800497083459049,0
13,69,1,3,1.1,1,0.699423124257009,0
14,62,1,2,1.175,1,0.946295379544608,0
15,65,1,2,1.25,2,0.768281041702721,1
16,36,1,3,1.15,1,0.74726659321459,0
17,37,1,1,1.15,1,0.824091155314818,0
18,27,1,3,1.175,1,0.826064431108534,0
19,81,1,3,1.25,2,0.628167393209878,1
20,61,1,1,1.175,1,0.742282697057817,0
21,66,1,3,1.2,2,0.771423924248666,1
22,18,1,3,1.175,1,0.791556117474101,0
23,40,1,1,1.2,2,0.7468489620951,1
24,86,1,2,1.2,2,0.912303024262656,1
25,75,1,3,1.2,1,0.87881872424623,0
26,42,1,3,1.25,2,0.830884617462289,1
27,63,1,3,1.175,1,0.912546779611148,0
28,88,1,1,1.2,1,0.871047993190587,0
29,47,1,2,1.175,1,0.846974455285817,0
30,50,1,2,1.2,2,0.775919517502189,1
31,98,1,4,1.5,2,0.779830976563971,1
32,77,1,2,1.175,1,0.74395437957719,0
33,94,1,4,1.5,2,0.677421993226744,1
34,22,1,1,0.975,1,0.74121622426901,0
35,92,1,4,1.5,2,0.7308294280665,1
36,103,1,5,0.5,1,0.775891286379192,0
37,90,1,3,1.2,1,0.899913166009355,0
38,23,1,2,1.2,2,0.874559031100944,1
39,76,1,1,1.3,2,0.842595024267212,1
40,14,1,2,1.175,1,0.819970452343114,0
41,29,1,2,1.2,1,1.03826479316922,0
42,13,1,1,1.3,2,0.816798693151213,1
43,1,1,1,1.25,1,0.833624517486896,0
44,52,1,1,0.925,1,0.786890752380714,0
45,56,1,2,1.2,1,0.934236690227408,0
46,101,1,5,0.5,1,0.915692886395846,0
47,102,1,5,0.5,1,0.817390234849881,0
48,46,1,1,1.4,2,0.771554555278271,1
49,82,1,1,1.4,2,0.759642848512158,1
50,93,1,4,1.5,2,0.772244097082876,1
51,96,1,4,1.5,2,0.784524124290328,1
52,34,1,1,1.025,1,0.803770393249579,0
53,64,1,1,1.25,1,0.84632364846766,0
54,80,1,2,1.25,1,0.935813028074335,0
55,30,1,3,1.25,2,0.909333565970883,1
56,41,1,2,1.35,2,0.899952345527709,1
57,6,1,3,1.25,1,0.810441317502409,0
58,33,1,3,1.35,2,0.717498624289874,1
59,91,1,4,1.5,2,0.74712732428452,1
60,45,1,3,1.3,1,0.799897386401426,0
61,28,1,1,1.4,2,0.770770648494363,1
62,12,1,3,0.925,1,0.750500224297866,0
63,78,1,3,0.95,1,0.779511855274905,0
64,51,1,3,1.45,2,0.791568886372261,1
65,110,1,5,0.5,1,0.762581831077114,0
66,59,1,2,1.35,2,0.7275958553073,1
67,25,1,1,1.25,2,0.781631621241104,1
68,58,1,1,1.025,1,0.784905662119854,0
69,11,1,2,1.25,2,0.780376093229279,1
70,68,1,2,1.25,1,0.895607321290299,0
71,15,1,3,1.4,2,0.742864217492752,1
72,38,1,2,0.975,1,0.67611872125417,0
73,100,1,4,1.5,2,0.660467597015668,1
74,26,1,2,1.45,2,0.701181497017387,1
75,83,1,2,1.4,2,0.739575262123253,1
76,95,1,4,1.5,2,0.73715486592846,1
77,19,1,1,1.35,2,0.77455700765131,1
78,5,1,2,1.35,2,0.810311597015243,1
79,7,1,1,1.25,1,0.797121193201747,0
80,57,1,3,1.4,2,0.751704793190584,1
81,49,1,1,1.35,2,0.764695424295496,1
82,106,1,5,0.5,1,0.768652766011655,0
83,85,1,1,1.25,1,0.820739017450251,0
84,99,1,4,1.5,2,0.718667193199508,1
85,3,1,3,1.35,1,0.836586717516184,0
86,72,1,3,0.95,1,0.821822424302809,0
87,104,1,5,0.5,1,0.768049786391202,0
88,48,1,3,1.5,2,0.800053197017405,1
89,97,1,4,1.5,2,0.862894186400808,1
90,8,1,2,1.075,1,1.00760647276184,0
91,60,1,3,1.45,2,0.770396124280524,1
92,39,1,3,1.45,2,0.782294865930453,1
93,20,1,2,1.25,1,0.785718028084375,0
94,67,1,1,1.25,1,0.996767690230627,0
95,4,1,1,1.25,1,1.03238189028343,0
96,35,1,2,1.4,2,0.73771379707614,1
97,89,1,2,1.35,2,0.863127321295906,1
98,54,1,3,1.35,1,0.951524165982846,0
99,2,1,2,1.35,2,0.772528190223966,1
100,108,1,5,0.5,1,0.848300159152132,0
101,107,1,5,0.5,1,0.705182762118056,0
102,9,1,3,1.01,1,0.871950793196447,0
103,105,1,5,0.5,1,0.791825248510577,0
104,53,1,2,1.3,2,0.803069183428306,1
105,21,1,3,1.5,2,0.821635324275121,1
106,73,1,1,1.25,2,0.879876124323346,1
107,87,1,3,1.45,2,0.768059686408378,1
108,79,1,1,1.4,2,0.916379662055988,1
109,70,1,1,1.35,2,0.777911086392123,1
110,74,1,2,1.125,1,0.766158286423888,0
111,162,2,1,0.99,1,1.18379018642008,0
112,195,2,1,1.2,2,0.746990931103937,1
113,127,2,2,0.99,1,0.679665779578499,0
114,202,2,4,1.5,2,0.695893317461014,1
115,118,2,2,1.2,1,0.686962324252818,0
116,175,2,2,1.35,2,0.654582448478322,1
