PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,34,2,1,0.99,2,1.01802060000045,1
2,47,2,2,0.99,1,1.01832550000108,0
3,13,2,1,0.75,1,1.0189470999976,0
4,48,2,3,0.99,2,1.95125009999902,1
5,87,2,3,0.75,1,1.11608830000114,0
6,2,2,2,1.2,2,1.01791689999664,1
7,14,2,2,1.1,2,1.03448360000039,1
8,56,2,2,1.025,1,1.01795940000011,0
9,41,2,2,1.05,2,1.47131039999658,1
10,71,2,2,1.01,1,1.17716669999936,0
11,74,2,2,1.05,2,1.18663480000032,1
12,49,2,1,0.9,1,1.01787120000154,0
13,90,2,3,0.9,1,1.02459810000073,0
14,98,2,4,1.5,2,1.11436959999992,1
15,38,2,2,1.025,1,1.24956240000029,0
16,66,2,3,0.975,2,1.01752639999904,1
17,1,2,1,0.975,1,1.05496990000029,0
18,91,2,4,1.5,2,2.38543869999921,1
19,11,2,2,1.05,2,4.54961220000041,1
20,83,2,2,1.025,2,1.09534720000011,1
21,97,2,4,1.5,2,1.38310579999961,1
22,100,2,4,1.5,2,1.22920119999981,1
23,44,2,2,1.01,2,1.09713069999998,1
24,6,2,3,0.925,1,1.05337109999891,0
25,96,2,4,1.5,2,1.05639149999843,1
26,53,2,2,0.875,2,1.37554410000303,1
27,77,2,2,0.55,1,1.19936109999981,0
28,78,2,3,0.95,1,1.2329639999989,0
29,107,2,5,0.5,1,1.10104270000011,0
30,39,2,3,0.975,2,1.18882060000033,1
31,89,2,2,0.6,1,1.12850959999923,0
32,88,2,1,1.1,2,1.14145629999985,1
33,85,2,1,1.01,2,1.06633280000096,1
34,109,2,5,0.5,1,1.04326239999864,0
35,28,2,1,0.975,1,1.13101950000055,0
36,52,2,1,0.99,2,1.01093440000113,1
37,22,2,1,0.975,2,1.01110599999811,1
38,104,2,5,0.5,1,1.01086750000104,0
39,94,2,4,1.5,2,1.03524399999878,1
40,61,2,1,0.95,2,1.04967880000186,1
41,4,2,1,0.8,1,1.01402959999905,0
42,93,2,4,1.5,2,1.0114184999984,1
43,64,2,1,0.825,1,1.4808757000028,0
44,101,2,5,0.5,1,1.22124669999903,0
45,35,2,2,0.6,1,3.20825759999934,0
46,23,2,2,0.65,1,1.24834329999794,0
47,24,2,3,0.95,1,1.33353169999828,0
48,81,2,3,0.975,2,1.12726870000188,1
49,108,2,5,0.5,1,1.01116399999955,0
50,16,2,1,0.925,2,1.39139330000035,1
51,70,2,1,0.75,1,1.18077130000165,0
52,27,2,3,0.95,1,1.01661329999843,0
53,9,2,3,0.975,2,1.01102100000207,1
54,37,2,1,0.925,1,1.02179279999837,0
55,50,2,2,1.3,2,1.01127120000092,1
56,68,2,2,0.75,1,1.5934042000008,0
57,105,2,5,0.5,1,1.14227959999698,0
58,84,2,3,0.95,2,1.01085420000163,1
59,30,2,3,0.95,1,1.11243759999707,0
60,102,2,5,0.5,1,1.12075749999713,0
61,72,2,3,0.95,1,1.27038539999921,0
62,63,2,3,0.95,2,1.01071410000077,1
63,65,2,2,0.875,1,1.01089299999876,0
64,12,2,3,0.975,2,1.10642749999897,1
65,40,2,1,1.15,2,1.01073009999891,1
66,54,2,3,0.975,1,1.21384659999967,0
67,42,2,3,1.05,2,1.02705659999992,1
68,86,2,2,0.95,1,1.12448139999833,0
69,5,2,2,0.975,2,1.5571001999997,1
70,10,2,1,1.125,2,1.19940309999947,1
71,75,2,3,1.025,2,1.01140630000009,1
72,60,2,3,0.9,1,1.25277560000177,0
73,80,2,2,1.25,2,1.18772399999943,1
74,33,2,3,0.975,2,1.01111510000192,1
75,17,2,2,0.75,1,1.26197870000033,0
76,43,2,1,0.8,1,1.04360799999995,0
77,36,2,3,0.925,1,1.03793560000122,0
78,15,2,3,0.95,2,1.26770829999805,1
79,19,2,1,0.95,1,1.05273959999977,0
80,67,2,1,1.1,2,1.21963029999824,1
81,18,2,3,0.925,1,1.11947080000027,0
82,92,2,4,1.5,2,1.11545429999751,1
83,29,2,2,1.2,2,1.07433759999913,1
84,45,2,3,0.975,1,1.25073699999848,0
85,103,2,5,0.5,1,1.01944749999893,0
86,3,2,3,1.05,2,1.01087410000036,1
87,73,2,1,0.875,1,1.22112170000037,0
88,79,2,1,0.95,2,1.01085460000104,1
89,57,2,3,1.025,2,1.06088420000015,1
90,62,2,2,0.85,1,1.06747950000135,0
91,20,2,2,0.9,1,1.21977179999885,0
92,32,2,2,0.95,1,1.3331947000006,0
93,99,2,4,1.5,2,1.09102799999891,1
94,58,2,1,0.875,1,1.29640089999884,0
95,55,2,1,1.01,1,1.59731589999865,0
96,21,2,3,0.975,1,1.01070299999992,0
97,69,2,3,1.05,1,1.29059860000052,0
98,110,2,5,0.5,1,1.8547456999986,0
99,7,2,1,1.125,2,1.01098170000114,1
100,51,2,3,1.15,2,1.01098620000266,1
101,25,2,1,1.075,2,1.01090380000096,1
102,8,2,2,0.975,2,1.22848679999879,1
103,82,2,1,1.05,2,1.08541229999901,1
104,76,2,1,0.875,1,1.01091950000045,0
105,46,2,1,1.01,2,1.20008510000116,1
106,95,2,4,1.5,2,1.04248399999778,1
107,31,2,1,0.925,1,1.2545448000019,0
108,106,2,5,0.5,1,1.12704049999957,0
109,59,2,2,1.15,2,1.03081149999707,1
110,26,2,2,0.9,1,1.4021556000007,0
111,122,1,3,0.99,2,1.21603619999951,1
112,189,1,1,0.99,1,1.79360669999733,0
113,206,1,4,1.5,2,1.01126039999872,1
114,138,1,1,1.2,2,1.27578619999986,1
115,193,1,2,0.99,1,1.01081689999774,0
116,147,1,1,1.1,1,1.11294590000034,0
117,212,1,5,0.5,1,1.02589400000215,0
118,202,1,4,1.5,2,1.01442170000155,1
119,157,1,2,1.2,1,1.01111859999946,0
120,116,1,3,0.75,1,1.36635289999685,0
121,118,1,2,1.35,1,1.02263400000083,0
122,151,1,2,1.4,2,1.06482570000298,1
123,169,1,2,1.35,2,1.37623429999803,1
124,127,1,2,1.25,1,1.01517850000164,0
125,131,1,3,0.9,1,1.28537610000058,0
126,115,1,2,1.3,2,1.01085819999935,1
127,174,1,1,1.15,1,1.01099749999776,0
128,208,1,4,1.5,2,1.01122599999871,1
129,167,1,3,0.975,2,1.34516830000211,1
130,112,1,2,1.175,2,1.01160309999977,1
131,215,1,5,0.5,1,1.57941869999922,0
132,203,1,4,1.5,2,1.34692840000207,1
133,216,1,5,0.5,1,1.10122939999928,0
134,201,1,4,1.5,2,1.14131610000186,1
135,134,1,3,0.925,1,1.01088310000341,0
136,182,1,3,0.95,1,1.01082269999824,0
137,220,1,5,0.5,1,1.01494079999975,0
138,207,1,4,1.5,2,1.01106230000005,1
139,217,1,5,0.5,1,1.01087149999876,0
140,171,1,1,1.175,1,1.01112469999862,0
141,128,1,3,0.975,1,1.13646810000137,0
142,165,1,1,1.25,2,1.20455049999873,1
143,183,1,1,1.2,1,1.1655036000011,0
144,191,1,3,1.05,1,1.01102080000055,0
145,180,1,1,1.25,2,1.19014320000133,1
146,185,1,3,1.25,1,1.03524659999675,0
147,143,1,3,1.35,2,1.01068200000009,1
148,177,1,1,1.2,2,1.18490010000096,1
149,160,1,2,0.85,1,1.0109403000024,0
150,140,1,3,1.25,1,1.54937839999911,0
151,150,1,1,1.175,2,1.0788728999978,1
152,113,1,3,1.3,1,1.01139069999772,0
153,195,1,1,1.01,1,1.01089900000079,0
154,197,1,3,1.3,2,1.01084959999935,1
155,158,1,3,0.8,1,1.55455930000244,0
156,187,1,2,0.875,1,1.19016479999846,0
157,126,1,1,1.05,1,1.01093000000037,0
158,154,1,2,0.925,1,1.43267529999866,0
159,209,1,4,1.5,2,1.2316000000028,1
160,168,1,1,1.075,1,1.11545059999844,0
161,210,1,4,1.5,2,1.11934330000076,1
