PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,104,1,5,0.5,1,0.439205800001218,0
2,70,1,1,0.99,2,0.654112200001691,1
3,52,1,1,0.75,1,0.442585799999506,0
4,63,1,3,0.99,2,0.590686200001073,1
5,81,1,3,0.75,1,0.440536300000531,0
6,98,1,4,1.5,2,0.411368900000525,1
7,66,1,3,0.9,1,0.594506699999329,0
8,103,1,5,0.5,1,0.584431400002359,0
9,37,1,1,0.9,1,0.814249500002916,0
10,83,1,2,0.99,2,1.17233449999912,1
11,22,1,1,0.975,2,0.521397999997134,1
12,95,1,4,1.5,2,0.565819899999042,1
13,21,1,3,0.975,1,0.423628200001986,0
14,24,1,3,1.1,2,0.568944500002544,1
15,77,1,2,0.75,1,0.542802899999515,0
16,82,1,1,0.925,1,0.51711989999967,0
17,7,1,1,0.95,1,0.571732400003384,0
18,53,1,2,0.9,1,0.602573899999697,0
19,42,1,3,1.01,2,0.633678499998496,1
20,48,1,3,0.975,1,0.660810299999866,0
21,16,1,1,0.975,1,0.581344400001399,0
22,28,1,1,1.05,2,0.502732100001595,1
23,33,1,3,0.99,1,0.542034099999,0
24,3,1,3,1.025,1,0.578062700002192,0
25,17,1,2,0.975,1,0.605785499999911,0
26,110,1,5,0.5,1,0.71580510000058,0
27,73,1,1,1.01,2,0.61655950000204,1
28,34,1,1,0.975,1,0.349091600000975,0
29,84,1,3,1.2,1,0.660655200001202,0
30,76,1,1,1.01,1,0.537895199999184,0
31,99,1,4,1.5,2,0.59432260000176,1
32,50,1,2,1.1,1,0.506432099999074,0
33,30,1,3,0.7,1,0.53439090000029,0
34,4,1,1,1.175,2,0.520472100000916,1
35,89,1,2,1.25,2,0.61935910000102,1
36,59,1,2,1.15,2,0.603347300002497,1
37,75,1,3,1.35,2,0.555676599997241,1
38,94,1,4,1.5,2,0.57255730000179,1
39,108,1,5,0.5,1,0.567122100001143,0
40,1,1,1,1.175,1,1.00379679999969,0
41,14,1,2,1.1,1,0.935912900000403,0
42,64,1,1,1.45,2,0.920359100000496,1
43,8,1,2,1.125,2,1.11221460000161,1
44,56,1,2,1.1,2,0.914407299998857,1
45,90,1,3,1.45,2,0.556410200002574,1
46,74,1,2,0.75,1,0.526376800000435,0
47,26,1,2,0.8,1,0.562160800000129,0
