PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,4,2,1,0.99,2,0.782596700002614,1
2,110,2,5,0.5,1,0.403861300001154,0
3,97,2,4,1.5,2,0.283756199998606,1
4,6,2,3,0.99,1,0.744008899993787,0
5,75,2,3,1.2,2,0.561355400001048,1
6,96,2,4,1.5,2,2.73016244210885,1
7,40,2,1,0.75,1,0.672620800003642,0
8,99,2,4,1.5,2,0.355517999996664,1
9,84,2,3,1.1,2,0.602450999998837,1
10,60,2,3,1.025,2,0.411037000005308,1
11,101,2,5,0.5,1,0.35502550000092,0
12,48,2,3,0.975,2,0.322957700002007,1
13,86,2,2,0.99,2,0.329556099997717,1
14,102,2,5,0.5,1,0.277312900005199,0
15,38,2,2,0.75,1,0.41998269999749,0
16,35,2,2,0.9,2,0.376511700000265,1
17,41,2,2,0.825,1,0.306120200002624,0
18,67,2,1,0.9,1,0.737910800002282,0
19,94,2,4,1.5,2,0.417573599996103,1
20,109,2,5,0.5,1,0.40460929999972,0
21,28,2,1,0.975,2,0.357175900004222,1
22,1,2,1,0.925,1,0.42272889999731,0
23,57,2,3,0.8,1,0.347750900000392,0
24,20,2,2,0.875,1,0.422400099996594,0
25,85,2,1,0.95,2,0.534065600004396,1
26,98,2,4,1.5,2,0.377985800005263,1
27,26,2,2,0.9,1,0.315419099999417,0
28,78,2,3,0.9,1,0.354641799996898,0
29,64,2,1,0.925,1,0.390873399999691,0
30,9,2,3,0.95,2,0.384891100002278,1
31,61,2,1,0.95,1,0.446000700001605,0
32,56,2,2,0.975,1,0.481862000000547,0
33,30,2,3,0.925,1,0.37271669999609,0
34,59,2,2,1.15,2,0.437551600000006,1
35,90,2,3,0.95,1,0.489322399997036,0
36,47,2,2,1.05,2,0.421906300005503,1
37,104,2,5,0.5,1,0.315218100004131,0
38,68,2,2,0.975,2,0.356187600002158,1
39,36,2,3,1.15,2,0.352149700003793,1
40,52,2,1,0.99,1,0.514926900003047,0
41,10,2,1,1.175,2,0.301756100001512,1
42,105,2,5,0.5,1,0.329167400006554,0
43,89,2,2,1.125,2,0.308595400005288,1
44,108,2,5,0.5,1,0.339490299993486,0
45,7,2,1,1.15,2,0.286926100001438,1
46,62,2,2,0.925,1,0.339305100002093,0
47,70,2,1,1.1,2,0.380436599996756,1
48,51,2,3,0.825,1,0.359159799998451,0
49,81,2,3,0.99,2,0.332750000001397,1
50,5,2,2,0.95,2,0.36067219999677,1
51,25,2,1,1.05,1,0.266634499996144,0
52,80,2,2,0.75,1,0.370342599999276,0
53,15,2,3,0.875,1,0.530620400000771,0
54,42,2,3,0.975,1,0.575906700003543,0
