PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,105,2,5,0.5,1,1.27978760001133,0
2,103,2,5,0.5,1,1.19166869999026,0
3,14,2,2,0.99,2,1.04122280000593,1
4,9,2,3,0.99,2,1.11307849999866,1
5,73,2,1,0.99,2,1.18186710000737,1
6,92,2,4,1.5,2,1.20697880000807,1
7,32,2,2,0.75,1,1.16104919998907,0
8,25,2,1,0.75,1,1.18428759998642,0
9,47,2,2,0.9,2,1.08629570002086,1
10,16,2,1,0.9,1,1.05886509999982,0
11,40,2,1,0.975,1,1.70316799997818,0
12,13,2,1,1.1,2,1.24023559998022,1
13,96,2,4,1.5,2,1.23206660000142,1
14,33,2,3,0.75,1,1.19594449998112,0
15,1,2,1,1.01,2,1.08701610000571,1
16,45,2,3,0.9,2,1.01772790000541,1
17,19,2,1,0.975,2,1.01775540001108,1
18,37,2,1,0.95,2,1.11183489998803,1
19,80,2,2,0.825,1,1.0177732000011,0
20,109,2,5,0.5,1,1.0183745000104,0
21,82,2,1,0.925,2,1.01800670000375,1
22,93,2,4,1.5,2,1.09108780001407,1
23,99,2,4,1.5,2,1.01794649998192,1
24,76,2,1,0.875,1,1.26072209997801,0
25,42,2,3,0.825,1,1.10395170000265,0
26,5,2,2,0.875,1,1.01778389999527,0
27,6,2,3,0.875,1,1.01798490001238,0
28,55,2,1,0.9,2,1.01770160000888,1
29,65,2,2,0.9,2,1.06778899999335,1
30,24,2,3,0.9,1,1.27143090000027,0
31,101,2,5,0.5,1,1.03260710000177,0
32,31,2,1,0.8,1,1.01763339998433,0
33,57,2,3,0.975,2,1.01766620000126,1
34,3,2,3,0.925,2,1.01805109999259,1
35,90,2,3,0.925,2,1.24593579999055,1
36,51,2,3,0.9,2,1.25746520000394,1
37,36,2,3,0.875,1,1.01757540000835,0
38,77,2,2,0.875,1,1.08206909999717,0
39,50,2,2,0.9,2,1.21277529999497,1
40,56,2,2,0.875,1,1.24248869999428,0
41,71,2,2,0.9,2,1.06526279999525,1
42,21,2,3,0.9,2,1.0795907000138,1
43,60,2,3,0.875,1,1.01811320002889,0
44,63,2,3,0.9,2,1.26198219999787,1
45,10,2,1,0.825,1,1.04865830001654,0
46,83,2,2,0.875,2,1.34335710000596,1
47,35,2,2,0.875,1,1.09257979999529,0
48,4,2,1,0.925,2,1.68132309999783,1
49,85,2,1,0.9,2,1.01798169998801,1
50,26,2,2,0.875,1,1.01813630000106,0
51,102,2,5,0.5,1,1.01776349998545,0
52,89,2,2,0.875,1,1.04430469998624,0
53,29,2,2,0.9,1,1.01777949999087,0
54,87,2,3,0.9,2,1.01787119999062,1
55,39,2,3,0.875,1,1.01793779997388,0
56,44,2,2,0.925,2,1.01785299999756,1
57,108,2,5,0.5,1,1.01762379999855,0
58,12,2,3,0.9,2,1.52493119999417,1
59,78,2,3,0.9,2,1.0179093000188,1
60,11,2,2,0.925,2,1.06321269998443,1
61,2,2,2,0.9,2,1.12897750001866,1
62,34,2,1,0.875,1,1.01769020000938,0
63,17,2,2,0.9,1,1.01778649998596,0
64,43,2,1,0.875,1,1.01770340002258,0
65,94,2,4,1.5,2,1.01778170000762,1
66,52,2,1,0.9,1,1.01801780000096,0
67,27,2,3,0.875,1,1.01757219998399,0
68,48,2,3,0.9,2,1.0582362000132,1
69,7,2,1,0.925,2,1.13821400000597,1
70,18,2,3,0.875,1,1.07342530001188,0
71,28,2,1,0.925,1,1.11367600000813,0
72,84,2,3,0.9,1,1.18275229999563,0
73,67,2,1,1.075,2,1.12602589998278,1
74,74,2,2,0.95,2,1.02406939998036,1
75,8,2,2,0.925,1,1.34219319999102,0
76,59,2,2,1.05,2,1.06498990001273,1
77,41,2,2,1.025,2,1.01766059998772,1
78,61,2,1,0.8,1,1.11242779999156,0
79,107,2,5,0.5,1,1.01778739999281,0
80,30,2,3,0.9,2,1.01753790001385,1
81,86,2,2,0.8,1,1.13324490000377,0
82,58,2,1,0.975,2,1.04316659999313,1
83,81,2,3,0.9,1,1.19206619999022,0
84,72,2,3,0.9,2,1.02342650000355,1
85,97,2,4,1.5,2,1.01772450000863,1
86,68,2,2,0.975,2,1.01777120001498,1
87,110,2,5,0.5,1,1.09752630000003,0
88,46,2,1,0.925,1,1.23436120001134,0
89,66,2,3,0.9,1,1.01770579998265,0
90,100,2,4,1.5,2,1.11989159998484,1
91,54,2,3,0.875,1,1.01745169999776,0
92,98,2,4,1.5,2,1.12516530000721,1
93,62,2,2,0.925,1,1.01776560000144,0
94,69,2,3,0.9,1,1.0554822999984,0
95,70,2,1,1.05,2,1.2405776999949,1
96,75,2,3,0.875,1,1.11213339999085,0
97,91,2,4,1.5,2,1.1889618000132,1
98,22,2,1,0.8,1,1.5614462000085,0
99,15,2,3,0.875,1,1.23691109998617,0
100,95,2,4,1.5,2,1.27998490000027,1
101,64,2,1,0.975,2,2.05639599999995,1
102,49,2,1,0.95,2,1.22572610000498,1
103,23,2,2,1.05,2,1.18379239999922,1
104,38,2,2,0.8,1,1.03343779998249,0
105,104,2,5,0.5,1,1.01770500000566,0
106,88,2,1,0.875,1,1.01771179999923,0
107,106,2,5,0.5,1,1.01770269998815,0
108,20,2,2,0.99,2,1.13427409998258,1
109,53,2,2,0.95,1,1.0654218000127,0
110,79,2,1,0.925,2,1.0954135999782,1
111,189,1,1,0.99,2,1.39013370001339,1
112,208,1,4,1.5,2,1.22222024720395,1
113,119,1,3,0.99,2,1.60887929997989,1
114,200,1,3,0.75,1,1.01774660000228,0
115,164,1,3,0.9,1,1.31372570001986,0
116,132,1,1,0.75,1,1.254402999999,0
117,195,1,1,0.9,1,1.31004730000859,0
118,187,1,2,0.99,2,1.02359009999782,1
119,216,1,5,0.5,1,1.11240600000019,0
120,129,1,1,0.975,2,1.19569510000292,1
121,177,1,1,0.925,1,1.22258629999124,0
122,151,1,2,0.75,1,1.34201059999759,0
123,111,1,1,0.95,1,1.40926580000087,0
124,150,1,1,0.975,1,1.22133430000395,0
125,157,1,2,0.9,1,1.24107789999107,0
126,162,1,1,1.05,1,1.49640819997876,0
127,220,1,5,0.5,1,1.09380919998512,0
128,137,1,3,0.975,1,1.30055259997607,0
129,163,1,2,0.975,1,1.1317436999816,0
130,158,1,3,1.1,1,1.31400179999764,0
131,219,1,5,0.5,1,1.01788870000746,0
132,113,1,3,1.25,2,1.17875079999794,1
133,115,1,2,1.1,1,1.41569649998564,0
134,182,1,3,1.15,2,1.02420090002124,1
135,127,1,2,1.25,2,1.04446450000978,1
136,176,1,3,1.1,1,1.1097561000206,0
137,122,1,3,1.125,2,1.12832760001766,1
138,148,1,2,1.15,2,1.21146869999939,1
139,126,1,1,1.25,2,1.22327240000595,1
140,112,1,2,1.1,1,1.16109219999635,0
141,168,1,1,1.15,2,1.11333019999438,1
142,155,1,3,1.1,1,1.18175320001319,0
143,191,1,3,1.125,2,1.21163849998266,1
144,154,1,2,1.125,1,1.07469259999925,0
145,201,1,4,1.5,2,1.22819599998184,1
146,215,1,5,0.5,1,1.03553719999036,0
147,196,1,2,1.175,2,1.17832619999535,1
148,211,1,5,0.5,1,1.01784519999637,0
149,217,1,5,0.5,1,1.10432889999356,0
150,138,1,1,1.1,1,1.15660220000427,0
151,171,1,1,1.3,2,1.01777210002183,1
152,169,1,2,1.125,2,1.24556380001013,1
153,193,1,2,1.075,1,1.13118319999194,0
154,165,1,1,1.125,1,1.0899862999795,0
155,172,1,2,1.175,1,1.25785019999603,0
156,192,1,1,1.175,2,1.13981939997757,1
157,124,1,2,0.75,1,1.01768180000363,0
158,139,1,2,1.45,2,1.05940739999642,1
159,149,1,3,1.1,1,1.08290229999693,0
160,131,1,3,1.125,1,1.07994809999946,0
161,160,1,2,1.4,2,1.18210199999157,1
162,146,1,3,1.15,1,1.06420970000909,0
163,145,1,2,0.875,1,1.23386360000586,0
164,199,1,2,1.35,2,1.18746099999407,1
165,188,1,3,0.75,1,1.03261100000236,0
166,141,1,1,1.1,1,1.17566959999385,0
167,114,1,1,1.15,2,1.10799280001083,1
168,218,1,5,0.5,1,1.10229529999197,0
169,134,1,3,1.45,2,1.01782989999629,1
170,121,1,2,1.3,2,1.03911620000144,1
171,181,1,2,1.15,1,1.18810659999144,0
