PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,77,2,2,0.99,2,2.24181969999336,1
2,56,2,2,0.75,1,0.780399999814108,0
3,4,2,1,0.99,2,1.75693909986876,1
4,13,2,1,0.75,1,0.824981600046158,0
5,28,2,1,0.9,1,0.849925399990752,0
6,33,2,3,0.99,2,0.903473999816924,1
7,38,2,2,0.9,2,0.817607100121677,1
8,15,2,3,0.75,1,0.775177200092003,0
9,95,2,4,1.5,2,0.806983500020579,1
10,1,2,1,0.975,1,0.88429810013622,0
11,84,2,3,0.9,1,0.798458800185472,0
12,14,2,2,0.825,1,0.778303700033575,0
13,87,2,3,0.975,2,0.902202700031921,1
14,98,2,4,1.5,2,0.825227399822325,1
15,85,2,1,1.1,2,0.752553900005296,1
16,59,2,2,0.875,1,0.869604700012133,0
17,46,2,1,1.01,2,0.948218900011852,1
18,8,2,2,0.9,1,0.844333800021559,0
19,32,2,2,0.975,2,0.789945400087163,1
20,92,2,4,1.5,2,0.965342500014231,1
21,42,2,3,0.925,1,0.732647299999371,0
22,65,2,2,0.925,1,0.903788399882615,0
23,91,2,4,1.5,2,0.672669999999925,1
24,68,2,2,0.95,1,1.00270719989203,0
25,47,2,2,1.01,2,1.03663260000758,1
26,16,2,1,0.975,2,0.760499599855393,1
27,36,2,3,0.95,1,0.773839700035751,0
28,37,2,1,0.95,2,0.910484199877828,1
29,71,2,2,0.975,1,0.954153700033203,0
30,78,2,3,0.975,1,0.951259699882939,0
31,20,2,2,1.125,2,0.652851399965584,1
32,61,2,1,0.925,1,0.856833999976516,0
33,103,2,5,0.5,1,0.846082400064915,0
34,107,2,5,0.5,1,0.767639300087467,0
35,82,2,1,0.925,2,0.776267900131643,1
36,29,2,2,1.1,2,0.713276500115171,1
37,17,2,2,1.075,2,0.677620599977672,1
38,53,2,2,0.95,1,0.613294699927792,0
39,43,2,1,0.75,1,0.859873600071296,0
40,25,2,1,0.8,1,0.864459000062197,0
41,90,2,3,1.05,2,0.79160669981502,1
42,10,2,1,1.075,2,0.846231300150976,1
43,110,2,5,0.5,1,0.828946399968117,0
44,83,2,2,0.975,2,0.736662300070748,1
45,49,2,1,0.875,1,1.15133389993571,0
46,34,2,1,0.925,1,0.90822479990311,0
47,93,2,4,1.5,2,0.679434099933133,1
48,35,2,2,0.95,1,1.00659320014529,0
49,100,2,4,1.5,2,0.697849200107157,1
50,58,2,1,0.95,1,1.07364169997163,0
51,62,2,2,0.975,2,0.935822682688013,1
52,74,2,2,0.975,1,0.82945859991014,0
53,76,2,1,1.1,2,0.728737900033593,1
54,80,2,2,0.99,1,0.914632000029087,0
55,89,2,2,1.175,2,0.765501700108871,1
56,75,2,3,1.01,1,0.866138499928638,0
57,104,2,5,0.5,1,0.718882399844006,0
58,5,2,2,1.125,2,0.795561299892142,1
59,27,2,3,1.2,2,0.716825800016522,1
60,86,2,2,1.1,2,0.827033299952745,1
61,79,2,1,1.075,2,0.872823300072923,1
62,64,2,1,0.975,2,0.841250200057402,1
63,105,2,5,0.5,1,0.946604199940339,0
64,54,2,3,1.175,2,0.85903190006502,1
65,45,2,3,1.125,2,0.975469700060785,1
66,23,2,2,0.9,1,0.965360400034115,0
67,73,2,1,0.95,1,0.92380560003221,0
68,97,2,4,1.5,2,0.814145900076255,1
69,11,2,2,1.01,2,0.868282599840313,1
70,63,2,3,1.01,2,0.809079900151119,1
71,96,2,4,1.5,2,0.819066899828613,1
72,26,2,2,0.95,1,0.719513199990615,0
73,94,2,4,1.5,2,0.83399309986271,1
74,57,2,3,0.875,1,0.812713100109249,0
75,2,2,2,0.99,2,0.959880599984899,1
76,51,2,3,0.99,1,0.960459500085562,0
77,70,2,1,0.925,1,0.99739469983615,0
78,31,2,1,0.975,1,1.02785640000366,0
79,21,2,3,1.15,2,0.837405700003728,1
80,41,2,2,0.99,1,0.829567699925974,0
81,99,2,4,1.5,2,0.904071100056171,1
82,9,2,3,1.1,2,0.987685299944133,1
83,44,2,2,1.025,2,0.919538300018758,1
84,50,2,2,0.95,1,0.929754599928856,0
85,40,2,1,1.05,2,1.06770849996246,1
86,109,2,5,0.5,1,0.915804699994624,0
87,7,2,1,1.01,2,0.876131100114435,1
88,108,2,5,0.5,1,0.750633599935099,0
89,30,2,3,1.025,2,0.755870399996638,1
90,101,2,5,0.5,1,0.927688000025228,0
91,48,2,3,0.975,1,1.09893590002321,0
92,22,2,1,0.95,1,0.884462799876928,0
93,39,2,3,0.99,1,0.877281500026584,0
94,81,2,3,1.025,2,0.851560499984771,1
95,18,2,3,0.99,1,0.925308299949393,0
96,6,2,3,1.01,2,0.882211700081825,1
97,24,2,3,0.99,1,0.76516170008108,0
98,55,2,1,0.95,1,0.826028400100768,0
99,67,2,1,0.99,2,0.740600200137123,1
100,60,2,3,0.99,2,0.675456200027838,1
101,3,2,3,1.025,2,0.690746499923989,1
102,12,2,3,0.975,1,0.798632100224495,0
103,52,2,1,0.95,2,0.760942399967462,1
104,106,2,5,0.5,1,0.763158699963242,0
105,102,2,5,0.5,1,0.784227699972689,0
106,19,2,1,0.925,1,0.732330200029537,0
107,88,2,1,0.99,2,0.6527378000319,1
108,69,2,3,1.01,1,0.886963799828663,0
109,72,2,3,1.025,2,0.772829300025478,1
110,66,2,3,0.99,2,0.677514800103381,1
111,184,1,2,0.99,2,0.740227600093931,1
112,212,1,5,0.5,1,0.788082600105554,0
113,199,1,2,0.75,1,0.547650099964812,0
114,152,1,3,0.99,2,0.633605099981651,1
115,153,1,1,0.99,2,0.657412299886346,1
116,220,1,5,0.5,1,0.666056500049308,0
117,201,1,4,1.5,2,0.588337799999863,1
118,156,1,1,0.75,1,0.623844400048256,0
119,113,1,3,0.75,1,0.722984299995005,0
120,158,1,3,0.9,2,0.618714699987322,1
121,182,1,3,0.825,1,0.615367999998853,0
122,202,1,4,1.5,2,0.711018899921328,1
123,183,1,1,0.9,1,0.590920000104234,0
124,179,1,3,0.875,1,0.643150099785998,0
125,211,1,5,0.5,1,0.60368619998917,0
126,181,1,2,0.9,2,0.592003500089049,1
127,149,1,3,0.9,1,0.643881700001657,0
128,193,1,2,0.825,1,0.679678200045601,0
129,132,1,1,0.975,1,0.590893700020388,0
130,133,1,2,0.875,1,0.762244400102645,0
131,162,1,1,1.1,2,0.480677700135857,1
132,190,1,2,0.9,1,0.568429700098932,0
133,112,1,2,0.975,1,0.569881899980828,0
134,125,1,3,0.975,1,0.604598900070414,0
135,169,1,2,1.15,2,0.590810700086877,1
136,187,1,2,1.05,1,0.59030620008707,0
137,177,1,1,1.01,1,0.557305899914354,0
138,145,1,2,1.25,2,0.462433099979535,1
139,143,1,3,1.15,2,0.564380400115624,1
140,175,1,2,1.1,1,0.840291999978945,0
141,157,1,2,1.2,2,0.537003300152719,1
142,147,1,1,1.05,1,0.864413700066507,0
143,185,1,3,1.05,1,0.650019699940458,0
144,128,1,3,1.25,2,0.584253300214186,1
145,218,1,5,0.5,1,0.586345399962738,0
146,216,1,5,0.5,1,0.470006700139493,0
147,219,1,5,0.5,1,0.522449200041592,0
148,217,1,5,0.5,1,0.679358300054446,0
149,140,1,3,1.1,2,1.19796469993889,1
150,117,1,1,1.125,2,1.14148420002311,1
151,123,1,1,1.075,1,0.535011699888855,0
