PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,25,1,1,0.99,1,1.269796699984,0
2,36,1,3,0.99,1,1.16195220011286,0
3,73,1,1,1.2,2,1.19410900003277,1
4,37,1,1,1.1,1,1.04817979992367,0
5,44,1,2,0.99,1,1.17674500006251,0
6,99,1,4,1.5,2,1.19376229983754,1
7,45,1,3,1.2,2,1.07739869994111,1
8,110,1,5,0.5,1,1.00175140006468,0
9,88,1,1,1.15,1,1.01026850007474,0
10,59,1,2,1.2,2,1.26862660003826,1
11,49,1,1,1.175,1,1.00117060006596,0
12,82,1,1,1.25,2,1.43734189984389,1
13,100,1,4,1.5,2,1.06074949982576,1
14,43,1,1,1.2,1,1.00148340011947,0
15,74,1,2,1.1,1,1.0696904999204,0
16,95,1,4,1.5,2,1.08816809998825,1
17,22,1,1,1.25,1,1.00752789992839,0
18,64,1,1,1.35,1,1.00144860008731,0
19,42,1,3,1.1,1,1.00137120019644,0
20,81,1,3,1.15,1,1.00126760010608,0
21,41,1,2,1.15,1,1.00139440014027,0
22,65,1,2,1.175,2,1.28397860005498,1
23,47,1,2,1.15,1,1.05389550002292,0
24,19,1,1,1.4,2,1.08785529993474,1
25,15,1,3,1.175,1,1.30674459994771,0
26,78,1,3,1.25,2,1.1756326998584,1
27,94,1,4,1.5,2,1.0257941999007,1
28,71,1,2,1.175,1,1.00143579998985,0
29,56,1,2,1.2,1,1.03537130006589,0
30,40,1,1,0.975,1,1.17862270004116,0
31,84,1,3,1.2,2,1.17322569992393,1
32,2,1,2,1.3,2,1.03128629992716,1
33,89,1,2,1.25,2,1.27326989988796,1
34,23,1,2,1.05,1,1.09667250001803,0
35,70,1,1,1.35,2,1.42303690011613,1
36,10,1,1,0.95,1,1.14138090005144,0
37,105,1,5,0.5,1,1.00129250017926,0
38,60,1,3,1.175,1,1.41573460004292,0
39,108,1,5,0.5,1,1.04870530008338,0
40,103,1,5,0.5,1,1.00131520000286,0
41,87,1,3,1.2,1,1.24546910007484,0
42,96,1,4,1.5,2,1.15000290004537,1
43,68,1,2,1.25,1,1.00147400004789,0
44,52,1,1,0.99,1,1.00150270015001,0
45,48,1,3,1.25,1,1.10151279997081,0
46,90,1,3,0.975,2,1.37151920003816,1
47,53,1,2,0.95,1,1.15705460007302,0
48,38,1,2,1.4,2,1.18130810000002,1
49,20,1,2,1.4,2,1.11888339999132,1
50,55,1,1,1.45,2,1.00112659996375,1
51,35,1,2,1.35,2,1.106057099998,1
52,57,1,3,0.7,1,1.00113420002162,0
53,63,1,3,0.75,1,1.02855709986761,0
54,51,1,3,0.75,1,1.00126420008019,0
55,86,1,2,1.25,1,1.30347579997033,0
56,30,1,3,0.8,1,1.03759360010736,0
57,79,1,1,1.3,2,1.08103540004231,1
58,101,1,5,0.5,1,1.00134209985845,0
59,31,1,1,1.3,2,1.03998570004478,1
60,69,1,3,0.85,1,1.05282400012948,0
61,32,1,2,1.4,2,1.00127800018527,1
62,107,1,5,0.5,1,1.00126599986106,0
63,9,1,3,1.5,2,1.00128239998594,1
64,102,1,5,0.5,1,1.00115909986198,0
65,27,1,3,1.45,2,1.00917840003967,1
66,97,1,4,1.5,2,1.14456910011359,1
67,54,1,3,1.4,2,1.00144069991075,1
68,109,1,5,0.5,1,1.0012093000114,0
69,29,1,2,1.25,1,1.05934300017543,0
70,80,1,2,1.25,1,1.0059096000623,0
71,7,1,1,1.25,1,1.00122349988669,0
72,104,1,5,0.5,1,1.0818150001578,0
73,16,1,1,1.4,2,1.00215650000609,1
74,66,1,3,1.35,2,1.10449170018546,1
75,1,1,1,1.3,2,1.02868400001898,1
76,58,1,1,1.25,1,2.03296540002339,0
77,6,1,3,1.25,1,1.26303520007059,0
78,76,1,1,1.25,2,1.02796490001492,1
79,12,1,3,1.45,2,1.00123110017739,1
80,17,1,2,1.3,2,1.40381719986908,1
81,8,1,2,1.25,1,1.07088080001995,0
82,11,1,2,1.25,1,1.08311970019713,0
83,98,1,4,1.5,2,1.00142069999129,1
84,62,1,2,1.3,1,1.00132210017182,0
85,72,1,3,1.05,1,1.00101810018532,0
86,21,1,3,1.3,1,1.11132739996538,0
87,39,1,3,1.45,2,1.11183609999716,1
88,5,1,2,1.35,2,1.00117899989709,1
89,13,1,1,1.1,1,1.0366005001124,0
90,93,1,4,1.5,2,1.05525700002909,1
91,33,1,3,1.3,1,1.09797889995389,0
92,28,1,1,1.3,1,1.03181750001386,0
93,91,1,4,1.5,2,1.09378640004434,1
94,106,1,5,0.5,1,1.03510039998218,0
95,75,1,3,1.3,2,1.20155450003222,1
96,18,1,3,1.5,2,1.02057319995947,1
97,3,1,3,1.075,1,1.13072130014189,0
98,34,1,1,1.45,2,1.01317039993592,1
99,85,1,1,1.4,2,1.00485629984178,1
100,4,1,1,1.125,1,1.00108940014616,0
101,26,1,2,1.25,1,1.09343919996172,0
102,50,1,2,1.3,1,1.00104449992068,0
103,24,1,3,1.45,2,1.10420860000886,1
104,67,1,1,1.35,2,1.0596799000632,1
105,14,1,2,1.35,2,1.23709299997427,1
106,61,1,1,1.175,1,1.11055420013145,0
107,83,1,2,1.35,1,1.00120359985158,0
108,92,1,4,1.5,2,1.02295679994859,1
109,77,1,2,1.45,2,1.04673280008137,1
110,46,1,1,1.3,1,1.31606979994103,0
111,206,2,4,1.5,2,1.00129640009254,1
112,172,2,2,0.99,1,1.15940080001019,0
113,114,2,1,0.99,1,1.00132589996792,0
114,141,2,1,1.2,2,1.0197993000038,1
115,152,2,3,0.99,1,1.00140639999881,0
116,190,2,2,1.2,2,1.00122420000844,1
117,127,2,2,1.1,2,1.00132709997706,1
118,165,2,1,1.1,2,1.06945599988103,1
119,168,2,1,1.025,1,1.05468930001371,0
120,179,2,3,1.2,2,1.03823839989491,1
121,131,2,3,1.1,1,1.07162029994652,0
122,203,2,4,1.5,2,1.04217129992321,1
123,118,2,2,1.025,2,1.09564159996808,1
124,166,2,2,0.975,1,1.16173499985598,0
125,178,2,2,1.01,1,1.1447169999592,0
126,140,2,3,1.15,2,1.03229499980807,1
127,219,2,5,0.5,1,1.01039690012112,0
128,122,2,3,1.125,2,1.13560350006446,1
129,216,2,5,0.5,1,1.00109230005182,0
130,196,2,2,1.025,2,1.00114910001867,1
131,199,2,2,1.01,2,1.02508639986627,1
132,130,2,2,0.975,1,1.03885739995167,0
133,213,2,5,0.5,1,1.00126980012283,0
134,149,2,3,1.1,2,1.04861359996721,1
135,155,2,3,1.025,2,1.09259110013954,1
136,184,2,2,0.99,1,1.068226599833,0
137,115,2,2,1.025,2,1.04506719997153,1
138,201,2,4,1.5,2,1.05429730005562,1
139,167,2,3,0.9,1,1.01317059993744,0
140,135,2,1,1.05,2,1.00142959994264,1
141,126,2,1,1.01,2,1.20095870015211,1
142,207,2,4,1.5,2,1.00109750009142,1
143,162,2,1,0.9,1,1.09767680009827,0
144,204,2,4,1.5,2,1.39980460004881,1
145,143,2,3,0.975,1,1.10559479985386,0
146,163,2,2,1.01,1,1.0012348999735,0
147,208,2,4,1.5,2,1.00123249995522,1
148,186,2,1,0.95,1,1.10428510000929,0
149,215,2,5,0.5,1,1.00113659980707,0
150,217,2,5,0.5,1,1.00122109986842,0
151,198,2,1,1.025,2,1.56200699997135,1
152,128,2,3,1.01,2,1.00152319995686,1
153,144,2,1,0.975,1,1.05540210008621,0
154,148,2,2,1.025,2,1.00152689986862,1
155,125,2,3,0.975,2,1.11135199991986,1
156,195,2,1,1.01,1,1.19107450009324,0
157,209,2,4,1.5,2,1.04668429982848,1
158,112,2,2,1.01,2,1.00116050010547,1
159,192,2,1,1.125,2,1.00110130012035,1
160,146,2,3,0.75,1,1.01568399998359,0
161,171,2,1,1.075,2,1.10053319996223,1
162,147,2,1,1.01,1,1.00985960010439,0
163,133,2,2,0.99,2,1.00128350011073,1
164,139,2,2,0.925,1,1.00130140013061,0
165,123,2,1,1.025,1,1.00132280006073,0
166,150,2,1,1.05,1,3.17447860003449,0
167,145,2,2,0.95,1,1.18091040011495,0
168,220,2,5,0.5,1,1.0012044000905,0
169,177,2,1,1.175,2,1.00119809992611,1
170,211,2,5,0.5,1,1.00108970003203,0
171,158,2,3,0.75,1,1.00129360007122,0
172,185,2,3,0.8,1,1.00130339991301,0
173,188,2,3,0.825,1,1.00130109977908,0
174,214,2,5,0.5,1,1.05307799996808,0
175,202,2,4,1.5,2,1.05603610002436,1
176,218,2,5,0.5,1,1.00896120001562,0
177,157,2,2,0.99,1,1.10456990008242,0
178,159,2,1,1.15,2,1.08693569991738,1
179,156,2,1,1.05,2,1.05059419991449,1
180,174,2,1,0.95,1,1.06812539999373,0
181,169,2,2,0.99,1,1.16295600007288,0
182,136,2,2,1.025,2,1.00146559998393,1
183,181,2,2,0.99,2,1.02412620000541,1
184,164,2,3,1.025,2,1.09349859994836,1
185,113,2,3,0.99,1,1.00123239983805,0
186,161,2,3,1.01,2,1.17965009994805,1
187,183,2,1,1.05,2,1.09838709980249,1
188,189,2,1,1.025,2,1.03412019996904,1
189,187,2,2,0.925,1,1.00111699989066,0
190,197,2,3,0.99,1,1.1072018998675,0
191,182,2,3,1.01,2,1.00104300002567,1
