PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,100,2,4,1.5,2,1.30750779993832,1
2,83,2,2,0.99,1,1.26462229993194,0
3,71,2,2,1.2,2,1.36324490001425,1
4,108,2,5,0.5,1,1.28171459992882,0
5,6,2,3,0.99,1,1.64718830003403,0
6,69,2,3,1.2,2,1.24994629994035,1
7,70,2,1,0.99,1,1.31779050000478,0
8,73,2,1,1.2,2,1.35039979999419,1
9,102,2,5,0.5,1,1.06370119994972,0
10,43,2,1,1.1,2,1.14086879999377,1
11,39,2,3,1.1,2,1.2464852000121,1
12,34,2,1,1.025,1,1.03129030007403,0
13,12,2,3,1.025,2,1.30716460000258,1
14,95,2,4,1.5,2,1.28129880002234,1
15,32,2,2,1.1,2,1.58738790010102,1
16,13,2,1,1.05,1,1.76616390002891,0
17,41,2,2,1.025,1,1.27794140006881,0
18,88,2,1,1.075,2,1.3001752999844,1
19,59,2,2,1.05,1,1.28394500003196,0
20,10,2,1,1.05,1,1.30094579991419,0
21,96,2,4,1.5,2,1.07431990001351,1
22,90,2,3,0.975,1,1.72216559993103,0
23,47,2,2,1.075,2,1.27817309997045,1
24,7,2,1,1.075,1,1.29815930000041,0
25,29,2,2,1.05,2,1.45620819996111,1
26,45,2,3,1.01,2,1.29090649995487,1
27,19,2,1,1.1,2,1.47111280006357,1
28,85,2,1,1.075,2,1.30218130000867,1
29,20,2,2,0.975,1,1.07469999999739,0
30,5,2,2,1.05,2,1.15693850000389,1
31,11,2,2,1.01,2,1.1801430999767,1
32,75,2,3,0.975,1,1.01672259997576,0
33,40,2,1,1.05,2,1.19859819998965,1
34,31,2,1,0.925,1,1.00596630002838,0
35,48,2,3,0.99,1,1.26605290011503,0
36,24,2,3,1.01,2,1.23950439994223,1
37,18,2,3,0.99,1,1.16896529996302,0
38,63,2,3,1.01,2,1.03848039999139,1
39,79,2,1,0.95,1,1.29733770003077,0
40,8,2,2,0.825,1,1.26375420007389,0
41,105,2,5,0.5,1,1.56271159998141,0
42,17,2,2,0.85,1,1.26673679996748,0
43,77,2,2,0.875,1,1.29799769993406,0
44,65,2,2,1.01,2,1.26893889997154,1
45,81,2,3,0.99,2,1.96873490000144,1
46,93,2,4,1.5,2,1.6121303999098,1
47,51,2,3,0.99,1,1.26748160005081,0
48,103,2,5,0.5,1,1.23029840004165,0
49,106,2,5,0.5,1,1.2550298999995,0
50,58,2,1,1.15,2,1.26747809990775,1
51,94,2,4,1.5,2,1.30078289995436,1
52,98,2,4,1.5,2,1.26269190001767,1
53,2,2,2,0.875,1,1.16739439999219,0
54,67,2,1,0.99,1,1.38741149997804,0
55,80,2,2,1.01,2,1.00581030000467,1
56,16,2,1,1.05,2,1.29577890003566,1
57,14,2,2,1.01,1,1.31883529992774,0
58,61,2,1,0.95,1,1.33858800004236,0
59,110,2,5,0.5,1,1.00584160001017,0
60,44,2,2,1.2,2,1.27294190006796,1
61,92,2,4,1.5,2,1.03286530007608,1
62,27,2,3,0.99,2,1.28101649996825,1
63,28,2,1,1.125,2,1.12408179999329,1
64,109,2,5,0.5,1,1.27465000003576,0
65,1,2,1,1.025,2,1.12158759997692,1
66,76,2,1,0.9,1,1.14746800006833,0
67,37,2,1,0.925,1,1.43225229997188,0
68,49,2,1,1.125,2,1.12995109998155,1
69,101,2,5,0.5,1,1.07382579997648,0
70,89,2,2,0.85,1,1.20544890000019,0
71,4,2,1,1.025,2,1.00578549993224,1
72,25,2,1,0.95,1,2.2512917999411,0
73,84,2,3,0.975,2,1.50411680003162,1
74,46,2,1,1.01,2,1.20852879993618,1
75,9,2,3,0.85,1,1.14834130008239,0
76,99,2,4,1.5,2,1.12718330009375,1
77,60,2,3,0.875,1,1.23259499995038,0
78,30,2,3,0.9,1,1.0741017999826,0
79,97,2,4,1.5,2,1.07349440001417,1
80,33,2,3,1.075,2,1.16312359995209,1
81,21,2,3,0.975,1,1.75064999994356,0
82,82,2,1,1.01,2,1.28412069997285,1
83,38,2,2,1.15,2,1.24430909997318,1
84,15,2,3,1.01,2,1.58831669995561,1
85,26,2,2,0.95,1,1.15726220002398,0
86,36,2,3,0.975,1,1.30975449993275,0
87,22,2,1,1.01,1,1.26852509996388,0
88,91,2,4,1.5,2,1.00872919999529,1
89,42,2,3,1.01,1,1.23819699999876,0
90,86,2,2,1.025,2,1.15129489998799,1
91,74,2,2,1.025,1,1.60601190000307,0
92,66,2,3,1.075,1,2.39783200004604,0
93,23,2,2,1.125,2,1.25384089990985,1
94,87,2,3,1.25,2,1.25004209997132,1
95,52,2,1,0.9,1,1.28666310000699,0
96,56,2,2,0.95,1,1.38444749999326,0
97,35,2,2,1.075,2,2.02485699998215,1
98,55,2,1,0.925,1,1.00592780008446,0
99,62,2,2,0.975,1,1.43127250007819,0
100,104,2,5,0.5,1,1.02270690002479,0
101,57,2,3,1.2,2,1.24517459992785,1
102,3,2,3,1.175,2,1.02331760001834,1
103,78,2,3,0.85,1,1.187577100005,0
104,64,2,1,1.075,2,1.00572480005212,1
105,72,2,3,1.075,2,1.13044470001478,1
106,107,2,5,0.5,1,1.00568179995753,0
107,50,2,2,1.025,2,1.00592599995434,1
108,68,2,2,1.01,2,1.18836659996305,1
109,53,2,2,1.01,2,1.0735219999915,1
110,54,2,3,1.025,2,1.00589060003404,1
111,199,1,2,0.99,1,1.60365850001108,0
112,149,1,3,0.99,1,1.28147610009182,0
113,172,1,2,1.2,2,1.13841140002478,1
114,154,1,2,1.1,2,1.19019130000379,1
115,171,1,1,0.99,1,1.14373830007389,0
116,139,1,2,1.025,1,1.38190150004812,0
117,196,1,2,1.05,2,1.00606019992847,1
118,175,1,2,1.01,2,1.64435119996779,1
119,135,1,1,1.2,2,1.20802379993256,1
120,202,1,4,1.5,2,1.11150329990778,1
121,153,1,1,1.1,1,1.14009720005561,0
122,203,1,4,1.5,2,1.08134279993828,1
123,145,1,2,0.9,1,1.06317099998705,0
124,219,1,5,0.5,1,1.27300529996864,0
125,182,1,3,1.2,2,1.20698820007965,1
126,179,1,3,1.1,1,1.23760610003956,0
127,157,1,2,0.95,1,1.13841239991598,0
128,128,1,3,1.15,2,1.02639959997032,1
129,204,1,4,1.5,2,1.03147289995104,1
130,123,1,1,1.15,1,2.45124850003049,0
131,167,1,3,1.125,2,1.44657809997443,1
132,127,1,2,1.025,1,1.58373050007503,0
133,150,1,1,1.175,2,1.15072769997641,1
134,126,1,1,1.15,2,1.67698420002125,1
135,206,1,4,1.5,2,1.00576580001507,1
136,165,1,1,1.125,2,1.23654069995973,1
137,159,1,1,1.025,1,1.08610080007929,0
138,195,1,1,1.075,2,1.27228250005282,1
139,163,1,2,1.075,2,1.00589150004089,1
140,115,1,2,1.025,1,1.12523459992371,0
141,185,1,3,1.1,2,1.21127750002779,1
142,194,1,3,1.025,1,1.12008020002395,0
143,215,1,5,0.5,1,1.11022860009689,0
144,176,1,3,1.075,2,1.00615640007891,1
145,177,1,1,0.825,1,1.00569230003748,0
146,209,1,4,1.5,2,1.09142269997392,1
147,130,1,2,1.05,1,1.21337390004192,0
148,129,1,1,0.875,1,1.17934839997906,0
149,186,1,1,0.9,1,1.19141289999243,0
150,134,1,3,1.05,1,1.2982222000137,0
151,141,1,1,1.075,2,1.15648899995722,1
152,120,1,1,1.05,1,1.9335859999992,0
153,117,1,1,1.075,2,1.01779329997953,1
154,140,1,3,1.01,1,1.16609069996048,0
155,133,1,2,1.15,2,1.04664559999947,1
156,137,1,3,1.075,1,1.315882600029,0
157,112,1,2,1.125,2,1.08210650004912,1
158,188,1,3,1.2,2,1.24612540006638,1
159,143,1,3,0.99,1,1.00610190001316,0
160,119,1,3,1.1,2,1.28150279994588,1
161,111,1,1,1.075,1,1.26964900002349,0
162,156,1,1,1.35,2,1.21380679996219,1
163,124,1,2,1.05,1,1.27652309997939,0
164,180,1,1,1.3,2,1.17151260003448,1
165,201,1,4,1.5,2,1.16655119997449,1
166,155,1,3,1.075,1,1.14116080000531,0
167,197,1,3,1.1,1,1.22961610008497,0
168,116,1,3,1.2,2,1.08843789994717,1
169,183,1,1,0.9,1,1.19660589995328,0
170,218,1,5,0.5,1,1.22080140002072,0
171,200,1,3,1.15,2,1.2393763998989,1
172,187,1,2,1.075,2,1.32581149996258,1
173,168,1,1,1.25,2,1.0058462000452,1
174,113,1,3,1.075,2,1.4966499999864,1
175,178,1,2,1.05,1,1.27568389999215,0
176,207,1,4,1.5,2,1.19776739994995,1
177,125,1,3,0.975,1,1.00610080000479,0
178,144,1,1,0.975,1,1.22701689996757,0
179,146,1,3,1.01,1,1.24800919997506,0
180,184,1,2,1.05,1,1.19282060000114,0
181,138,1,1,1.1,1,1.78627410007175,0
182,169,1,2,1.075,2,1.30277029995341,1
183,217,1,5,0.5,1,1.00585690001026,0
184,148,1,2,1.05,1,1.26223260001279,0
185,114,1,1,1.25,2,1.19864780001808,1
186,193,1,2,1.05,1,1.26381479995325,0
187,210,1,4,1.5,2,1.24376230000053,1
188,190,1,2,1.075,2,1.36525450006593,1
189,191,1,3,1.125,2,1.23120209993795,1
190,160,1,2,1.05,1,1.22237709991168,0
191,162,1,1,1.2,2,1.21296989999246,1
192,164,1,3,1.1,2,1.14814109995496,1
193,170,1,3,1.05,2,1.03052359994035,1
194,214,1,5,0.5,1,1.21378140000161,0
195,216,1,5,0.5,1,1.11540210002568,0
196,147,1,1,1.01,2,1.21908090007491,1
197,152,1,3,0.99,2,1.13392459996976,1
198,174,1,1,0.9,1,1.23887520004064,0
199,158,1,3,0.875,1,1.19789469998796,0
200,136,1,2,1.075,2,1.00597419997212,1
201,213,1,5,0.5,1,1.1567571000196,0
202,208,1,4,1.5,2,1.08907580003142,1
203,131,1,3,0.9,1,1.13354970002547,0
204,121,1,2,1.05,1,1.22203760000411,0
205,173,1,3,0.925,1,1.11236560007092,0
206,161,1,3,0.95,1,1.12387760006823,0
207,212,1,5,0.5,1,1.08256849995814,0
208,211,1,5,0.5,1,1.22706980002113,0
209,122,1,3,1.01,1,1.00705270003527,0
210,118,1,2,1.05,2,1.19552030006889,1
211,189,1,1,0.95,1,1.0597548999358,0
212,192,1,1,1.2,2,1.22081159998197,1
213,220,1,5,0.5,1,1.24094629997853,0
214,132,1,1,0.99,1,1.12909229996148,0
215,198,1,1,1.15,2,1.11627780005801,1
216,142,1,2,1.05,1,1.34614080004394,0
217,205,1,4,1.5,2,1.26367989997379,1
218,151,1,2,1.05,2,1.6049354999559,1
219,181,1,2,1.05,1,1.01156130002346,0
220,166,1,2,1.05,1,1.27231120003853,0
