PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,68,1,2,0.99,1,0.546315700048581,0
2,42,1,3,0.99,1,0.559781200019643,0
3,77,1,2,1.2,2,0.582997799967416,1
4,51,1,3,1.2,2,0.52687750000041,1
5,105,1,5,0.5,1,0.400331399985589,0
6,75,1,3,1.1,2,0.570390500011854,1
7,91,1,4,1.5,2,0.398158099967986,1
8,98,1,4,1.5,2,0.39924769999925,1
9,81,1,3,1.025,1,0.398532900027931,0
10,106,1,5,0.5,1,0.399108799989335,0
11,70,1,1,0.99,1,0.748498599976301,0
12,74,1,2,1.1,2,0.441199699998833,1
13,94,1,4,1.5,2,0.515656200004742,1
14,20,1,2,1.025,1,0.433110300102271,0
15,37,1,1,1.2,2,0.398460200056434,1
16,69,1,3,1.05,1,0.398573699989356,0
17,45,1,3,1.075,2,0.916161799919792,1
18,1,1,1,1.1,2,0.614059000043198,1
19,55,1,1,1.025,1,0.453183999983594,0
20,50,1,2,1.05,1,0.615997300017625,0
21,9,1,3,1.05,2,1.22902640001848,1
22,80,1,2,1.075,2,0.583919700002298,1
23,71,1,2,1.05,1,0.638092200038955,0
24,7,1,1,1.05,2,0.657951000030152,1
25,110,1,5,0.5,1,0.466356699937023,0
26,108,1,5,0.5,1,0.415647500078194,0
27,82,1,1,1.01,1,1.30746789998375,0
28,23,1,2,1.075,2,0.639076699968427,1
29,25,1,1,1.05,1,0.683751700096764,0
30,29,1,2,1.075,2,0.631510899984278,1
31,103,1,5,0.5,1,0.456586899934337,0
32,64,1,1,1.075,2,0.595215599983931,1
33,61,1,1,1.05,2,0.88833650003653,1
34,63,1,3,0.975,2,1.83387510001194,1
35,60,1,3,0.75,1,0.398354099947028,0
36,36,1,3,0.75,1,0.476593200000934,0
37,58,1,1,0.99,2,0.638108599931002,1
38,57,1,3,0.8,1,0.418456599931233,0
39,53,1,2,1.05,2,0.632455199956894,1
40,76,1,1,0.8,1,0.431330900057219,0
41,28,1,1,0.8,1,0.415537799941376,0
42,67,1,1,0.85,1,0.468812100007199,0
43,78,1,3,1.25,2,0.460685900063254,1
44,48,1,3,0.9,1,0.398235099972226,0
45,14,1,2,1.025,2,0.714345499989577,1
46,66,1,3,1.025,2,0.970209400053136,1
47,13,1,1,1.175,2,0.480649399920367,1
48,16,1,1,0.925,1,0.424769099918194,0
49,11,1,2,0.875,1,0.43397399992682,0
50,5,1,2,0.9,1,0.566478100023232,0
51,24,1,3,0.8,1,0.407192199956626,0
52,47,1,2,0.925,2,0.669428699999116,1
53,2,1,2,0.7,1,0.471786300069652,0
54,52,1,1,1.025,2,0.526708499994129,1
55,62,1,2,0.7,1,0.401204900001176,0
56,22,1,1,0.85,1,0.731772199971601,0
57,30,1,3,1.2,2,0.619462499977089,1
58,101,1,5,0.5,1,0.398040600004606,0
59,46,1,1,1.175,2,0.476892299950123,1
60,21,1,3,0.95,2,0.986829900066368,1
61,92,1,4,1.5,2,0.39792929997202,1
62,90,1,3,0.75,1,0.398131599999033,0
63,18,1,3,0.95,2,1.05050459993072,1
64,56,1,2,0.75,1,0.398455400019884,0
65,99,1,4,1.5,2,0.472819000016898,1
66,93,1,4,1.5,2,0.465504299965687,1
67,34,1,1,0.95,1,0.455649400013499,0
68,89,1,2,1.25,2,0.470376700046472,1
69,44,1,2,0.8,1,0.398251399979927,0
70,27,1,3,0.925,2,0.613073499989696,1
71,65,1,2,1.2,2,0.458934499998577,1
72,79,1,1,1.01,1,0.398129199980758,0
73,86,1,2,1.01,2,0.812677600071765,1
74,107,1,5,0.5,1,0.43945409997832,0
75,31,1,1,1.05,2,0.510550400009379,1
76,41,1,2,0.8,1,0.471935700043105,0
77,6,1,3,0.925,2,0.574246499920264,1
78,32,1,2,0.925,2,0.576340800034814,1
79,10,1,1,1.01,2,0.691688499995507,1
80,73,1,1,0.925,1,0.398366900044493,0
81,8,1,2,0.75,1,0.527918600011617,0
82,96,1,4,1.5,2,0.398343799985014,1
83,88,1,1,1.1,2,0.87517069990281,1
84,109,1,5,0.5,1,0.426032699993812,0
85,87,1,3,0.9,1,0.745526700047776,0
86,38,1,2,0.925,2,1.07273119990714,1
87,84,1,3,0.925,1,2.56324020004831,0
88,59,1,2,0.925,1,0.860577800078318,0
89,72,1,3,0.7,1,0.446680700057186,0
90,83,1,2,1.25,2,0.460082200006582,1
91,85,1,1,0.975,1,0.877570200012997,0
92,35,1,2,0.75,1,0.432120600016788,0
93,12,1,3,1.175,2,0.425136000034399,1
94,3,1,3,0.95,2,0.605862500029616,1
95,95,1,4,1.5,2,0.468567900010385,1
96,49,1,1,0.99,1,0.452886200044304,0
97,17,1,2,0.75,1,0.468315200065263,0
98,26,1,2,1.15,2,0.946221899939701,1
99,104,1,5,0.5,1,0.397870999993756,0
100,54,1,3,0.95,2,1.1750858000014,1
101,4,1,1,1.025,2,1.46935289993417,1
102,39,1,3,0.95,1,1.08012239995878,0
103,19,1,1,0.99,2,0.860350299975835,1
104,97,1,4,1.5,2,0.439743199967779,1
105,40,1,1,0.95,1,0.468938500038348,0
106,15,1,3,0.7,1,0.420061599928886,0
107,100,1,4,1.5,2,0.462858900078572,1
108,33,1,3,0.75,1,0.428475799970329,0
109,102,1,5,0.5,1,0.44596029992681,0
110,43,1,1,1.05,2,0.717138199950568,1
111,140,2,3,0.99,1,1.91743520007003,0
112,116,2,3,1.2,2,0.65707710001152,1
113,180,2,1,0.99,1,1.31037500000093,0
114,210,2,4,1.5,2,0.418226500041783,1
115,117,2,1,1.2,1,1.53143430000637,0
116,216,2,5,0.5,1,0.478638800093904,0
117,170,2,3,1.1,2,0.799681699951179,1
118,173,2,3,1.025,1,0.915897600003518,0
119,120,2,1,1.35,2,0.471132999984547,1
120,111,2,1,1.25,2,0.505084599950351,1
121,183,2,1,1.2,2,0.714084900100715,1
122,147,2,1,1.1,1,0.697467199992388,0
123,174,2,1,1.15,1,1.09657900000457,0
124,133,2,2,0.99,1,0.811524199903943,0
125,217,2,5,0.5,1,0.50050820002798,0
126,141,2,1,1.175,2,0.869488800060935,1
127,127,2,2,1.2,2,0.506510399980471,1
128,212,2,5,0.5,1,0.548991500050761,0
129,130,2,2,1.1,2,1.87276169995312,1
130,181,2,2,1.025,2,1.3092971999431,1
131,139,2,2,0.975,1,0.517574800061993,0
132,213,2,5,0.5,1,0.486033899942413,0
133,193,2,2,1.01,1,0.631643699947745,0
134,138,2,1,1.05,2,1.08740189997479,1
135,199,2,2,1.025,2,1.43741429992951,1
136,122,2,3,1.05,2,0.771126799983904,1
137,114,2,1,0.75,1,0.906652600038797,0
138,171,2,1,0.8,1,0.501949100056663,0
139,129,2,1,0.825,1,0.488709000055678,0
140,161,2,3,1.01,2,0.86025669996161,1
141,220,2,5,0.5,1,0.434985299943946,0
142,191,2,3,0.9,1,0.564934300025925,0
143,121,2,2,1.01,1,0.628982399939559,0
144,202,2,4,1.5,2,0.479877999983728,1
145,197,2,3,0.95,1,0.46566929994151,0
146,136,2,2,1.025,2,0.627258199965581,1
147,148,2,2,1.01,2,0.939336200011894,1
148,175,2,2,0.99,2,0.717112399986945,1
149,124,2,2,0.825,1,0.426592199946754,0
150,218,2,5,0.5,1,0.398429999942891,0
151,215,2,5,0.5,1,0.398072900017723,0
152,201,2,4,1.5,2,0.42755689995829,1
153,167,2,3,1.025,1,0.505440099979751,0
154,185,2,3,1.075,2,0.763056399999186,1
155,190,2,2,0.85,1,0.461832599947229,0
156,162,2,1,0.85,1,0.672619800083339,0
157,154,2,2,0.875,1,0.68292819999624,0
158,169,2,2,0.925,1,0.780762600013986,0
159,195,2,1,1.35,2,0.541306499973871,1
160,135,2,1,1.125,2,0.49381060001906,1
161,113,2,3,1.025,1,0.949525400064886,0
162,160,2,2,1.075,2,0.507663000025786,1
163,137,2,3,1.05,1,0.440646499977447,0
164,157,2,2,0.99,2,1.2661263999762,1
165,126,2,1,0.825,1,0.398067600093782,0
166,164,2,3,1.15,2,0.441375500056893,1
167,207,2,4,1.5,2,0.398315600003116,1
168,134,2,3,1.125,2,0.454406199976802,1
169,145,2,2,0.85,1,0.435040000011213,0
170,184,2,2,0.9,1,0.539562499965541,0
171,188,2,3,1.05,2,0.468112700036727,1
172,151,2,2,1.075,2,0.572454800014384,1
173,204,2,4,1.5,2,0.397968800039962,1
174,206,2,4,1.5,2,0.466102199978195,1
175,150,2,1,1.35,2,0.479445100063458,1
176,211,2,5,0.5,1,0.3982467999449,0
177,192,2,1,1.05,1,0.981941100093536,0
178,118,2,2,0.99,2,0.930971599998884,1
179,198,2,1,1.35,2,0.464690100052394,1
180,178,2,2,0.95,1,0.485207200050354,0
181,172,2,2,0.975,1,0.665484400000423,0
182,119,2,3,1.025,1,0.584595700027421,0
183,125,2,3,1.05,1,0.940212300047278,0
184,155,2,3,1.125,2,0.806501399958506,1
185,159,2,1,1.125,2,0.601061300025322,1
186,156,2,1,0.95,1,0.459000700036995,0
