PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
1,78,1,4,1,2,0.5,1,1.28992403699885,0
2,47,1,1,1,1,0.99,2,1.26389223500155,1
3,36,1,2,1,2,0.99,2,1.02067670599718,1
4,19,1,1,1,1,0.75,1,1.42322045399851,0
5,52,1,2,1,2,0.75,1,1.3031471989998,0
6,23,1,1,1,1,0.9,1,1.29383692500051,0
7,55,1,1,1,1,0.975,2,1.10960742399766,1
8,62,1,3,1,2,1.5,2,1.27520513799755,1
9,73,1,4,1,1,0.5,1,1.35706407500038,0
10,9,1,1,1,1,0.925,2,1.24889461000203,1
11,7,1,1,1,1,0.9,2,1.27244311300092,1
12,41,1,1,1,1,0.85,1,1.09607623199918,0
13,22,1,2,1,2,0.9,1,1.08414661800271,0
14,79,1,4,1,1,0.5,1,1.25910896400092,0
15,40,1,2,1,2,0.975,2,1.10698639299881,1
16,71,1,4,1,1,0.5,1,1.10332501399898,0
17,18,1,2,1,2,0.925,1,1.22827155500272,0
18,1,1,1,1,1,0.875,1,1.00705560500137,0
19,14,1,2,1,2,0.95,1,1.23927406599978,0
20,6,1,2,1,2,0.975,1,1.05021101700186,0
21,39,1,1,1,1,0.925,1,1.23095533499873,0
22,17,1,1,1,1,1.1,2,1.01147898499767,1
23,3,1,1,1,1,1.075,2,1.22394072600218,1
24,68,1,3,1,2,1.5,2,1.1676224010007,1
25,60,1,2,1,2,1.05,1,1.21835153600114,0
26,29,1,1,1,1,0.8,1,1.26708821600187,0
27,27,1,1,1,1,0.95,2,1.21051910499955,1
28,56,1,2,1,2,1.25,2,1.0995357560023,1
29,61,1,3,1,1,1.5,2,1.24262974000158,1
30,49,1,1,1,1,0.9,1,1.30597116299759,0
31,31,1,1,1,1,0.925,1,1.24954853800227,0
32,66,1,3,1,2,1.5,2,1.01352503100134,1
33,45,1,1,1,1,0.95,2,1.1344058470022,1
