PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
1,24,2,2,1,2,0.99,2,1.16247434999968,1
2,10,2,2,1,2,0.75,1,1.60733840600005,0
3,25,2,1,1,1,0.99,2,1.78415863200007,1
4,7,2,1,1,1,0.75,1,1.45080314899951,0
5,32,2,2,1,2,0.9,2,1.87529965200065,1
6,3,2,1,1,1,0.9,1,1.59099454900024,0
7,29,2,1,1,1,0.975,2,1.49811261700052,1
8,66,2,3,1,2,1.5,2,1.55152713999996,1
9,78,2,4,1,2,0.5,1,1.553976315,0
10,42,2,2,1,2,0.825,1,1.90450329699979,0
11,11,2,1,1,1,0.925,2,1.61443909900026,1
12,23,2,1,1,1,0.9,1,1.50481717899947,0
13,64,2,3,1,2,1.5,2,1.45383851499992,1
14,63,2,3,1,1,1.5,2,1.44601858599981,1
15,44,2,2,1,2,0.875,1,1.75811170899942,0
16,27,2,1,1,1,0.925,1,1.50396004399954,0
17,39,2,1,1,1,0.95,2,1.45253162300014,1
18,47,2,1,1,1,0.95,1,1.38100498699987,0
19,59,2,1,1,1,1.1,2,1.35239840200029,1
20,75,2,4,1,1,0.5,1,1.34128588699969,0
21,9,2,1,1,1,1.075,2,1.25355095000032,1
22,76,2,4,1,2,0.5,1,1.29119860999981,0
23,2,2,2,1,2,0.9,2,2.6504082499996,1
24,68,2,3,1,2,1.5,2,1.1132854059997,1
25,70,2,3,1,2,1.5,2,1.21474557799957,1
26,71,2,4,1,1,0.5,1,1.16880490699987,0
27,40,2,2,1,2,0.875,1,1.38664992300073,0
28,5,2,1,1,1,0.825,1,1.08404360200075,0
29,17,2,1,1,1,1.025,2,1.02017245800016,1
30,19,2,1,1,1,0.925,1,1.41277577600067,0
31,14,2,2,1,2,0.9,2,1.09963174600034,1
32,46,2,2,1,2,0.875,1,1.35834044600051,0
33,65,2,3,1,1,1.5,2,1.13161653600037,1
34,62,2,3,1,2,1.5,2,1.1367419320004,1
35,51,2,1,1,1,0.95,1,1.08472524999979,0
36,69,2,3,1,1,1.5,2,1.10879165099959,1
37,41,2,1,1,1,0.975,2,1.10506848299974,1
38,56,2,2,1,2,0.9,1,1.4301153159995,0
39,15,2,1,1,1,0.95,2,1.20724054700077,1
40,16,2,2,1,2,0.925,1,1.02034131099936,0
41,36,2,2,1,2,1.15,2,1.02007148099983,1
42,38,2,2,1,2,1.1,2,1.11632043099962,1
43,22,2,2,1,2,1.075,2,1.06590281699937,1
44,52,2,2,1,2,0.95,1,1.01477210800022,0
45,77,2,4,1,1,0.5,1,1.01038254099967,0
46,60,2,2,1,2,1.175,2,1.01272416699976,1
47,50,2,2,1,2,1.15,2,1.00995276000049,1
48,26,2,2,1,2,0.75,1,1.02595142399969,0
49,6,2,2,1,2,0.975,1,1.17789428099968,0
50,58,2,2,1,2,1.175,2,1.00676154499979,1
51,4,2,2,1,2,0.975,1,1.02121832499961,0
52,80,2,4,1,2,0.5,1,1.48683220899966,0
53,57,2,1,1,1,0.925,1,1.06968986499942,0
54,1,2,1,1,1,0.925,2,1.20501616099955,1
55,49,2,1,1,1,0.825,1,1.00792220899984,0
56,18,2,2,1,2,0.975,2,1.10937931999979,1
57,74,2,4,1,2,0.5,1,1.01339636800003,0
58,13,2,1,1,1,1.05,2,1.46790572500049,1
59,20,2,2,1,2,1.2,2,1.4987720019999,1
60,73,2,4,1,1,0.5,1,1.00895515299999,0
61,30,2,2,1,2,0.75,1,1.29921205100072,0
62,61,2,3,1,1,1.5,2,1.16842054199969,1
63,31,2,1,1,1,0.875,1,1.34010648700041,0
64,43,2,1,1,1,0.975,2,1.03889403999983,1
65,12,2,2,1,2,1.1,2,1.20799485499992,1
66,53,2,1,1,1,0.925,2,1.52241705100005,1
67,34,2,2,1,2,1.05,2,1.32762917599939,1
68,55,2,1,1,1,0.875,1,1.30355238700031,0
69,48,2,2,1,2,0.95,1,1.22107545899962,0
70,33,2,1,1,1,0.9,1,1.01091070499933,0
71,67,2,3,1,1,1.5,2,1.18417101599971,1
72,72,2,4,1,2,0.5,1,1.06773739399978,0
73,37,2,1,1,1,0.95,1,1.12208420200022,0
74,8,2,2,1,2,0.95,1,1.38200382700052,0
75,79,2,4,1,1,0.5,1,1.02132216199971,0
76,45,2,1,1,1,0.99,2,1.01916330700078,1
77,21,2,1,1,1,0.975,1,1.01979661699988,0
78,28,2,2,1,2,0.95,2,1.0070561980001,1
79,35,2,1,1,1,1.01,2,1.7377732519999,1
80,54,2,2,1,2,0.825,1,1.01000394200037,0
81,94,1,2,2,2,0.99,1,1.23086216500087,0
82,82,1,2,2,2,1.2,2,1.00723735600059,1
83,86,1,2,2,2,1.1,2,1.03657450300034,1
84,85,1,1,2,1,0.99,1,1.02063657300005,0
85,106,1,2,2,2,1.025,1,1.27736742500019,0
86,135,1,1,2,1,1.2,2,1.01900918200045,1
87,137,1,1,2,1,1.1,2,1.00700585700088,1
88,88,1,2,2,2,1.05,1,1.01557501000025,0
89,149,1,3,2,1,1.5,2,1.52346777000002,1
90,131,1,1,2,1,1.025,1,1.16496246499992,0
91,112,1,2,2,2,1.075,1,1.11990586699994,0
