PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,86,1,2,0.99,1,0.441857926503872,0
2,56,1,2,1.2,2,0.470798000112381,1
3,26,1,2,1.1,1,0.399682235135401,0
4,105,1,5,0.5,1,0.399343047920524,0
5,88,1,1,0.99,1,0.400792275779509,0
6,59,1,2,1.15,2,1.5451165820698,1
7,100,1,4,1.5,2,0.508229167642185,1
8,49,1,1,1.2,1,0.408593289068335,0
9,10,1,1,1.35,1,0.590019233290491,0
10,61,1,1,1.4,2,0.633467681516436,1
11,12,1,3,0.99,1,0.554123626862406,0
12,5,1,2,1.125,1,0.400588002547238,0
13,31,1,1,1.35,2,0.400695992264559,1
14,93,1,4,1.5,2,0.398857533175374,1
15,99,1,4,1.5,2,0.439274074975856,1
16,29,1,2,1.15,1,0.399377581217664,0
17,73,1,1,1.25,1,0.40379374607835,0
18,23,1,2,1.175,1,0.401463626487953,0
19,21,1,3,1.2,1,0.399189696668941,0
20,81,1,3,1.35,2,0.398892651782603,1
21,38,1,2,1.25,2,0.398989520607643,1
22,8,1,2,1.25,1,0.404899689551485,0
23,34,1,1,1.3,2,0.402013818001365,1
24,15,1,3,1.25,1,0.418948595723919,0
25,76,1,1,1.175,2,0.399218669519882,1
26,37,1,1,0.85,1,0.398771492587684,0
27,58,1,1,0.875,1,0.399201988181403,0
28,64,1,1,0.925,1,0.399337780129486,0
29,7,1,1,1.025,1,0.39915926054266,0
30,57,1,3,1.3,2,1.44587198331158,1
31,44,1,2,0.875,1,0.398950304829555,0
32,54,1,3,1.25,1,0.39932344003148,0
33,16,1,1,1.1,1,0.398830316254816,0
34,19,1,1,1.3,2,0.3994214794767,1
35,14,1,2,0.9,1,0.399242959889875,0
36,20,1,2,1.4,2,0.399253495472067,1
37,18,1,3,1.3,1,0.399058294546762,0
38,13,1,1,1.25,2,0.958703151777968,1
39,33,1,3,1.3,1,0.402003575074218,0
40,96,1,4,1.5,1,0.398997714949246,0
41,42,1,3,1.35,2,1.00220398525948,1
42,35,1,2,1.35,2,0.399463621805353,1
43,65,1,2,1.3,2,0.399316416310057,1
44,32,1,2,1.2,2,0.399133506897215,1
45,43,1,1,0.975,1,0.398766810106622,0
46,89,1,2,1.175,1,0.399317879585396,0
47,102,1,5,0.5,1,0.399225985896351,0
48,68,1,2,1.2,1,0.399222181380537,0
49,30,1,3,1.3,1,0.399060050477146,0
50,17,1,2,1.4,1,0.399043076483622,0
51,36,1,3,1.35,1,0.399172137365213,0
52,82,1,1,1.175,1,0.398775297103384,0
53,9,1,3,1.175,1,0.399357680673575,0
54,46,1,1,1.4,1,0.399368801565856,0
55,66,1,3,1.4,1,0.399431429748688,0
56,53,1,2,0.85,1,0.398714717505982,0
57,11,1,2,0.875,1,0.399312904449289,0
58,48,1,3,1.1,1,0.399571904177719,0
59,87,1,3,1.125,1,0.399064732958095,0
60,84,1,3,1.45,2,0.402408024367674,1
61,63,1,3,1.4,1,0.399122678660092,0
62,85,1,1,0.9,1,0.398998007604405,0
63,45,1,3,1.15,1,0.398809830400523,0
64,28,1,1,1.5,2,0.399273396016156,1
65,95,1,4,1.5,2,0.39929037000968,1
66,91,1,4,1.5,2,0.398882701510615,1
67,83,1,2,1.5,2,0.410018811867303,1
68,74,1,2,1.5,2,0.417052776243054,1
69,55,1,1,1.5,2,0.399010299116867,1
70,27,1,3,1.4,1,0.399208719247781,0
71,72,1,3,1.4,2,0.398766810106736,1
72,97,1,4,1.5,2,0.399083170226845,1
73,70,1,1,1.5,2,0.399211938453391,1
74,104,1,5,0.5,1,0.398719399986931,0
75,39,1,3,1.15,1,0.399252032196728,0
76,75,1,3,1.5,2,0.399549662392928,1
77,79,1,1,1.45,2,0.399360607224253,1
78,110,1,5,0.5,2,1.396586237252,1
79,4,1,1,1.3,2,0.604765536471859,1
80,80,1,2,1.45,2,0.460016880344028,1
81,1,1,1,1.2,2,0.399067952163705,1
82,77,1,2,1.4,2,0.647721446231117,1
83,2,1,2,1.35,2,0.608996743334501,1
84,90,1,3,1.5,2,0.399074975885242,1
85,51,1,3,1.5,2,0.399279249117399,1
86,40,1,1,1.01,1,2.01037315861436,0
87,62,1,2,1.3,2,0.591867642651778,1
88,25,1,1,1.35,2,0.595548658001007,1
89,47,1,2,1.25,1,0.688368014908974,0
90,41,1,2,1.05,1,0.548136782292659,0
91,103,1,5,0.5,1,0.569626443374773,0
92,71,1,2,1.35,2,0.61456889568376,1
93,109,1,5,0.5,1,0.505282423839617,0
94,50,1,2,1.3,2,0.432816055758849,1
95,101,1,5,0.5,1,0.561860256038244,0
96,52,1,1,1.125,2,0.5942694627322,1
97,92,1,4,1.5,2,0.702218793605425,1
98,6,1,3,1.4,2,0.562062480684745,1
99,106,1,5,0.5,1,0.539166612037889,0
100,69,1,3,1.5,2,0.452119876195184,1
101,60,1,3,1.45,2,0.399164528333586,1
102,24,1,3,1.35,2,0.500864503048433,1
103,94,1,4,1.5,2,0.399041320553351,1
104,22,1,1,0.975,1,0.398747787527782,0
105,107,1,5,0.5,1,0.399306758693001,0
106,98,1,4,1.5,2,1.13039977851872,1
107,78,1,3,1.45,2,0.60759726683591,1
108,3,1,3,1.35,2,0.401689263539311,1
109,67,1,1,1.35,2,0.39914843230531,1
110,108,1,5,0.5,1,0.398731691499506,0
111,125,2,3,0.99,1,0.529172149071428,0
112,137,2,3,1.2,2,0.399023175939647,1
113,147,2,1,0.99,1,0.399710330021207,0
114,198,2,1,1.2,2,2.07825332924403,1
115,156,2,1,1.1,1,0.613829649001218,0
116,140,2,3,1.1,1,0.398962303686858,0
117,215,2,5,0.5,1,0.400051858476672,0
118,114,2,1,1.15,2,0.399354461467965,1
119,216,2,5,0.5,1,0.39986514454813,0
120,190,2,2,0.99,2,0.399928065386121,1
121,192,2,1,1.125,2,0.41016250550183,1
122,177,2,1,1.1,1,0.398703011303496,0
123,206,2,4,1.5,2,0.399957330892221,1
124,200,2,3,1.15,1,0.399840268868047,0
125,194,2,3,1.175,1,0.526183555595026,0
126,146,2,3,1.25,2,0.399031370281136,1
127,179,2,3,1.2,1,0.399397481761753,0
128,136,2,2,0.75,1,0.399904360326218,0
129,207,2,4,1.5,2,0.542233929725398,1
130,213,2,5,0.5,1,0.399910798737665,0
131,202,2,4,1.5,2,0.399662627246244,1
132,138,2,1,1.1,1,0.399937137693087,0
133,124,2,2,0.9,1,0.399974304885745,0
134,119,2,3,1.25,2,0.399743400043235,1
135,166,2,2,0.975,1,0.399174478605801,0
136,217,2,5,0.5,1,0.399544101946958,0
137,153,2,1,1.125,2,0.428461933770905,1
138,170,2,3,1.2,2,0.399031077626205,1
139,176,2,3,1.175,2,0.399103656081252,1
140,185,2,3,1.01,1,0.39983265983642,0
141,208,2,4,1.5,1,0.399814515222943,0
142,167,2,3,1.05,1,0.399902019085857,0
143,120,2,1,1.125,1,0.399563709836002,0
144,191,2,3,1.075,1,0.399878021370796,0
145,197,2,3,1.25,1,0.399858413481752,0
146,189,2,1,1.15,2,0.399239740684152,1
147,181,2,2,1.1,1,0.41289268456012,0
148,123,2,1,1.1,2,0.398995373708885,1
149,178,2,2,1.25,2,0.39995879416756,1
150,187,2,2,1.15,1,0.399339828714801,0
151,111,2,1,0.975,2,0.399829147975879,1
152,188,2,3,1.4,2,0.399916359183635,1
153,201,2,4,1.5,2,0.399774714134537,1
154,171,2,1,0.65,1,0.399393677246053,0
155,149,2,3,1.4,2,0.399920749009652,1
156,133,2,2,1.2,2,0.399837342317369,1
157,143,2,3,1.01,1,0.399107753251883,0
158,212,2,5,0.5,1,0.399337780129372,0
159,220,2,5,0.5,1,0.400064149989248,0
160,205,2,4,1.5,2,0.399825928770042,1
161,132,2,1,0.65,1,0.399197598355613,0
162,112,2,2,1.175,2,0.399878899336045,1
163,122,2,3,1.3,2,0.399818319738415,1
164,199,2,2,1.125,1,0.399928065386121,0
165,180,2,1,0.7,1,0.399228327136825,0
166,134,2,3,1.25,2,0.399855194276142,1
167,150,2,1,0.75,1,0.399882411196813,0
168,174,2,1,1.4,2,0.399235058203203,1
169,195,2,1,0.825,1,0.39966526114199,0
170,139,2,2,1.15,2,0.399853438345872,1
171,118,2,2,1.1,2,1.24439975276505,1
172,203,2,4,1.5,2,0.399054782686108,1
173,182,2,3,1.2,2,0.399915188563455,1
174,196,2,2,0.7,1,0.399554052218946,0
