PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,96,2,4,1.5,2,2.50955486728344,1
2,94,2,4,1.5,2,3.72792148184089,1
3,15,2,3,0.99,2,1.91909647820285,1
4,33,2,3,0.75,1,1.74540939999861,0
5,1,2,1,0.99,2,3.1715671363927,1
6,93,2,4,1.5,2,1.35581332186121,1
7,67,2,1,0.75,1,1.30893547821324,0
8,87,2,3,0.9,1,1.41018082726805,0
9,105,2,5,0.5,1,1.34515484001895,0
10,22,2,1,0.9,2,1.44972602545749,1
11,46,2,1,0.825,1,1.38028696727997,0
12,56,2,2,0.99,2,1.55204356909962,1
13,84,2,3,0.975,2,1.49310758002684,1
14,5,2,2,0.75,1,1.35093546910502,0
15,37,2,1,0.875,2,1.96671078001964,1
16,4,2,1,0.85,1,1.37482875456044,0
17,65,2,2,0.9,2,1.77748876548139,1
18,55,2,1,0.875,1,1.33877170000051,0
19,24,2,3,0.925,2,1.53362888003176,1
20,48,2,3,0.9,1,1.36469511092582,0
21,40,2,1,0.925,2,1.43156759275007,1
22,81,2,3,0.925,1,1.4566720091243,0
23,44,2,2,0.825,1,1.33075229274982,0
24,14,2,2,0.875,1,1.26901606547472,0
25,72,2,3,0.95,2,1.36469750730612,1
26,45,2,3,0.95,2,1.50620432184951,1
27,20,2,2,0.9,2,1.58976901273127,1
28,57,2,3,0.925,1,1.04205316366279,0
29,83,2,2,0.875,1,1.12637915274536,0
30,26,2,2,0.9,2,1.30031629999576,1
31,32,2,2,0.875,1,1.28198586728831,0
32,80,2,2,0.9,2,1.10343052184908,1
33,38,2,2,0.875,1,1.48978418365004,0
34,101,2,5,0.5,1,1.42990691274463,0
35,59,2,2,0.9,2,1.24032279998937,1
36,69,2,3,0.95,2,1.27897341092466,1
37,36,2,3,0.925,2,1.31233477820933,1
38,79,2,1,0.9,2,1.11494125274476,1
39,66,2,3,0.9,1,1.30368600910879,0
40,10,2,1,0.875,1,0.98981345455104,0
41,106,2,5,0.5,1,1.26430264000373,0
42,99,2,4,1.5,2,1.35759789636359,1
43,54,2,3,0.9,2,1.53447555455205,1
44,21,2,3,0.8,1,1.3179900109244,0
45,91,2,4,1.5,2,1.47327791641874,1
46,63,2,3,0.8,1,1.31244490000245,0
47,60,2,3,1.01,2,1.40700851274596,1
48,86,2,2,0.875,1,1.14884116547182,0
49,6,2,3,0.85,1,1.23078233819979,0
50,8,2,2,0.875,1,1.3259048218606,0
51,3,2,3,0.9,1,1.51155576728343,0
52,28,2,1,0.9,2,1.55506856547436,1
53,61,2,1,0.875,1,1.23861929457053,0
54,75,2,3,0.9,1,1.29623839455599,0
