PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,95,2,4,1.5,2,3.96999675792176,1
2,79,2,1,0.99,1,4.14401120005641,0
3,21,2,3,0.99,1,1.53402166988235,0
4,99,2,4,1.5,2,3.1357482947642,1
5,26,2,2,0.99,1,1.61279346316587,0
6,108,2,5,0.5,1,10.3867390064988,0
7,83,2,2,1.2,2,3.00158532371279,1
8,18,2,3,1.2,2,7.3742505434202,1
9,94,2,4,1.5,2,2.5384196236264,1
10,110,2,5,0.5,1,1.41132210660726,0
11,25,2,1,1.2,2,1.43431702896487,1
12,51,2,3,1.1,2,1.39505069993902,1
13,43,2,1,1.1,2,1.45211488031782,1
14,24,2,3,1.025,2,1.37176747492049,1
15,9,2,3,0.975,1,1.46032822364941,0
16,58,2,1,1.025,2,1.40581689996179,1
17,48,2,3,1.01,2,1.60144550004043,1
18,68,2,2,1.1,2,1.37591835530475,1
19,107,2,5,0.5,2,2.40448546980042,1
20,105,2,5,0.5,1,2.11071397247724,0
21,76,2,1,0.975,2,2.91217988950666,1
22,29,2,2,1.025,2,2.11630595789757,1
23,84,2,3,0.975,2,1.96836107759736,1
24,31,2,1,0.8,1,1.47200677765068,0
25,4,2,1,0.9,1,1.45548243820667,0
26,60,2,3,0.85,1,1.39614722633269,0
27,101,2,5,0.5,1,1.50779616052751,0
28,17,2,2,0.975,2,1.43975785793737,1
29,16,2,1,0.95,1,2.21055609732866,0
30,71,2,2,0.8,1,1.60022159991786,0
31,41,2,2,0.9,1,1.35502678959165,0
32,11,2,2,0.95,1,1.47564947896171,0
33,7,2,1,0.99,2,1.4038796974346,1
34,35,2,2,0.99,2,2.17921269999351,1
35,22,2,1,0.925,1,1.92197305522859,0
36,12,2,3,0.925,1,2.06998458295129,0
37,27,2,3,0.95,2,1.53301967238076,1
38,42,2,3,0.75,1,1.41786236327607,0
39,89,2,2,0.925,1,2.47363650659099,0
40,69,2,3,0.75,1,1.39127469214145,0
41,67,2,1,0.975,2,1.53453629219439,1
42,13,2,1,0.95,2,1.37471188965719,1
43,80,2,2,0.975,2,1.42378088948317,1
44,86,2,2,0.95,2,1.90140073152725,1
45,56,2,2,0.85,1,1.86200671177357,0
46,54,2,3,1.15,2,1.3164913749788,1
47,30,2,3,0.825,1,1.48020327766426,0
48,28,2,1,0.85,1,1.43398665008135,0
49,74,2,2,0.875,1,1.45072562375572,0
50,64,2,1,0.875,2,1.61052812368143,1
51,82,2,1,0.65,2,1.55114952370059,1
52,20,2,2,0.975,2,1.50069196056575,1
53,47,2,2,0.95,2,2.19124975265004,1
54,87,2,3,0.95,2,1.97748186578974,1
55,14,2,2,0.925,1,1.62031179224141,0
56,98,2,4,1.5,2,2.04875984077808,1
57,15,2,3,0.9,2,1.94066433166154,1
58,39,2,3,0.7,2,1.64230617240537,1
59,19,2,1,1.4,2,2.39917084085755,1
60,73,2,1,1.4,2,1.39536786323879,1
61,32,2,2,0.95,1,2.85698444081936,0
62,2,2,2,0.975,2,2.24614412360825,1
63,8,2,2,0.925,2,2.64269764081109,1
64,78,2,3,0.5,1,1.73861022107303,0
65,49,2,1,0.5,1,2.2900206039194,0
66,37,2,1,0.5,1,1.55632180394605,0
67,106,2,5,0.5,1,1.4665130894864,0
68,77,2,2,0.825,1,1.31153928022832,0
69,5,2,2,0.85,2,1.50442812254187,1
70,85,2,1,0.55,1,1.33476259221789,0
71,53,2,2,0.7,1,1.48066002363339,0
72,36,2,3,0.55,1,1.463846786879,0
73,23,2,2,0.7,1,1.53402398701292,0
74,52,2,1,0.6,1,2.2009456185624,0
75,1,2,1,0.65,1,1.7456752237631,0
76,46,2,1,1.2,2,2.41873432637658,1
77,6,2,3,1.25,2,1.46805360529106,1
78,40,2,1,0.75,1,1.78503214090597,0
79,72,2,3,0.6,1,1.48467506584711,0
80,57,2,3,0.65,1,1.51804961322341,0
81,70,2,1,0.8,1,1.3054703065427,0
82,96,2,4,1.5,2,2.12856895523146,1
83,62,2,2,1.125,2,1.36040170001797,1
84,33,2,3,1.175,2,1.35541000007652,1
85,102,2,5,0.5,1,1.42835010006092,0
86,93,2,4,1.5,2,2.15309889474884,1
87,65,2,2,0.8,1,1.62496474338695,0
88,50,2,2,0.825,1,1.41910384350922,0
89,45,2,3,0.75,1,1.39736042893492,0
90,103,2,5,0.5,1,1.30958909215406,0
91,88,2,1,0.875,1,1.36128710652702,0
92,90,2,3,0.875,1,1.3706086500315,0
93,109,2,5,0.5,1,1.3793851552764,0
94,38,2,2,1.025,2,2.11955654353369,1
95,81,2,3,0.9,1,1.70739984337706,0
96,34,2,1,0.925,2,1.8473467802396,1
97,10,2,1,1.1,2,1.51380785519723,1
98,91,2,4,1.5,2,1.41422800649889,1
99,3,2,3,1.075,2,1.38594734342769,1
100,100,2,4,1.5,2,1.36802262626588,1
101,59,2,2,0.925,1,2.67807719216216,0
102,63,2,3,0.85,1,1.47553177759983,0
103,104,2,5,0.5,1,1.33402084349655,0
104,97,2,4,1.5,2,1.35790392372292,1
105,61,2,1,0.8,1,1.41795406327583,0
106,92,2,4,1.5,2,1.98341796325985,1
107,44,2,2,0.925,1,1.49642042897176,0
108,75,2,3,0.95,2,1.84306669479702,1
109,66,2,3,0.925,1,1.43483815784566,0
110,55,2,1,0.825,1,1.42645993828774,0
111,171,1,1,0.99,1,2.10053215781227,0
112,170,1,3,0.99,2,1.02005762630142,1
113,145,1,2,0.99,2,1.5139902185183,1
114,161,1,3,0.75,1,1.32797383819707,0
115,134,1,3,0.9,1,1.2614790382795,0
116,202,1,4,1.5,2,1.58700139215216,1
117,127,1,2,0.75,1,1.495238723699,0
118,162,1,1,1.2,2,2.10227635782212,1
119,139,1,2,0.9,1,1.44163547502831,0
120,141,1,1,1.1,2,1.47341055783909,1
121,113,1,3,0.975,1,1.42706006055232,0
122,218,1,5,0.5,1,1.31599140004255,0
123,128,1,3,1.1,2,2.31097975792363,1
124,125,1,3,1.01,1,1.3056460210355,0
125,204,1,4,1.5,2,2.28089977509808,1
126,173,1,3,1.05,1,2.82036880659871,0
127,166,1,2,0.975,1,1.52283951453865,0
128,214,1,5,0.5,1,1.41126192640513,0
129,200,1,3,1.125,2,2.05307779216673,1
130,184,1,2,1.1,2,1.46801373828202,1
131,158,1,3,1.075,2,1.55698317242786,1
132,164,1,3,1.05,2,1.45153564354405,1
133,176,1,3,0.825,1,1.401421846007,0
134,188,1,3,1.175,2,1.56708708696533,1
135,149,1,3,1.025,1,1.89542664610781,0
136,182,1,3,1.025,2,3.02676049212459,1
137,120,1,1,1.025,1,1.70480018027592,0
138,189,1,1,1.05,2,2.77903687511571,1
139,131,1,3,0.8,1,1.37171500909608,0
140,191,1,3,1.2,2,2.79017810663208,1
141,119,1,3,0.875,1,2.90822650003247,0
142,206,1,4,1.5,2,2.03256335528567,1
143,123,1,1,1.01,1,1.77021987759508,0
144,132,1,1,1.05,1,2.03341769205872,0
145,213,1,5,0.5,1,1.40499282896053,0
146,117,1,1,1.075,2,2.02199607237708,1
147,143,1,3,1.15,2,1.36492075794376,1
148,179,1,3,0.99,1,1.70050300005823,0
149,129,1,1,1.05,2,1.97543950658292,1
150,126,1,1,0.99,1,2.61888639477547,0
151,187,1,2,1.01,1,1.31625240005087,0
152,124,1,2,1.05,2,2.66457065788563,1
153,207,1,4,1.5,2,1.62903189996723,1
154,140,1,3,1.05,2,1.98888386320323,1
155,190,1,2,1.01,1,1.83050925517455,0
156,121,1,2,1.075,2,2.01857514085714,1
157,142,1,2,1.025,1,1.77180918294471,0
158,209,1,4,1.5,2,1.91003020911012,1
159,163,1,2,1.05,1,2.2684294579085,0
160,216,1,5,0.5,1,1.69948265783023,0
161,146,1,3,1.01,1,1.68537960003596,0
162,152,1,3,1.01,1,1.36265419214033,0
163,205,1,4,1.5,2,2.0232890000334,1
164,186,1,1,1.025,1,2.42274610919412,0
165,155,1,3,1.05,2,1.96029111172538,1
166,220,1,5,0.5,1,1.62503744079731,0
167,181,1,2,1.175,2,1.89942726050504,1
168,175,1,2,1.15,2,1.93017491174396,1
169,174,1,1,1.05,2,1.73242634092458,1
170,217,1,5,0.5,1,1.72995023149997,0
171,165,1,1,1.05,2,1.8251034434652,1
172,135,1,1,1.025,2,2.11289249220863,1
173,198,1,1,0.975,1,1.77194826048799,0
174,210,1,4,1.5,2,1.88485511171166,1
175,157,1,2,1.125,2,1.84322768950369,1
176,219,1,5,0.5,1,1.64976199995726,0
177,111,1,1,1.01,1,1.76632102369331,0
178,193,1,2,1.05,2,2.86971206055023,1
179,215,1,5,0.5,1,1.59215117502026,0
180,194,1,3,1.025,2,1.85175282508135,1
181,177,1,1,1.05,2,2.83059949218296,1
182,199,1,2,1.025,1,1.66296770004556,0
183,180,1,1,1.025,2,3.6977809460368,1
184,212,1,5,0.5,1,1.687926409184,0
185,156,1,1,1.01,1,1.3515957237687,0
186,168,1,1,1.01,1,1.55686955526471,0
187,178,1,2,1.025,2,1.9620274117915,1
188,159,1,1,1.05,2,1.87186737498268,1
189,172,1,2,0.875,1,1.38468676328193,0
190,160,1,2,0.9,1,1.3842340381816,0
191,185,1,3,1.01,2,1.90338227245957,1
192,208,1,4,1.5,2,2.12832327757496,1
193,151,1,2,1.125,2,1.93304854095913,1
194,138,1,1,1.025,1,1.67370791453868,0
195,144,1,1,1.025,1,1.30704642110504,0
196,115,1,2,1.01,1,1.36246301175561,0
197,137,1,3,0.95,1,1.23275640001521,0
198,196,1,2,1.05,2,1.9391112116864,1
199,116,1,3,0.975,1,1.81101168016903,0
200,192,1,1,1.025,2,1.86568087234627,1
201,167,1,3,1.05,1,1.35069842892699,0
202,122,1,3,1.1,2,1.94615450396668,1
203,148,1,2,1.01,1,1.67735584604088,0
204,112,1,2,1.05,2,1.84561299218331,1
205,197,1,3,0.975,1,1.65250265528448,0
206,114,1,1,1.05,2,1.91849950002506,1
207,150,1,1,1.01,1,2.03548779478297,0
208,136,1,2,1.025,2,1.94190954614896,1
209,133,1,2,1.01,1,1.63817150390241,0
210,118,1,2,1.01,2,2.89013172895648,1
211,154,1,2,0.975,1,1.78091614344157,0
212,211,1,5,0.5,1,1.43899336329196,0
213,169,1,2,1.01,2,2.08248040918261,1
214,195,1,1,1.05,2,1.95552625786513,1
215,153,1,1,1.025,1,1.76542032638099,0
216,203,1,4,1.5,2,1.9905817117542,1
217,147,1,1,1.025,2,2.60848284082022,1
218,130,1,2,0.95,1,1.77276559220627,0
219,183,1,1,1.01,2,1.8662317750277,1
220,201,1,4,1.5,2,1.94410359219182,1
