PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,94,1,4,1.5,2,0.602000200015027,1
2,88,1,1,0.99,1,0.551911099988502,0
3,101,1,5,0.5,1,0.601697499980219,0
4,9,1,3,0.99,2,0.650690499984194,1
5,34,1,1,1.2,2,0.56869149999693,1
6,79,1,1,1.1,2,0.61821190000046,1
7,68,1,2,0.99,1,1.05157410004176,0
8,104,1,5,0.5,1,0.634345699974801,0
9,82,1,1,1.025,2,0.634322499972768,1
10,29,1,2,1.2,2,0.701156300026923,1
11,48,1,3,0.75,1,0.667677599994931,0
12,60,1,3,0.9,1,0.651277200027835,0
13,84,1,3,0.975,2,0.600982500007376,1
14,40,1,1,0.975,2,0.70217300002696,1
15,41,1,2,1.1,2,0.734600499970838,1
16,109,1,5,0.5,1,0.635102499974892,0
17,10,1,1,0.8,1,0.784792899969034,0
18,59,1,2,1.025,2,0.701544900017325,1
19,62,1,2,0.975,1,1.03440150001552,0
20,105,1,5,0.5,1,0.684249299985822,0
21,54,1,3,0.925,2,0.651093099964783,1
22,86,1,2,1.01,2,0.651669499988202,1
23,46,1,1,0.9,1,0.584582100040279,0
24,55,1,1,0.95,1,0.65108479995979,0
25,66,1,3,0.9,1,0.417472400004044,0
26,35,1,2,0.975,2,0.63400720001664,1
27,44,1,2,0.85,1,0.635036699997727,0
28,76,1,1,0.99,2,0.568218800006434,1
29,108,1,5,0.5,1,0.551001199986786,0
30,103,1,5,0.5,1,0.584266799967736,0
31,78,1,3,0.925,2,0.701022399996873,1
32,83,1,2,0.925,1,0.517801499983761,0
33,70,1,1,0.925,1,0.717982700036373,0
34,92,1,4,1.5,2,0.434157300041988,1
35,73,1,1,0.975,1,0.701645900029689,0
36,110,1,5,0.5,1,0.451579099986702,0
37,89,1,2,0.95,2,0.584597199980635,1
38,56,1,2,0.75,1,0.434288899996318,0
39,30,1,3,0.9,1,0.618639099993743,0
40,80,1,2,0.75,1,0.467683699971531,0
41,38,1,2,1.15,2,0.484512600000016,1
42,61,1,1,1.1,2,0.434148299973458,1
43,96,1,4,1.5,2,0.401529499969911,1
44,93,1,4,1.5,2,0.351305599964689,1
45,67,1,1,1.01,1,0.467745999980252,0
46,63,1,3,0.925,1,0.467534699942917,0
47,69,1,3,0.95,1,0.785372200014535,0
48,42,1,3,1.125,2,0.500981599965598,1
49,45,1,3,1.1,2,0.51874129998032,1
50,37,1,1,1.175,2,0.484340799972415,1
51,57,1,3,1.075,2,0.584208300046157,1
52,90,1,3,0.95,1,0.701401399972383,0
53,4,1,1,1.15,2,0.484349900041707,1
54,65,1,2,0.825,1,0.58442670002114,0
55,50,1,2,0.95,1,0.901594499999192,0
56,7,1,1,1.01,2,0.434779700008221,1
57,22,1,1,0.875,1,0.784752300009131,0
58,8,1,2,0.99,1,1.50140710000414,0
59,16,1,1,0.9,1,0.618029700010084,0
60,87,1,3,1.075,2,0.601109799987171,1
61,39,1,3,0.95,1,1.08437499997672,0
62,107,1,5,0.5,1,56.0426326000015,0
63,11,1,2,1.05,2,0.606874307559337,1
64,13,1,1,0.99,1,0.48450112802675,0
65,58,1,1,1.05,2,0.477177973196376,1
66,91,1,4,1.5,2,0.52620762801962,1
67,97,1,4,1.5,2,0.360381727979984,1
68,15,1,3,0.975,1,0.418790238851216,0
69,52,1,1,1.01,1,0.822362542035989,0
70,75,1,3,1.15,2,0.489416007592808,1
71,72,1,3,1.125,2,0.59957242483506,1
72,99,1,4,1.5,2,0.421699838829227,1
73,102,1,5,0.5,1,0.443648941989522,0
74,95,1,4,1.5,2,0.472866687225178,1
75,2,1,2,0.99,1,0.522604201221839,0
76,53,1,2,1.01,1,0.88999343116302,0
77,14,1,2,1.125,2,0.498414642002899,1
78,49,1,1,1.025,1,131.699488356011,0
79,43,1,1,1.125,2,0.551119324809406,1
80,25,1,1,1.075,2,0.586808242020197,1
81,17,1,2,1.025,2,0.613584707607515,1
