PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,31,2,1,0.99,2,1.33441100001801,1
2,13,2,1,0.75,1,0.718425999977626,0
3,97,2,4,1.5,1,0.701053800003137,0
4,99,2,4,1.5,1,0.751201699953526,0
5,11,2,2,0.99,1,0.951509399979841,0
6,3,2,3,0.99,2,1.25158829998691,1
7,38,2,2,1.2,2,0.717595599999186,1
8,96,2,4,1.5,2,0.634040399978403,1
9,58,2,1,0.9,2,0.78414999996312,1
10,23,2,2,1.1,2,0.701155599963386,1
11,45,2,3,0.75,1,0.717419199994765,0
12,98,2,4,1.5,2,0.734466099995188,1
13,92,2,4,1.5,2,0.784768899960909,1
14,82,2,1,0.825,2,0.852094999980181,1
15,83,2,2,1.025,2,0.934567300020717,1
16,70,2,1,0.8,2,0.70142900000792,1
17,14,2,2,0.975,2,0.701033500023186,1
18,29,2,2,0.8,2,0.617893800023012,1
19,79,2,1,0.75,2,0.684049100033008,1
20,33,2,3,0.9,2,1.08479749999242,1
21,32,2,2,0.7,2,0.567498900054488,1
22,9,2,3,0.825,2,0.734689800010528,1
23,106,2,5,0.5,2,0.634354200039525,1
24,48,2,3,0.8,2,0.684565300005488,1
25,8,2,2,0.6,2,0.617428599973209,1
26,61,2,1,0.65,2,0.617493199999444,1
27,78,2,3,0.75,2,0.701201000018045,1
28,46,2,1,0.6,2,0.750891799980309,1
29,2,2,2,0.55,2,0.55086159997154,1
30,103,2,5,0.5,2,0.734697699954268,1
31,87,2,3,0.65,2,0.851095699996222,1
32,86,2,2,0.55,2,0.66795109998202,1
33,68,2,2,0.55,2,0.667571300000418,1
34,67,2,1,0.55,1,0.551319599966519,0
35,104,2,5,0.5,1,0.484313599998131,0
36,5,2,2,0.55,1,0.851463600003626,0
37,107,2,5,0.5,1,0.467659400019329,0
38,47,2,2,0.6,1,0.434481600008439,0
39,56,2,2,1.025,2,0.651039999967907,1
40,94,2,4,1.5,2,0.385306900017895,1
41,75,2,3,0.6,1,0.48397910001222,0
42,26,2,2,0.975,2,0.550832799985074,1
43,59,2,2,0.9,2,1.45627920003608,1
44,21,2,3,0.65,1,0.667610200005583,0
45,74,2,2,0.825,1,0.751218500023242,0
46,22,2,1,0.6,1,0.734423200017773,0
47,80,2,2,1.175,2,0.717796899960376,1
48,53,2,2,1.15,2,0.718030899995938,1
49,91,2,4,1.5,2,0.568126746802591,1
50,28,2,1,0.875,1,0.884672999964096,0
51,36,2,3,0.7,2,0.601084299967624,1
52,37,2,1,1.15,2,1.10121350002009,1
53,63,2,3,0.9,1,0.86750100000063,0
54,89,2,2,1.1,2,0.500811500009149,1
55,17,2,2,1.075,2,0.681214199983515,1
56,50,2,2,1.025,2,0.634750099969096,1
57,71,2,2,0.975,2,0.918274199997541,1
58,35,2,2,0.9,1,0.801473300030921,0
59,57,2,3,1.15,2,0.601556699955836,1
60,108,2,5,0.5,1,0.501027499965858,0
61,6,2,3,1.125,2,0.684648299997207,1
62,52,2,1,1.125,2,0.617902799975127,1
63,69,2,3,1.075,2,0.734427400049753,1
64,30,2,3,1.05,2,0.551095300004818,1
65,7,2,1,1.1,2,0.573811000038404,1
66,41,2,2,1.15,2,0.668209799972828,1
67,76,2,1,1.05,2,0.818081900011748,1
68,42,2,3,1.01,2,0.735108000051696,1
69,54,2,3,0.55,1,0.651257800054736,0
70,24,2,3,0.7,1,0.484400000015739,0
71,90,2,3,1.025,2,0.601909100019839,1
72,64,2,1,1.01,2,0.650887300027534,1
73,40,2,1,0.65,1,0.58414960000664,0
74,109,2,5,0.5,1,0.600887199980207,0
75,85,2,1,1.05,2,0.768903199990746,1
76,1,2,1,1.025,2,0.668052699998952,1
77,39,2,3,0.5,1,0.468252999999095,0
78,81,2,3,0.5,1,0.684851999976672,0
79,55,2,1,0.5,1,0.70076269999845,0
80,60,2,3,0.55,1,0.734303600038402,0
81,73,2,1,0.5,1,0.501365499978419,0
82,84,2,3,0.75,1,0.767615800024942,0
83,66,2,3,0.9,1,0.734935700020287,0
84,27,2,3,1.1,2,0.517246299947146,1
85,95,2,4,1.5,2,0.618042999994941,1
86,19,2,1,0.7,1,0.667979200021364,0
87,20,2,2,1.125,2,0.684854099992663,1
88,77,2,2,1.1,2,0.568035700009204,1
89,72,2,3,0.5,1,0.651295299991034,0
90,4,2,1,0.5,1,0.601358800020535,0
91,101,2,5,0.5,1,0.750787299999502,0
92,49,2,1,0.7,1,0.734197678684723,0
93,10,2,1,0.7,1,0.684808799996972,0
94,43,2,1,0.75,1,0.618009799974971,0
95,25,2,1,0.8,1,0.817830200016033,0
96,15,2,3,1.025,2,0.717720200016629,1
97,65,2,2,1.05,2,0.634354900044855,1
98,12,2,3,0.55,1,0.551026300003286,0
99,102,2,5,0.5,1,0.61815920000663,0
100,110,2,5,0.5,1,0.684206300007645,0
101,34,2,1,0.99,2,0.634135400003288,1
102,18,2,3,0.9,1,0.984823600039817,0
103,44,2,2,1.01,2,0.517239600012545,1
104,16,2,1,0.65,1,0.617652199987788,0
105,62,2,2,0.975,2,0.6345469999942,1
106,51,2,3,1.075,2,0.950750200019684,1
107,100,2,4,1.5,2,0.534237800049596,1
108,105,2,5,0.5,1,0.701266599993687,0
109,93,2,4,1.5,2,0.534265800029971,1
110,88,2,1,0.875,1,0.917311797849834,0
111,131,1,3,0.99,2,0.777254800021183,1
112,148,1,2,0.99,2,0.644357200013474,1
113,182,1,3,0.75,1,0.534378100011963,0
114,117,1,1,0.99,2,0.701241499977186,1
115,142,1,2,0.75,1,0.550720348895993,0
116,214,1,5,0.5,1,0.767895099997986,0
117,147,1,1,0.75,1,0.701285400020424,0
118,146,1,3,0.9,2,1.38509039999917,1
119,216,1,5,0.5,1,0.684671199996956,0
120,134,1,3,0.825,1,0.75150339998072,0
121,168,1,1,0.9,1,1.45127429999411,0
122,195,1,1,0.975,2,1.55168309999863,1
123,174,1,1,0.925,2,0.890387599996757,1
124,162,1,1,0.9,2,0.385681899962947,1
125,125,1,3,0.875,2,1.0181362000294,1
126,144,1,1,0.85,1,1.11780479998561,0
127,136,1,2,0.9,2,0.91080630000215,1
128,130,1,2,0.825,1,0.684248700039461,0
129,157,1,2,0.875,2,1.11377709999215,1
130,126,1,1,0.875,1,0.58460650005145,0
131,205,1,4,1.5,2,0.755372799991164,1
132,184,1,2,0.85,1,0.567378100007772,0
133,120,1,1,0.925,1,0.86891459999606,0
134,123,1,1,1.1,2,0.868205399950966,1
135,164,1,3,0.85,1,0.568077399977483,0
136,114,1,1,1.075,2,0.884592612739652,1
137,207,1,4,1.5,2,0.751466799993068,1
138,173,1,3,0.875,1,0.584398299979512,0
139,163,1,2,0.875,1,0.667551800026558,0
140,133,1,2,0.925,2,1.00416960002622,1
141,152,1,3,0.925,2,1.06791429995792,1
142,208,1,4,1.5,2,0.700785000051837,1
143,140,1,3,0.9,1,0.567242506251205,0
144,153,1,1,0.8,1,0.752203100011684,0
145,203,1,4,1.5,2,0.584051797864959,1
146,161,1,3,1.075,2,0.638724497810472,1
147,145,1,2,0.9,1,0.716496161650866,0
148,178,1,2,1.075,2,0.721364857337903,1
149,180,1,1,0.95,1,0.814298057346605,0
150,122,1,3,1.05,2,0.855496825475711,1
151,113,1,3,1.025,2,0.848798982973676,1
152,129,1,1,1.1,2,0.784563576569781,1
153,166,1,2,1.05,2,0.745099791442044,1
154,204,1,4,1.5,2,0.737906244583428,1
155,189,1,1,0.95,1,0.732192080817185,0
156,143,1,3,0.8,1,0.729454700020142,0
157,151,1,2,1.025,2,0.859016391390469,1
158,159,1,1,1.05,2,0.692271031904966,1
159,185,1,3,0.9,1,0.789798042445909,0
160,128,1,3,0.95,2,0.751987193536479,1
161,132,1,1,0.95,2,0.930979297845624,1
162,150,1,1,0.75,1,0.661291046766564,0
163,138,1,1,1.075,2,0.851372961653396,1
164,112,1,2,0.8,1,0.597936448873952,0
165,211,1,5,0.5,1,0.718368600006215,0
166,167,1,3,0.9,2,0.741327499970794,1
167,118,1,2,0.9,1,0.48954272759147,0
168,139,1,2,0.95,1,0.627462393546011,0
169,135,1,1,0.825,1,0.586794274393469,0
170,199,1,2,1.15,2,0.571301180811133,1
171,198,1,1,0.925,1,0.700925912708044,0
172,219,1,5,0.5,1,0.726641397865023,0
173,190,1,2,1.125,2,0.519746625446714,1
174,177,1,1,0.925,2,0.849230210587848,1
175,119,1,3,0.8,1,0.652739325421862,0
176,218,1,5,0.5,1,0.694623944640625,0
177,171,1,1,1.05,2,0.722703712701332,1
178,202,1,4,1.5,2,0.64774066163227,1
179,186,1,1,0.85,1,0.739522297866642,0
180,179,1,3,0.875,1,0.769995961687528,0
