PresOrder,TrialNumber,Background,StairNum,CurrSize,Response,ReactionTIme,Stair_Update
1,86,2,2,0.99,1,2.95960841863416,0
2,57,2,3,0.99,1,1.49126412230544,0
3,35,2,2,1.2,2,1.31357303960249,1
4,47,2,2,1.1,2,1.35047542816028,1
5,108,2,5,0.5,1,1.27469692798331,0
6,49,2,1,0.99,2,1.27689168835059,1
7,48,2,3,1.2,2,1.24673166172579,1
8,59,2,2,1.025,2,1.43310207338072,1
9,24,2,3,1.1,2,1.39887940697372,1
10,25,2,1,0.75,1,1.21701661287807,0
11,31,2,1,0.9,1,2.22967236768454,0
12,80,2,2,0.975,1,1.5275607034564,0
13,1,2,1,0.975,2,1.46398940333165,1
14,70,2,1,0.925,1,1.28338217688724,0
15,110,2,5,0.5,1,1.38686520722695,0
16,36,2,3,1.025,2,1.18955853721127,1
17,7,2,1,0.95,2,1.20989401056431,1
18,12,2,3,0.975,2,1.31316725257784,1
19,81,2,3,0.8,1,1.0305617430713,0
20,17,2,2,1.01,2,1.15113108279184,1
21,99,2,4,1.5,2,1.20089044305496,1
22,39,2,3,0.9,1,2.06344562792219,0
23,27,2,3,0.95,1,2.61852053157054,0
24,18,2,3,0.99,2,1.38259828253649,1
25,41,2,2,0.975,1,1.2659892430529,0
26,104,2,5,0.5,1,1.10735486773774,0
27,69,2,3,0.925,2,1.60151808266528,1
28,37,2,1,0.925,2,1.65656118257903,1
29,54,2,3,0.7,1,0.987740531563759,0
30,28,2,1,0.875,1,1.05030931276269,0
31,109,2,5,0.5,1,1.06253699213266,0
32,10,2,1,0.925,2,0.987170727923512,1
33,9,2,3,0.75,1,1.55444486741908,0
34,26,2,2,0.99,2,1.10201499774121,1
35,74,2,2,0.95,2,1.92013106774539,1
36,46,2,1,0.9,1,1.14363890723325,0
37,103,2,5,0.5,1,1.45178089779802,0
38,19,2,1,0.95,2,1.40156160341576,1
39,82,2,1,0.925,1,1.28756973380223,0
40,43,2,1,0.975,2,1.23289988259785,1
41,92,2,4,1.5,2,1.0989089733921,1
42,98,2,4,1.5,2,1.87701798835769,1
43,76,2,1,0.9,1,1.50369624304585,0
44,56,2,2,0.75,1,1.67678936757147,0
45,22,2,1,0.95,2,1.23445904324763,1
46,72,2,3,1.15,2,1.25694105983712,1
47,44,2,2,0.8,1,1.26142225251533,0
48,38,2,2,0.825,1,1.32798340008594,0
49,40,2,1,0.925,1,1.24850269989111,0
50,93,2,4,1.5,2,1.18445769767277,1
51,102,2,5,0.5,1,1.03806550707668,0
52,96,2,4,1.5,2,1.58375906199217,1
53,11,2,2,1.15,2,1.13339180359617,1
54,101,2,5,0.5,1,0.987628497648984,0
55,51,2,3,0.925,1,1.64257737318985,0
56,60,2,3,1.125,2,1.20309289777651,1
57,78,2,3,0.95,1,1.10023105260916,0
58,6,2,3,0.975,2,3.86968880705535,1
