PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
1,13,1,1,1,1,0.99,2,2.46709020200001,1
2,38,1,2,1,2,0.99,1,1.30116532099987,0
3,24,1,2,1,2,1.2,2,18.2811023490001,1
4,67,1,3,1,1,1.5,2,1.01326789399991,1
5,68,1,3,1,2,1.5,2,1.47597059500004,1
6,75,1,4,1,1,0.5,1,1.011552381,0
7,41,1,1,1,1,0.75,1,1.05110547300001,0
8,57,1,1,1,1,0.9,1,1.12949109199985,0
9,61,1,3,1,1,1.5,2,1.30243017999987,1
10,22,1,2,1,2,1.1,2,1.46014237899999,1
11,74,1,4,1,2,0.5,1,1.24310405999995,0
12,60,1,2,1,2,1.025,1,1.09175630299978,0
13,71,1,4,1,1,0.5,1,1.53111092599988,0
14,53,1,1,1,1,0.975,1,1.3490155720001,0
15,23,1,1,1,1,1.1,1,1.25231541900007,0
16,12,1,2,1,2,1.05,1,1.49511825000013,0
17,33,1,1,1,1,1.25,2,1.25257937800006,1
18,34,1,2,1,2,1.075,1,1.332834779,0
19,8,1,2,1,2,1.1,1,1.20792473699998,0
20,31,1,1,1,1,1.15,2,1.14555656899984,1
21,10,1,2,1,2,1.15,1,1.23116069599996,0
22,80,1,4,1,2,0.5,1,1.15109289599991,0
23,49,1,1,1,1,1.1,2,1.09014734099992,1
24,1,1,1,1,1,1.01,2,1.34435290299984,1
25,44,1,2,1,2,1.2,1,1.61462269200001,0
26,36,1,2,1,2,1.3,2,1.22934329399982,1
27,77,1,4,1,1,0.5,1,1.171707922,0
28,4,1,2,1,2,1.25,2,1.15127010899982,1
29,3,1,1,1,1,0.95,1,1.31463682000003,0
30,62,1,3,1,2,1.5,2,1.34373925800014,1
31,27,1,1,1,1,1.01,1,1.33847207899998,0
32,16,1,2,1,2,1.175,2,1.28711188500006,1
33,21,1,1,1,1,1.3,2,1.12551053700008,1
34,43,1,1,1,1,0.75,1,1.21783588200014,0
35,54,1,2,1,2,0.95,1,1.06065361099991,0
36,72,1,4,1,2,0.5,1,1.31013401399991,0
37,64,1,3,1,2,1.5,2,1.23846455900002,1
38,70,1,3,1,2,1.5,2,1.30507064299991,1
39,47,1,1,1,1,1.25,2,1.15783698299992,1
40,32,1,2,1,2,1.3,2,3.06383981599993,1
41,17,1,1,1,1,1.025,1,1.47051996100004,0
42,69,1,3,1,1,1.5,2,1.02022902700014,1
43,11,1,1,1,1,1.3,2,1.09318328500012,1
44,42,1,2,1,2,1.175,2,1.09133564400008,1
45,5,1,1,1,1,0.85,1,1.11427069000001,0
46,19,1,1,1,1,1.075,2,1.05676801599998,1
47,40,1,2,1,2,1.15,2,1.40172671599998,1
48,39,1,1,1,1,0.875,1,1.22691716700001,0
49,45,1,1,1,1,1.05,1,1.01127370000017,0
50,58,1,2,1,2,0.95,1,1.65556861300001,0
51,9,1,1,1,1,1.175,2,1.03841839899997,1
52,7,1,1,1,1,1.05,1,1.88023189299997,0
53,55,1,1,1,1,1.075,1,1.3738990710001,0
54,50,1,2,1,2,1.125,1,1.29548599000009,0
55,73,1,4,1,1,0.5,1,1.06030548900003,0
56,78,1,4,1,2,0.5,1,1.10204379399988,0
57,15,1,1,1,1,1.2,2,1.20415680300016,1
58,2,1,2,1,2,1.25,2,1.11750087900009,1
59,28,1,2,1,2,1.125,2,1.10105443499992,1
60,63,1,3,1,1,1.5,2,1.02700911499983,1
61,25,1,1,1,1,1.1,1,1.18203459599999,0
62,48,1,2,1,2,0.975,1,1.2569912240001,0
63,76,1,4,1,2,0.5,1,1.04696240099997,0
64,79,1,4,1,1,0.5,1,1.07256808800003,0
65,46,1,2,1,2,1.25,2,1.07733328399991,1
66,37,1,1,1,1,1.125,2,1.16424835499993,1
67,65,1,3,1,1,1.5,2,1.08759815500002,1
68,52,1,2,1,2,1.05,1,1.17427797100004,0
69,30,1,2,1,2,1.125,1,1.25062962999982,0
70,18,1,2,1,2,1.175,2,1.28314020199991,1
71,14,1,2,1,2,1.15,1,1.22950808900009,0
72,26,1,2,1,2,1.125,1,1.62144861100001,0
73,6,1,2,1,2,1.175,1,1.26397931999986,0
74,51,1,1,1,1,1.075,1,1.30930881399991,0
75,35,1,1,1,1,1.075,2,1.27467192600011,1
76,20,1,2,1,2,1.25,2,1.46520439200003,1
77,66,1,3,1,2,1.5,2,1.50475507900001,1
78,56,1,2,1,2,1.25,1,1.07787535000011,0
79,29,1,1,1,1,1.2,1,1.10875405399997,0
80,59,1,1,1,1,1.35,2,1.55573178100008,1
81,150,2,3,2,2,1.5,2,2.2091392750001,1
82,94,2,2,2,2,0.99,1,1.08044476199984,0
83,124,2,2,2,2,1.2,2,1.02120970200008,1
84,118,2,2,2,2,1.1,1,1.14517465200015,0
85,87,2,1,2,1,0.99,1,1.18941102400004,0
86,95,2,1,2,1,1.2,1,13.2005203689998,0
87,106,2,2,2,2,1.15,2,1.29480833299999,1
88,134,2,2,2,2,1.125,2,1.13238672000011,1
89,82,2,2,2,2,1.1,2,1.02002861400001,1
90,158,2,4,2,2,0.5,1,1.01999345700006,0
91,153,2,4,2,1,0.5,1,1.019627571,0
92,83,2,1,2,1,1.35,2,1.42961427900013,1
93,104,2,2,2,2,1.025,1,1.609143421,0
94,89,2,1,2,1,1.25,2,1.013907539,1
95,88,2,2,2,2,1.075,2,1.16378551599996,1
96,132,2,2,2,2,1.05,2,1.53535245300009,1
97,119,2,1,2,1,1.2,2,1.00919898099983,1
98,123,2,1,2,1,1.1,2,1.10009748899984,1
99,130,2,2,2,2,1.01,1,1.40301585399993,0
100,108,2,2,2,2,1.01,1,1.21089392999988,0
101,133,2,1,2,1,1.025,2,1.31567173500002,1
102,116,2,2,2,2,1.05,1,1.16231629000004,0
103,93,2,1,2,1,0.925,1,1.40642816500008,0
104,85,2,1,2,1,0.975,2,1.38432026200007,1
105,109,2,1,2,1,0.75,1,1.35568897799999,0
106,152,2,4,2,2,0.5,1,1.32091029100002,0
107,128,2,2,2,2,0.95,1,1.24622178100003,0
108,141,2,3,2,1,1.5,2,1.73515907399997,1
109,103,2,1,2,1,0.8,1,1.31291032299987,0
110,135,2,1,2,1,0.975,2,1.43040389199996,1
111,143,2,3,2,1,1.5,2,1.48705883800017,1
112,97,2,1,2,1,0.875,1,1.34825079500001,0
113,112,2,2,2,2,1.075,2,1.29053747900002,1
114,86,2,2,2,2,1.05,1,1.20846655100013,0
115,159,2,4,2,1,0.5,2,3.37293124500002,1
116,101,2,1,2,1,0.95,2,1.39320159199997,1
117,98,2,2,2,2,1.075,2,1.32214451100003,1
118,113,2,1,2,1,0.9,2,1.00797242399995,1
119,155,2,4,2,1,0.5,1,1.48022987500008,0
120,102,2,2,2,2,1.05,1,1.32540083599997,0
121,157,2,4,2,1,0.5,1,1.11383219200002,0
122,140,2,2,2,2,1.075,2,1.45573331299988,1
123,100,2,2,2,2,1.05,2,1.2563077289999,1
124,139,2,1,2,1,0.6,1,1.16122980599994,0
125,91,2,1,2,1,0.65,1,1.20585225500008,0
126,121,2,1,2,1,1.175,2,1.1439594909998,1
127,151,2,4,2,1,0.5,1,1.19791407499997,0
128,99,2,1,2,1,0.7,1,1.12757114400006,0
129,115,2,1,2,1,0.9,1,1.0675253039999,0
130,90,2,2,2,2,1.025,1,1.05902517499999,0
131,122,2,2,2,2,1.075,2,1.37039834200004,1
132,147,2,3,2,1,1.5,2,1.19838102600011,1
133,126,2,2,2,2,1.075,2,1.51908430199978,1
134,84,2,2,2,2,1.05,2,1.32342888799985,1
135,144,2,3,2,2,1.5,2,1.31390511699988,1
136,137,2,1,2,1,1.05,1,1.54807153100001,0
137,142,2,3,2,2,1.5,2,1.06871157599994,1
138,149,2,3,2,1,1.5,2,1.15808532699998,1
139,160,2,4,2,2,0.5,1,1.29797550400008,0
140,145,2,3,2,1,1.5,2,1.07910299700006,1
141,114,2,2,2,2,1.025,2,1.00802339899997,1
142,148,2,3,2,2,1.5,2,1.02276955699995,1
143,110,2,2,2,2,0.95,1,1.15851547700004,0
144,120,2,2,2,2,0.975,2,1.11549701100012,1
145,129,2,1,2,1,1.35,2,1.08894772500003,1
146,107,2,1,2,1,1.3,2,1.33632232800005,1
147,125,2,1,2,1,0.65,1,1.40487333200008,0
148,154,2,4,2,2,0.5,1,1.12701871100012,0
149,92,2,2,2,2,0.85,1,1.06278699900008,0
150,117,2,1,2,1,1.2,2,1.239866699,1
151,136,2,2,2,2,0.875,1,1.10976618999985,0
152,127,2,1,2,1,0.75,1,1.00913143599996,0
153,111,2,1,2,1,1.075,2,1.17345871199996,1
154,131,2,1,2,1,0.975,1,1.09610880699984,0
155,105,2,1,2,1,1.175,2,1.09467163799991,1
156,96,2,2,2,2,0.9,1,1.05952238899999,0
157,138,2,2,2,2,0.925,1,1.02085479900006,0
158,156,2,4,2,2,0.5,1,1.01838109599998,0
159,146,2,3,2,2,1.5,2,1.15941279899994,1
160,81,2,1,2,1,1.125,2,1.01477399000009,1
161,194,1,2,3,2,0.99,1,1.86183696800003,0
162,207,1,1,3,1,0.99,1,1.23416387999987,0
163,230,1,3,3,2,1.5,2,1.04964979300007,1
164,188,1,2,3,2,1.2,1,1.90433597000015,0
165,168,1,2,3,2,1.35,2,1.76607805399999,1
166,162,1,2,3,2,1.25,2,1.545594919,1
167,176,1,2,3,2,1.2,1,1.18315438000013,0
168,189,1,1,3,1,1.2,2,1.26978026799998,1
169,192,1,2,3,2,1.25,2,1.23461390600005,1
170,204,1,2,3,2,1.2,1,1.124095571,0
171,201,1,1,3,1,1.1,2,1.36040000899993,1
172,169,1,1,3,1,1.025,1,1.0081078369999,0
173,180,1,2,3,2,1.25,2,1.26066046999995,1
174,223,1,3,3,1,1.5,2,1.07750741199993,1
175,225,1,3,3,1,1.5,2,1.27414047800016,1
176,227,1,3,3,1,1.5,2,1.37064957500002,1
177,215,1,1,3,1,1.05,2,1.44521703500004,1
178,171,1,1,3,1,1.01,1,1.27373139899987,0
179,206,1,2,3,2,1.2,1,1.21522095,0
180,179,1,1,3,1,1.05,1,1.62730265599998,0
181,193,1,1,3,1,1.075,2,1.58727695100015,1
182,178,1,2,3,2,1.25,2,1.20594673899996,1
183,210,1,2,3,2,1.2,1,1.39667311699986,0
184,172,1,2,3,2,1.25,2,1.30439836899995,1
185,234,1,4,3,2,0.5,1,1.30054526799995,0
186,163,1,1,3,1,1.05,2,1.64148978899993,1
187,165,1,1,3,1,0.99,1,1.29207979800003,0
188,167,1,1,3,1,1.025,2,1.86676928399993,1
189,236,1,4,3,2,0.5,1,1.28317351100009,0
190,213,1,1,3,1,0.925,1,1.34634461000019,0
191,220,1,2,3,2,1.2,2,1.29638638500001,1
192,197,1,1,3,1,0.95,1,1.40512423900009,0
193,216,1,2,3,2,1.2,1,1.26127613900007,0
