PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
1,69,2,3,1,1,1.5,2,3.5407024849992,1
2,7,2,1,1,1,0.99,2,1.34808061499643,1
3,64,2,3,1,2,1.5,2,1.04777095500322,1
4,11,2,1,1,1,0.75,2,2.72049925100146,1
5,41,2,1,1,1,0.65,1,1.26391384900489,0
6,9,2,1,1,1,0.7,1,1.10444436800026,0
7,67,2,3,1,1,1.5,2,1.01214944999811,1
8,47,2,1,1,1,0.75,1,1.2399889560038,0
9,63,2,3,1,1,1.5,2,1.25640135599679,1
10,15,2,1,1,1,0.875,1,1.18255739300366,0
11,35,2,1,1,1,0.975,1,1.35135119400366,0
12,74,2,4,1,2,0.5,1,1.24421965100191,0
13,3,2,1,1,1,1.125,2,1.02779991699936,1
14,78,2,4,1,2,0.5,1,1.15689379299874,0
15,14,2,2,1,2,0.99,2,1.2973910590008,1
16,75,2,4,1,1,0.5,1,1.0214276810002,0
17,24,2,2,1,2,0.75,1,1.19085463100055,0
18,18,2,2,1,2,0.9,1,1.48077544799889,0
19,33,2,1,1,1,1.01,2,1.09402526900521,1
20,44,2,2,1,2,0.975,2,1.2926905830027,1
21,34,2,2,1,2,0.925,1,1.06708353300201,0
22,80,2,4,1,2,0.5,1,1.04280472900427,0
23,68,2,3,1,2,1.5,2,1.08275685200351,1
24,52,2,2,1,2,0.95,1,1.1672701819989,0
25,50,2,2,1,2,0.975,1,1.20948300800228,0
26,25,2,1,1,1,0.95,1,1.14871349700115,0
27,48,2,2,1,2,1.05,1,1.10634406000463,0
28,1,2,1,1,1,1.01,2,1.16109784199944,1
29,21,2,1,1,1,0.975,2,1.10872498400568,1
30,36,2,2,1,2,1.25,2,1.75628817600227,1
31,61,2,3,1,1,1.5,2,1.2960111939974,1
32,58,2,2,1,2,1.15,2,1.31704379000439,1
33,79,2,4,1,1,0.5,1,1.25051231899852,0
34,65,2,3,1,1,1.5,2,1.05738149800163,1
35,6,2,2,1,2,1.1,2,1.33637832100067,1
36,71,2,4,1,1,0.5,1,1.06886198600114,0
37,29,2,1,1,1,0.925,1,1.28291426299984,0
38,72,2,4,1,2,0.5,1,1.24278360899916,0
39,4,2,2,1,2,1.05,2,1.2036491100007,1
