PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
1,104,2,1,2,2,1,1,NaN
2,90,1,1,2,1,1,1,NaN
3,56,1,1,1,1,1,1,NaN
4,8,1,2,2,1,1,1,NaN
5,28,1,1,1,1,1,1,NaN
6,79,1,2,1,1,1,1,NaN
7,51,1,1,1,1,1,1,NaN
8,54,1,2,2,1,1,1,NaN
9,19,2,2,2,2,2,1,0.52436969035216
10,61,2,1,2,2,1,1,NaN
11,94,1,1,2,1,1,1,NaN
12,67,2,2,1,2,2,0,NaN
13,10,1,1,2,1,1,1,NaN
14,39,1,1,1,1,1,1,NaN
15,18,1,1,2,1,2,0,NaN
16,98,1,1,1,1,1,1,NaN
17,35,1,1,2,1,1,1,NaN
18,21,2,1,2,2,1,1,NaN
19,96,1,2,1,1,1,1,NaN
20,88,1,2,2,1,1,1,NaN
21,5,1,1,1,1,1,1,NaN
22,40,2,1,2,2,1,1,NaN
23,82,2,1,1,2,1,1,NaN
24,101,1,2,1,1,1,1,NaN
25,32,1,2,2,1,1,1,NaN
26,15,2,1,1,2,1,1,NaN
27,63,2,2,2,2,1,1,NaN
28,46,2,2,2,2,1,1,NaN
29,48,2,1,1,2,1,1,NaN
30,36,2,1,1,2,1,1,NaN
31,100,2,1,2,2,2,0,NaN
32,45,1,2,1,1,1,1,NaN
33,102,2,2,1,2,1,1,NaN
34,97,2,2,2,2,1,1,NaN
35,92,1,2,1,1,1,1,NaN
36,72,2,2,1,2,1,1,NaN
37,55,2,2,2,2,1,1,NaN
38,62,1,2,2,1,1,1,NaN
39,80,2,2,2,2,1,1,NaN
40,25,2,1,2,2,1,1,NaN
41,49,1,2,1,1,1,1,NaN
42,65,2,1,2,2,1,1,NaN
43,53,2,1,1,2,1,1,NaN
44,9,2,2,1,2,1,1,NaN
45,52,1,1,1,1,2,0,NaN
46,59,2,2,2,2,1,1,NaN
47,43,1,1,1,1,1,1,NaN
48,89,2,2,2,2,1,1,NaN
49,83,1,2,2,1,1,1,NaN
50,24,1,1,2,1,1,1,NaN
51,73,1,1,2,1,1,1,NaN
52,81,1,1,1,1,1,1,NaN
53,17,2,2,1,2,1,1,NaN
54,95,2,1,1,2,1,1,NaN
55,30,2,1,1,2,2,0,NaN
56,29,2,1,2,2,1,1,NaN
57,66,1,2,1,1,1,1,NaN
58,85,1,1,1,1,1,1,NaN
59,57,2,1,2,2,1,1,NaN
60,69,1,1,2,1,1,1,NaN
61,60,1,1,1,1,1,1,NaN
