PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
1,22,1,1,1,1,1,1,NaN
2,54,1,1,2,1,1,1,NaN
3,18,1,1,2,1,1,1,NaN
4,98,1,1,1,1,1,1,NaN
5,17,2,2,1,2,1,1,NaN
6,91,2,1,2,2,1,1,NaN
7,14,1,1,1,1,1,1,NaN
8,104,2,1,1,2,1,1,NaN
9,107,1,1,1,1,1,1,NaN
10,58,1,1,2,1,1,1,NaN
11,97,2,2,1,2,1,1,NaN
12,1,1,1,1,1,1,1,NaN
13,12,1,2,1,1,1,1,NaN
14,93,2,2,1,2,1,1,NaN
15,53,2,2,1,2,1,1,NaN
16,23,2,1,2,2,1,1,NaN
17,99,2,1,1,2,1,1,NaN
18,20,1,2,1,1,1,1,NaN
19,5,2,2,2,2,1,1,NaN
20,15,2,1,1,2,1,1,NaN
21,76,1,2,2,1,1,1,NaN
22,68,2,2,2,2,1,1,NaN
23,55,2,1,2,2,1,1,NaN
24,24,1,2,1,1,2,1,0.682973218406005
25,8,1,2,2,1,1,1,NaN
26,90,1,1,2,1,1,1,NaN
27,106,2,2,1,2,1,1,NaN
28,48,1,2,2,1,1,1,NaN
29,33,1,1,1,1,1,1,NaN
30,31,1,2,2,1,1,1,NaN
31,3,1,2,2,1,1,1,NaN
32,67,2,1,1,2,2,1,0.431951199454488
33,80,1,2,2,1,1,1,NaN
34,65,2,1,2,2,1,1,NaN
35,21,2,2,1,2,1,1,NaN
36,66,1,2,2,1,1,1,NaN
37,69,1,1,2,1,1,1,NaN
38,2,2,1,2,2,1,1,NaN
39,100,1,2,1,1,1,1,NaN
40,94,1,1,1,1,1,1,NaN
41,39,1,2,2,1,1,1,NaN
42,73,2,2,2,2,1,1,NaN
43,60,2,2,2,2,2,1,0.468090093944738
44,37,1,1,1,1,1,1,NaN
45,56,1,2,2,1,1,1,NaN
46,79,2,1,1,2,1,1,NaN
47,63,2,2,2,2,1,1,NaN
48,7,2,1,1,2,1,1,NaN
49,50,1,1,2,1,1,1,NaN
50,62,1,2,2,1,1,1,NaN
51,86,1,1,1,1,1,1,NaN
52,59,1,1,2,1,2,1,0.45105824944676
53,88,1,2,1,1,1,1,NaN
54,9,2,2,1,2,1,1,NaN
55,49,2,2,2,2,1,1,NaN
56,83,2,1,2,2,1,1,NaN
57,64,1,1,2,1,1,1,NaN
58,78,1,1,2,1,1,1,NaN
59,101,2,2,2,2,1,1,NaN
60,6,1,1,2,1,1,1,NaN
61,19,2,1,1,2,1,1,NaN
62,75,2,1,1,2,1,1,NaN
63,13,2,2,2,2,1,1,NaN
64,70,2,1,1,2,1,1,NaN
65,74,1,1,2,1,1,1,NaN
66,10,1,1,2,1,1,1,NaN
67,29,1,1,2,1,1,1,NaN
68,52,1,2,2,1,1,1,NaN
69,36,2,2,2,2,1,1,NaN
70,42,1,1,1,1,2,1,0.490780977877876
71,34,2,1,2,2,1,1,NaN
72,89,2,2,1,2,1,1,NaN
73,84,1,2,1,1,1,1,NaN
74,26,1,2,2,1,2,1,0.692786765977871
75,44,1,2,1,1,1,1,NaN
76,102,1,1,2,1,2,1,0.386892813630766
