PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
1,29,1,1,2,1,1,1,NaN
2,60,1,2,1,1,1,1,NaN
3,72,2,1,1,2,1,1,NaN
4,66,1,2,2,1,2,1,0.548751675800304
5,101,1,2,2,1,1,1,NaN
6,10,1,2,1,1,1,1,NaN
7,26,1,1,1,1,2,1,0.66615452465885
8,48,2,2,1,2,1,1,NaN
9,35,2,1,1,2,2,1,0.612664364662123
10,96,2,1,1,2,1,1,NaN
11,23,2,2,2,2,1,1,NaN
12,103,1,1,2,1,1,1,NaN
13,82,2,2,2,2,1,1,NaN
14,98,2,2,1,2,1,1,NaN
15,45,1,1,2,1,1,1,NaN
16,97,1,2,1,1,1,1,NaN
17,7,1,1,2,1,1,1,NaN
18,22,1,2,2,1,1,1,NaN
19,32,2,2,2,2,1,1,NaN
20,19,2,2,1,2,1,1,NaN
21,67,1,1,2,1,1,1,NaN
22,105,1,2,1,1,1,1,NaN
23,53,2,2,1,2,1,1,NaN
24,5,1,2,1,1,1,1,NaN
25,69,1,2,1,1,1,1,NaN
26,87,1,1,2,1,1,1,NaN
27,83,1,1,1,1,1,1,NaN
28,9,1,1,2,1,2,1,0.649377630397794
29,12,1,1,1,1,1,1,NaN
30,109,1,2,2,1,1,1,NaN
31,36,2,1,2,2,1,1,NaN
32,95,1,1,1,1,1,1,NaN
33,57,2,2,2,2,1,1,NaN
34,16,1,1,2,1,1,1,NaN
35,94,2,2,2,2,1,1,NaN
36,2,1,1,2,1,1,1,NaN
37,24,1,1,2,1,1,1,NaN
38,92,2,1,1,2,1,1,NaN
39,85,1,2,2,1,1,1,NaN
40,52,1,2,1,1,1,1,NaN
41,41,2,1,1,2,1,1,NaN
42,70,2,2,2,2,1,1,NaN
43,93,1,2,2,1,1,1,NaN
44,62,1,1,2,1,1,1,NaN
45,49,1,2,2,1,2,1,0.615219221655934
46,44,2,2,2,2,1,1,NaN
47,100,2,1,1,2,1,1,NaN
48,71,1,1,2,1,1,1,NaN
49,11,2,2,2,2,1,1,NaN
50,37,1,2,1,1,1,1,NaN
