PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
1,8,2,2,2,2,1,1,NaN
2,97,2,2,1,2,1,1,NaN
3,18,1,1,2,1,1,1,NaN
4,48,2,2,2,2,2,1,0.319931366916535
5,87,2,1,1,2,1,1,NaN
6,26,2,2,2,2,1,1,NaN
7,74,1,2,2,1,1,1,NaN
8,94,1,1,2,1,1,1,NaN
9,16,1,2,2,1,1,1,NaN
10,106,2,2,1,2,1,1,NaN
11,110,2,2,1,2,1,1,NaN
12,80,1,1,2,1,1,1,NaN
13,30,1,1,1,1,2,1,0.341761264450724
14,47,2,1,2,2,1,1,NaN
15,36,2,2,2,2,1,1,NaN
16,73,2,1,2,2,1,1,NaN
17,54,2,2,1,2,1,1,NaN
18,53,1,2,1,1,1,1,NaN
19,91,2,1,2,2,1,1,NaN
20,102,1,1,2,1,1,1,NaN
21,100,1,2,2,1,1,1,NaN
22,109,1,2,1,1,1,1,NaN
23,71,2,2,1,2,1,1,NaN
24,33,2,2,1,2,2,1,0.400998123798672
25,89,2,2,2,2,1,1,NaN
26,83,2,2,1,2,1,1,NaN
27,44,1,2,2,1,1,1,NaN
28,7,1,2,2,1,1,1,NaN
29,72,1,1,2,1,1,1,NaN
30,108,2,1,2,2,1,1,NaN
31,86,1,1,1,1,1,1,NaN
32,98,1,1,1,1,1,1,NaN
33,13,1,1,1,1,1,1,NaN
34,82,1,2,1,1,1,1,NaN
35,61,1,2,2,1,1,1,NaN
36,81,2,1,2,2,1,1,NaN
37,5,1,1,2,1,1,1,NaN
38,60,2,1,2,2,1,1,NaN
39,77,2,1,2,2,1,1,NaN
40,101,2,2,2,2,1,1,NaN
41,31,2,2,1,2,1,1,NaN
42,32,1,1,1,1,1,1,NaN
43,4,2,2,2,2,1,1,NaN
44,79,2,2,1,2,1,1,NaN
45,12,2,2,2,2,1,1,NaN
46,10,2,1,1,2,1,1,NaN
47,37,1,1,1,1,1,1,NaN
48,70,1,2,2,1,1,1,NaN
49,40,1,2,1,1,1,1,NaN
50,90,1,1,2,1,1,1,NaN
51,88,1,2,2,1,1,1,NaN
52,28,2,1,2,2,1,1,NaN
53,78,1,2,2,1,1,1,NaN
54,85,1,2,1,1,2,1,0.371712880058112
55,95,2,1,1,2,1,1,NaN
56,76,1,1,1,1,1,1,NaN
57,29,1,2,2,1,1,1,NaN
58,1,1,1,2,1,1,1,NaN
59,104,1,1,1,1,2,1,0.335861078585367
60,2,2,1,2,2,1,1,NaN
61,19,2,1,1,2,1,1,NaN
62,49,1,2,2,1,1,1,NaN
63,20,2,1,1,2,2,1,0.338398969157424
64,63,1,1,2,1,1,1,NaN
65,46,1,1,2,1,1,1,NaN
66,24,2,1,2,2,1,1,NaN
67,67,1,1,1,1,1,1,NaN
68,11,1,2,2,1,1,1,NaN
69,84,2,1,2,2,2,1,0.706552305508922
70,107,1,1,1,1,1,1,NaN
71,55,1,1,2,1,1,1,NaN
72,45,2,2,2,2,1,1,NaN
73,14,2,1,2,2,2,1,0.349629251998522
74,50,2,2,2,2,1,1,NaN
75,34,2,1,2,2,1,1,NaN
76,22,2,2,1,2,1,1,NaN
77,64,2,1,1,2,1,1,NaN
78,23,1,1,2,1,1,1,NaN
79,69,1,1,2,1,2,1,0.326940709292103
80,99,2,1,1,2,1,1,NaN
81,15,2,1,1,2,1,1,NaN
82,96,1,2,1,1,1,1,NaN
83,6,2,1,2,2,1,1,NaN
84,66,2,2,2,2,1,1,NaN
85,57,1,2,1,1,1,1,NaN
86,35,1,2,1,1,1,1,NaN
87,58,2,2,2,2,1,1,NaN
88,56,2,1,2,2,1,1,NaN
89,9,1,1,1,1,1,1,NaN
90,52,2,1,1,2,1,1,NaN
91,3,1,2,1,1,1,1,NaN
92,103,2,1,1,2,1,1,NaN
93,25,1,2,1,1,1,1,NaN
94,75,2,2,1,2,1,1,NaN
95,43,2,1,1,2,1,1,NaN
96,41,2,2,1,2,1,1,NaN
97,27,1,1,2,1,1,1,NaN
98,68,2,1,1,2,1,1,NaN
99,42,1,1,1,1,1,1,NaN
100,92,1,2,1,1,1,1,NaN
101,59,1,1,2,1,1,1,NaN
102,93,2,2,2,2,1,1,NaN
103,65,1,2,1,1,1,1,NaN
104,51,1,1,1,1,1,1,NaN
105,105,1,2,1,1,1,1,NaN
106,62,2,2,2,2,1,1,NaN
107,21,1,2,1,1,1,1,NaN
108,39,1,2,2,1,2,1,0.471540477920826
109,38,2,1,2,2,1,1,NaN
110,17,2,2,2,2,1,1,NaN
111,141,1,2,1,1,1,1,NaN
112,128,2,1,2,2,1,1,NaN
113,125,2,2,1,2,1,1,NaN
114,144,1,2,2,1,2,1,0.349997702670407
115,181,1,1,1,1,1,1,NaN
116,151,1,2,1,1,1,1,NaN
117,204,1,1,2,1,1,1,NaN
118,209,2,1,1,2,1,1,NaN
119,192,1,2,2,1,1,1,NaN
120,137,1,2,1,1,1,1,NaN
121,154,2,1,2,2,1,1,NaN
122,185,2,2,1,2,1,1,NaN
123,176,2,2,2,2,1,1,NaN
124,148,1,1,2,1,1,1,NaN
125,135,1,1,1,1,1,1,NaN
126,117,2,1,1,2,1,1,NaN
127,158,2,1,2,2,1,1,NaN
128,197,1,2,1,1,1,1,NaN
129,120,2,2,2,2,1,1,NaN
130,113,2,1,1,2,1,1,NaN
131,131,1,1,1,1,1,1,NaN
132,169,1,1,2,1,1,1,NaN
133,136,2,1,1,2,1,1,NaN
134,112,2,1,1,2,2,1,0.600609714162601
135,201,2,1,2,2,1,1,NaN
136,216,1,1,2,1,1,1,NaN
137,220,2,2,1,2,1,1,NaN
138,198,2,2,1,2,1,1,NaN
139,212,1,1,1,1,1,1,NaN
140,218,2,1,1,2,1,1,NaN
141,165,1,1,2,1,1,1,NaN
142,140,2,1,1,2,1,1,NaN
143,122,1,1,1,1,2,1,0.455239974351571
144,219,1,2,1,1,1,1,NaN
145,194,2,2,2,2,1,1,NaN
146,188,1,2,2,1,1,1,NaN
147,167,1,2,1,1,1,1,NaN
148,180,2,2,1,2,1,1,NaN
149,133,1,2,1,1,1,1,NaN
150,126,1,1,1,1,1,1,NaN
151,199,1,1,1,1,1,1,NaN
152,162,2,1,2,2,1,1,NaN
153,179,1,2,2,1,1,1,NaN
154,213,2,1,1,2,1,1,NaN
155,173,1,1,1,1,1,1,NaN
156,186,1,1,1,1,1,1,NaN
157,215,2,2,1,2,1,1,NaN
158,155,1,2,1,1,1,1,NaN
159,124,1,2,1,1,1,1,NaN
160,187,2,1,2,2,1,1,NaN
161,138,2,2,2,2,1,1,NaN
162,182,1,2,1,1,2,1,0.378403230191907
163,127,1,2,2,1,2,1,0.398006327753137
164,146,1,2,2,1,1,1,NaN
165,203,2,2,2,2,1,1,NaN
166,174,2,1,2,2,1,1,NaN
167,115,2,2,1,2,1,1,NaN
168,150,2,1,2,2,1,1,NaN
169,132,2,1,1,2,1,1,NaN
170,153,1,1,1,1,1,1,NaN
171,149,2,2,1,2,2,1,0.450539374910477
172,139,1,1,1,1,1,1,NaN
173,183,2,1,1,2,1,1,NaN
174,205,2,1,1,2,1,1,NaN
175,161,1,1,2,1,1,1,NaN
176,166,2,1,1,2,1,1,NaN
177,164,2,2,1,2,1,1,NaN
178,193,1,1,2,1,2,1,0.427649193989055
179,156,2,2,2,2,1,1,NaN
180,206,1,2,2,1,1,1,NaN
181,170,2,1,2,2,1,1,NaN
182,123,2,1,2,2,1,1,NaN
183,152,2,2,2,2,1,1,NaN
184,134,2,2,1,2,1,1,NaN
185,129,1,2,1,1,1,1,NaN
186,159,1,2,1,1,1,1,NaN
187,142,2,2,1,2,1,1,NaN
188,210,1,2,1,1,1,1,NaN
189,196,2,1,2,2,1,1,NaN
190,195,1,1,2,1,1,1,NaN
191,189,2,2,1,2,1,1,NaN
192,171,1,2,1,1,1,1,NaN
193,178,2,1,2,2,1,1,NaN
194,190,1,1,1,1,1,1,NaN
195,168,2,2,1,2,1,1,NaN
196,147,2,2,2,2,1,1,NaN
197,175,1,2,2,1,1,1,NaN
198,172,2,2,1,2,1,1,NaN
199,177,1,1,2,1,1,1,NaN
200,200,2,2,1,2,2,1,0.502276697383422
201,121,1,1,2,1,1,1,NaN
202,207,2,2,1,2,1,1,NaN
203,184,1,2,1,1,1,1,NaN
204,217,2,2,2,2,2,1,0.312226094677499
205,163,1,2,1,1,1,1,NaN
206,208,1,1,1,1,1,1,NaN
207,191,2,1,1,2,1,1,NaN
208,111,1,1,1,1,1,1,NaN
209,143,1,1,1,1,1,1,NaN
210,157,1,1,2,1,1,1,NaN
211,116,1,1,2,1,1,1,NaN
212,160,2,2,1,2,1,1,NaN
213,118,2,1,1,2,2,1,0.463137519896918
214,214,1,2,2,1,1,1,NaN
215,119,1,2,2,1,1,1,NaN
216,130,2,2,1,2,1,1,NaN
217,202,1,2,1,1,1,1,NaN
218,145,2,1,2,2,1,1,NaN
219,211,2,2,2,2,1,1,NaN
220,114,1,2,1,1,1,1,NaN
221,319,2,1,2,2,1,1,NaN
222,324,1,2,1,1,1,1,NaN
223,307,1,2,1,1,1,1,NaN
224,312,2,2,2,2,1,1,NaN
225,283,2,2,1,2,1,1,NaN
226,326,2,2,2,2,1,1,NaN
227,278,1,2,1,1,1,1,NaN
228,310,2,1,2,2,1,1,NaN
229,223,2,1,1,2,1,1,NaN
230,264,1,1,2,1,1,1,NaN
231,280,1,1,1,1,1,1,NaN
232,303,2,2,2,2,1,1,NaN
233,257,2,1,2,2,1,1,NaN
234,301,2,1,2,2,1,1,NaN
235,323,2,1,1,2,1,1,NaN
236,267,2,2,1,2,1,1,NaN
237,272,1,1,1,1,1,1,NaN
238,285,2,1,1,2,1,1,NaN
239,277,2,1,2,2,1,1,NaN
240,294,1,1,1,1,2,1,0.677316227543997
241,229,2,2,1,2,1,1,NaN
242,239,1,1,1,1,1,1,NaN
243,329,1,2,1,1,1,1,NaN
244,316,2,2,2,2,1,1,NaN
245,243,1,1,2,1,1,1,NaN
246,292,2,2,2,2,1,1,NaN
247,295,1,1,1,1,1,1,NaN
248,221,1,1,1,1,1,1,NaN
249,258,1,2,2,1,1,1,NaN
250,269,2,1,2,2,1,1,NaN
251,327,1,1,2,1,1,1,NaN
252,304,1,1,2,1,1,1,NaN
253,275,2,2,1,2,1,1,NaN
254,286,1,2,2,1,1,1,NaN
255,262,1,2,1,1,1,1,NaN
256,254,1,2,2,1,1,1,NaN
257,297,2,1,1,2,2,1,0.384091827623706
258,222,2,1,2,2,2,1,0.400486565597021
259,225,2,2,1,2,1,1,NaN
260,260,1,1,1,1,1,1,NaN
261,253,2,1,1,2,1,1,NaN
262,227,2,1,1,2,1,1,NaN
263,242,2,2,1,2,1,1,NaN
264,279,2,2,1,2,1,1,NaN
265,284,1,1,1,1,1,1,NaN
266,224,1,2,1,1,1,1,NaN
267,248,1,2,1,1,2,1,0.376055564351191
268,274,1,2,2,1,1,1,NaN
