PresOrder,TrialNumber,Far_Close,Hallway,Perspective,Phase,Catch_Trial,Response,Response_Time
1,92,2,2,2,2,1,1,NaN
2,60,1,1,1,1,1,1,NaN
3,104,1,2,2,1,1,1,NaN
4,12,1,2,2,1,1,1,NaN
5,4,2,1,2,2,2,1,0.332301334038675
6,105,2,2,1,2,1,1,NaN
7,30,2,2,1,2,1,1,NaN
8,43,2,2,1,2,1,1,NaN
9,80,2,2,1,2,1,1,NaN
10,13,2,2,1,2,1,1,NaN
11,49,2,2,1,2,2,1,0.296275203453661
12,72,1,1,1,1,1,1,NaN
13,79,1,2,2,1,1,1,NaN
14,75,2,2,2,2,1,1,NaN
15,2,2,1,2,2,1,1,NaN
16,94,2,1,2,2,1,1,NaN
17,67,2,2,2,2,1,1,NaN
18,81,1,1,2,1,1,1,NaN
19,36,2,1,2,2,1,1,NaN
20,58,2,2,1,2,1,1,NaN
21,102,1,1,2,1,1,1,NaN
22,106,1,2,2,1,2,1,0.289229532875652
23,7,2,1,2,2,1,1,NaN
24,110,2,2,2,2,1,1,NaN
25,91,1,2,2,1,1,1,NaN
26,21,1,1,2,1,2,1,0.336652822131327
27,8,1,2,2,1,1,1,NaN
28,86,2,1,1,2,1,1,NaN
29,14,1,1,2,1,1,1,NaN
30,18,1,1,1,1,1,1,NaN
31,10,1,1,1,1,1,1,NaN
32,39,2,1,2,2,2,1,0.448425691368357
33,22,2,2,2,2,1,1,NaN
34,24,2,1,2,2,1,1,NaN
35,66,1,2,1,1,1,1,NaN
36,40,1,1,2,1,1,1,NaN
37,65,2,1,2,2,1,1,NaN
38,16,1,2,1,1,1,1,NaN
39,50,2,1,1,2,1,1,NaN
40,52,1,2,2,1,2,1,0.633230923573137
41,9,2,2,2,2,1,1,NaN
42,17,2,2,1,2,1,1,NaN
43,98,2,1,2,2,1,1,NaN
44,27,1,1,2,1,1,1,NaN
45,70,1,2,1,1,1,1,NaN
46,100,1,2,1,1,1,1,NaN
47,33,1,2,1,1,1,1,NaN
48,38,2,2,2,2,1,1,NaN
49,56,1,2,1,1,1,1,NaN
50,3,1,2,2,1,1,1,NaN
51,6,1,1,2,1,1,1,NaN
52,29,1,2,1,1,1,1,NaN
53,82,2,1,2,2,1,1,NaN
54,108,2,1,2,2,1,1,NaN
55,15,2,1,2,2,1,1,NaN
56,77,1,1,1,1,1,0,0.319217896911141
57,5,2,2,2,2,1,1,NaN
58,64,1,1,2,1,1,1,NaN
59,46,1,2,2,1,1,1,NaN
60,31,1,1,2,1,1,1,NaN
61,62,1,2,1,1,1,1,NaN
62,23,1,1,1,1,1,1,NaN
63,11,2,1,1,2,1,1,NaN
64,20,1,2,2,1,1,1,NaN
65,55,2,1,2,2,1,1,NaN
66,69,2,1,1,2,1,1,NaN
67,97,1,1,2,1,1,1,NaN
68,74,1,2,2,1,1,1,NaN
69,32,2,1,1,2,1,1,NaN
70,51,1,2,2,1,1,1,NaN
71,28,2,1,2,2,1,1,NaN
72,44,1,1,1,1,1,1,NaN
73,26,2,2,1,2,1,1,NaN
74,89,1,1,2,1,1,1,NaN
75,76,2,1,1,2,2,1,0.319745261329444
76,95,1,2,2,1,1,1,NaN
77,63,2,2,2,2,1,1,NaN
78,47,2,2,2,2,1,1,NaN
79,85,1,1,1,1,1,1,NaN
80,41,2,1,2,2,1,1,NaN
81,45,2,1,2,2,1,1,NaN
82,54,1,1,2,1,1,1,NaN
83,101,2,2,1,2,1,1,NaN
84,90,2,1,2,2,1,1,NaN
85,73,2,1,2,2,1,1,NaN
86,57,1,1,1,1,2,1,0.378245251964472
87,19,2,1,1,2,1,1,NaN
88,71,2,2,2,2,1,1,NaN
89,48,1,1,2,1,1,1,NaN
90,59,1,1,1,1,2,1,0.407603822309284
91,107,1,1,1,1,1,1,NaN
92,25,1,2,1,1,1,1,NaN
93,87,1,2,2,1,1,1,NaN
94,84,2,2,2,2,1,1,NaN
95,68,1,1,1,1,1,1,NaN
96,1,1,1,1,1,1,1,NaN
97,96,2,2,1,2,1,1,NaN
98,35,1,1,2,1,1,1,NaN
99,37,1,2,1,1,1,1,NaN
100,93,1,1,2,1,1,1,NaN
101,78,2,1,1,2,1,1,NaN
102,42,1,2,1,1,1,1,NaN
103,109,1,2,1,1,1,1,NaN
104,83,1,2,1,1,1,1,NaN
105,53,2,2,1,2,1,1,NaN
106,34,2,2,1,2,1,1,NaN
107,99,2,2,2,2,2,1,0.439150867195167
108,103,2,1,2,2,1,1,NaN
109,61,2,1,1,2,1,1,NaN
110,88,2,2,1,2,1,1,NaN
111,167,2,1,2,2,1,1,NaN
112,151,1,1,2,1,2,1,0.36613723415212
113,170,1,1,2,1,1,1,NaN
114,149,1,2,2,1,1,1,NaN
115,144,2,1,2,2,1,1,NaN
116,112,2,1,1,2,1,1,NaN
117,182,1,1,2,1,1,1,NaN
118,150,2,2,2,2,1,1,NaN
119,183,2,1,1,2,1,1,NaN
120,157,1,1,1,1,2,1,0.509491681572399
121,142,1,1,1,1,1,1,NaN
122,148,2,1,1,2,1,1,NaN
123,205,1,2,2,1,1,1,NaN
124,209,2,1,2,2,1,1,NaN
125,210,1,2,1,1,1,1,NaN
126,176,1,2,2,1,1,1,NaN
127,121,1,1,1,1,1,1,NaN
128,159,2,1,2,2,1,1,NaN
129,214,2,1,1,2,1,1,NaN
130,154,1,2,1,1,1,1,NaN
131,128,2,2,2,2,1,1,NaN
132,130,2,1,2,2,1,1,NaN
133,169,2,2,2,2,1,1,NaN
134,208,1,1,1,1,1,1,NaN
135,164,1,2,1,1,1,1,NaN
136,192,1,2,1,1,1,1,NaN
137,215,1,2,1,1,1,1,NaN
138,193,2,2,2,2,1,1,NaN
139,147,1,1,2,1,1,1,NaN
140,198,1,1,2,1,1,1,NaN
141,194,1,1,2,1,1,1,NaN
142,124,2,2,1,2,1,1,NaN
143,188,1,2,2,1,1,1,NaN
144,202,1,2,2,1,2,1,0.577396727882842
145,155,1,2,1,1,2,1,0.8117452425995
146,216,2,2,1,2,1,1,NaN
