CatchTime,CatchType,Accuracy,ResponseTime
2,2,1,0.0462929190252908
6,3,0,0
10,4,0,0
16,2,1,0.0417747659957968
40,1,1,0.0500999969663098
54,3,1,0.0701931499643251
56,4,1,0.0467851869761944
62,1,1,0.0593789910199121
70,4,1,0.0760057179722935
78,4,1,0.0160597080248408
82,3,0,0
88,4,1,0.0682295430451632
92,3,1,0.0152439750381745
96,1,1,0.0578616309794597
102,2,1,0.0750906789908186
104,1,1,0.0586155539494939
108,2,1,0.0209732849616557
112,2,1,0.0674299160018563
122,3,1,0.00598988600540906
126,1,1,0.0152529199840501
