CatchTime,CatchType,Accuracy,ResponseTime
6,4,1,0.0160248159663752
8,4,1,0.061533815052826
12,2,1,0.0433422530186363
28,4,1,0.0926217710366473
34,3,1,0.0684677439858206
40,1,1,0.0753254090086557
52,1,1,0.0498818019987084
54,4,1,0.0750655110459775
66,4,1,0.00604470499092713
80,3,1,0.0152697690064088
82,1,1,0.0987982210353948
86,1,1,0.0404191270354204
88,2,1,0.0207989870104939
100,2,1,0.0146457219962031
102,1,1,0.00389959994936362
108,3,0,0
110,3,1,0.0153035469702445
114,3,1,0.0216818819753826
126,2,1,0.0673196649877355
128,2,1,0.0149706559604965
