PresOrder,TrialNumber,ShapeNoShape,StairNum,BlockNum,TargetPosition,TargetLuminance,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,Stair_Update
1,49,1,1,1,1,1.65,2,2.79924269998446,4.19941649993416,3.5495320999762,1,1
2,12,2,2,1,2,1.65,1,1.37518740002997,2.47540190001018,2.12549420003779,1,1
3,103,1,2,1,1,1.65,2,0.0481905000051484,1.54821929999162,0.798220700002275,1,1
4,105,1,1,1,1,1.65,2,2.81001710006967,3.79337089997716,3.55976490001194,1,1
5,109,1,1,1,1,1.65,2,0.923401799984276,2.3567871999694,1.6734804000007,1,1
6,101,1,1,1,1,1.65,2,0.582767900079489,2.06615969992708,1.33275379997212,1,1
7,76,2,2,1,1,1.65,2,0.881470599910244,2.31483209994622,1.631519400049,1,1
8,118,2,1,1,1,1.65,2,1.10511260002386,2.12178970000241,1.85509149997961,1,1
9,117,1,1,1,2,1.65,1,0.763026500004344,2.29633109993301,1.51297929999419,1,1
10,138,2,3,1,2,1.65,1,0.791885199956596,1.99189429997932,1.54192510002758,1,1
11,132,2,3,1,2,1.65,1,0.647140300017782,2.14715660002548,1.39705810009036,1,1
12,92,2,2,1,2,1.65,1,0.566565999994054,1.61659759993199,1.31661059998441,1,1
13,44,2,2,1,2,1.65,1,0.412651299964637,1.579283600091,1.16268109995872,1,1
14,128,2,3,1,1,1.65,2,0.39871870004572,1.81539639993571,1.14876659994479,1,1
15,28,2,2,1,2,1.65,1,0.482775800046511,1.46611909999046,1.23257059999742,1,1
16,11,1,2,1,2,1.65,1,0.447484400006942,1.53080690000206,1.19752340007108,1,1
17,127,2,3,1,2,1.65,1,0.383491300046444,1.61680409999099,1.13353110000025,1,1
18,15,1,2,1,1,1.65,2,0.48061400000006,1.74744280008599,1.23088499996811,1,1
19,5,1,1,1,1,1.65,2,0.599923899979331,1.91679909999948,1.35016669996548,1,1
20,13,1,1,1,2,1.65,1,0.610937000019476,2.12764020008035,1.36079730000347,1,1
21,43,1,2,1,1,1.65,2,0.418237100006081,1.70157989999279,1.1682870000368,1,1
22,18,2,1,1,1,1.65,2,0.432185500045307,1.53221269999631,1.18222130008508,1,1
23,62,2,1,1,2,1.65,1,0.826700099976733,1.99367780005559,1.57701320003252,1,1
24,90,2,1,1,1,1.65,2,0.372977500082925,1.77298649994191,1.12302189995535,1,1
25,38,2,1,1,2,1.65,1,0.411868200055324,1.74522840010468,1.16191019990947,1,1
26,9,1,1,1,1,1.65,2,0.32370930002071,1.57373070006724,1.07375410001259,1,1
27,86,2,1,1,2,1.65,1,0.490654799970798,1.47401530004572,1.24046250001993,1,1
28,67,1,2,1,1,1.65,2,0.281962499953806,1.6819805999985,1.0320011000149,1,1
29,20,2,2,1,2,1.65,1,0.277454999973997,1.79407649999484,1.02735240000766,1,1
30,29,1,1,1,1,1.65,2,0.317329099983908,1.31734099995811,1.06734589999542,1,1
31,121,2,3,1,1,1.65,2,0.319533200003207,1.41955800005235,1.06953520001844,1,1
