PresOrder,TrialNumber,ShapeNoShape,StairNum,BlockNum,TargetPosition,TargetLuminance,Response,RespScreenOnset_to_Resp,ExpStartOnset_to_Resp,StimOnset_to_Resp,Accuracy,Stair_Update
1,37,1,1,1,1,0.99,2,0.708328960463405,1.80835100449622,1.47504440881312,0,1
2,66,2,1,1,2,0.99,1,0.235217665322125,1.80256199091673,1.00258787535131,0,1
3,77,1,1,1,2,0.88,2,0.0746769066900015,1.55803761817515,0.841268906369805,1,0
4,73,1,1,1,2,0.94,2,0.182622720487416,1.49932600837201,0.949325937777758,1,0
5,47,1,2,1,1,0.99,1,0.00133148487657309,1.45134250633419,0.768031572923064,1,0
6,33,1,1,1,1,0.96,1,0.195972550660372,1.396006683819,0.962668374180794,1,0
7,74,2,1,1,2,0.88,2,0.000366364605724812,1.31706936936826,0.767061333172023,1,0
8,21,1,1,1,2,1.01,1,0.125296355225146,1.34197617787868,0.892004408873618,1,1
9,102,2,1,1,2,0.94,1,0.181567430496216,1.34851783048362,0.948743679560721,0,1
10,80,2,2,1,1,0.99,1,0.336055750958622,1.3694011727348,1.10271743964404,1,0
11,62,2,1,1,2,0.92,1,0.323413617908955,1.59009792003781,1.09008810669184,0,1
12,3,1,2,1,2,1.08,1,0.000322559848427773,1.53366414271295,0.766993636265397,1,1
13,31,1,2,1,1,1.04,2,0.777654328383505,2.34451598208398,1.54474894236773,1,1
14,103,1,2,1,2,1.01,2,0.213872070424259,1.2138541508466,0.980492230504751,0,0
15,107,1,2,1,2,1.02,2,0.215437938459218,1.24878677353263,0.982099342159927,0,0
16,112,2,2,1,2,1.08,2,0.161829262040555,1.56181219499558,0.928492941893637,0,0
17,25,1,1,1,1,0.98,1,0.267194311134517,1.76719786692411,1.03386368043721,1,0
18,92,2,2,1,2,1.16,1,0.186094933189452,1.23608519043773,0.952728747390211,1,1
19,17,1,1,1,2,0.99,2,0.043972834944725,1.49396423157305,0.810639929026365,1,0
20,120,2,2,1,1,1.12,2,0.000310897827148438,1.46698439121246,0.766993920318782,1,1
21,5,1,1,1,2,1.01,2,0.143249635584652,1.32660650741309,0.909945458173752,0,0
22,98,2,1,1,2,0.88,2,0.388523234985769,1.40517973341048,1.15517553780228,1,0
23,11,1,2,1,2,1.04,1,0.188798862509429,1.48880014196038,0.95547107513994,1,1
24,115,1,2,1,2,1.02,2,0.130548337474465,1.68052963539958,0.897251270711422,0,0
25,49,1,1,1,2,1.04,2,0.0553662581369281,1.48869461379945,0.822032498195767,0,0
26,53,1,1,1,2,1.12,2,0.22852551098913,1.32851911056787,0.995196302421391,0,0
27,99,1,2,1,1,1.04,2,0.177921137772501,1.51124536897987,0.944580551236868,1,1
28,52,2,2,1,2,1.08,2,0.173968497663736,1.59058005362749,0.940620799548924,0,0
29,12,2,2,1,2,1.12,2,0.205323377624154,1.73873294238001,0.971932728774846,0,0
30,134,2,3,1,2,1.2,2,0.303264142014086,1.33662151079625,1.06997873727232,0,0
31,128,2,3,1,1,1.2,2,0.176595626398921,1.32659029401839,0.943287182599306,1,1
32,9,1,1,1,2,1.16,2,8.02139164414257,9.42133845295757,8.78805447090417,0,0
33,46,2,1,1,1,0.92,1,0.391417457722127,1.40811235550791,1.15807288885117,1,0
34,51,1,2,1,1,1.02,2,0.478031360544264,1.62801180500537,1.24473799113184,1,1
35,104,2,2,1,1,1.12,2,0.268589227460325,1.28525368869305,1.03522872924805,1,1
36,44,2,2,1,1,1.12,2,0.137853154912591,1.62116778735071,0.904508871026337,1,1
37,15,1,2,1,2,1.02,2,0.236620800569654,1.71992945764214,1.00327708479017,0,0
38,129,2,3,1,1,1.2,2,0.0448315730318427,1.29487758222967,0.81151516456157,1,1
39,18,2,1,1,1,0.92,1,0.257960959337652,1.35796536877751,1.02460472844541,1,0
40,79,1,2,1,1,1.02,2,0.000349582172930241,1.56695068441331,0.766991928219795,1,1
41,64,2,2,1,2,1.12,2,0.163477902300656,1.28016241826117,0.93016860447824,0,0
42,67,1,2,1,1,1.01,2,0.158694684505463,1.39200796466321,0.925337600521743,1,1
43,93,1,1,1,1,1.16,2,0.0675666490569711,1.28420408908278,0.834216959774494,1,1
44,121,2,3,1,1,0.8,2,0.248516551218927,1.73186616878957,1.0152237508446,0,1
