CatchTime,CatchType,Accuracy,ResponseTime
16,1,1,0.041477307677269
22,3,0,0
30,4,0,0
36,4,0,0
38,4,0,0
40,2,1,0.0890650562942028
58,3,0,0
68,3,0,0
72,2,1,0.0145988455042243
74,1,1,0.0574313420802355
82,4,0,0
90,4,0,0
96,1,1,0.0646547703072429
98,4,0,0
104,3,0,0
108,2,1,0.0381547044962645
114,2,1,0.104620652273297
116,3,0,0
120,4,0,0
122,4,0,0
124,1,1,0.0989295924082398
130,2,1,0.0745514221489429
144,1,1,0.0145373214036226
150,4,0,0
168,3,0,0
172,2,1,0.0883468259125948
178,4,0,0
182,2,1,0.0484932865947485
186,1,0,0
192,2,1,0.0921206176280975
198,3,0,0
206,1,1,0.00106389448046684
212,3,0,0
218,2,1,0.100139085203409
224,1,1,0.0872138543054461
232,2,0,0
234,1,1,0.0119285061955452
238,3,0,0
244,1,1,0.0485805822536349
246,3,0,0
