CatchTime,CatchType,Accuracy,ResponseTime
2,1,1,0.0131251653656363
4,4,0,0
8,3,0,0
10,2,1,0.0455143852159381
16,4,0,0
18,3,0,0
26,2,1,0.0520552759990096
34,2,1,0.0651441514492035
36,1,1,0.0783209567889571
38,2,1,0.0994176892563701
40,1,1,0.0228522345423698
42,2,1,0.0173422563821077
50,2,1,0.0276670409366488
74,4,0,0
76,3,0,0
82,4,0,0
86,1,1,0.00113018322736025
90,1,1,0.0199204450473189
102,3,0,0
110,4,0,0
120,4,0,0
134,2,1,0.00108463224023581
136,4,0,0
140,3,0,0
154,3,0,0
170,3,0,0
172,1,1,0.0724211540073156
176,1,1,0.0065233800560236
178,1,1,0.0382602224126458
184,3,0,0
186,1,1,0.00106182880699635
190,1,1,0.0996095901355147
192,4,0,0
194,4,0,0
200,3,0,0
214,2,1,0.0280567770823836
220,2,1,0.00107200164347887
232,4,0,0
242,2,1,0.00382865313440561
248,3,0,0
