CatchTime,CatchType,Accuracy,ResponseTime
2,3,0,0
4,2,1,0.0655636430019513
8,4,0,0
10,1,1,0.0914611450280063
14,3,0,0
16,3,0,0
20,4,0,0
28,1,1,0.00117743102600798
30,3,0,0
38,1,1,0.0543382709729485
40,2,1,0.0199317979859188
42,3,0,0
44,3,0,0
56,1,1,0.0303322579711676
74,3,0,0
76,2,1,0.00121352000860497
80,2,1,0.0503248689929023
90,2,1,0.0147104210336693
98,4,0,0
100,1,1,0.0408111939905211
112,1,1,0.0438414220116101
122,2,1,0.0420031700050458
132,4,0,0
134,4,0,0
156,4,0,0
160,4,0,0
174,1,1,0.0859774859854952
180,4,0,0
186,4,0,0
190,3,0,0
194,4,0,0
198,2,1,0.0253435199847445
204,1,1,0.00105492101283744
212,1,1,0.0146876550279558
216,3,0,0
224,2,1,0.111941031005699
228,3,0,0
232,1,1,0.0789581459830515
234,2,1,0.00938477297313511
242,2,1,0.0406585779855959
