CatchTime,CatchType,Accuracy,ResponseTime
2,3,0,0
10,3,0,0
18,3,0,0
28,1,1,0.0983330649323761
32,2,1,0.00149154616519809
38,4,0,0
44,4,0,0
52,3,0,0
56,4,0,0
66,1,1,0.095292204990983
68,2,1,0.00657289288938046
74,1,1,0.0760209248401225
76,4,0,0
78,4,0,0
84,3,0,0
90,3,0,0
96,2,1,0.0623425957746804
98,2,1,0.00942204799503088
106,4,0,0
112,2,0,0
118,1,1,0.0332771688699722
120,2,1,0.00106422416865826
124,3,0,0
126,2,1,0.0978034916333854
150,2,1,0.0738439201377332
152,2,1,0.0443377667106688
166,4,0,0
170,1,1,0.100816258694977
184,1,0,0
186,4,0,0
192,3,0,0
198,1,1,0.113944608252496
210,2,1,0.0867437492124736
218,4,0,0
226,3,0,0
228,1,1,0.0975279780104756
236,1,1,0.0547714508138597
240,3,0,0
242,1,1,0.0710082501173019
248,4,0,0
