CatchTime,CatchType,Accuracy,ResponseTime
20,3,0,0
30,1,1,0.0152443839999705
32,4,0,0
34,4,0,0
46,4,0,0
50,3,0,0
54,4,0,0
56,2,1,0.11652182399996
60,3,0,0
72,4,0,0
74,4,0,0
78,1,1,0.0814117779999606
80,2,1,0.00105675899999369
84,2,1,0.0438277319999543
86,1,1,0.0944262099999378
90,4,0,0
94,3,0,0
100,1,1,0.105344910999975
110,3,0,0
116,1,1,0.0550008180000532
122,1,1,0.00103206299991143
138,1,1,0.0710972850000644
140,2,1,0.0442427410000619
142,3,0,0
156,1,1,0.0128169930000013
158,4,0,0
166,2,1,0.0359233289999565
168,2,1,0.0361238970000386
172,3,0,0
184,3,0,0
194,3,0,0
198,2,1,0.0227249700000129
206,1,1,0.0969243030000371
208,3,0,0
216,1,1,0.077069872999914
218,2,1,0.0975470010000663
220,4,0,0
230,4,0,0
236,2,1,0.0280416179999747
242,2,1,0.112571327000069
