CatchTime,CatchType,Accuracy,ResponseTime
2,4,0,0
4,2,1,0.105423781089485
8,2,1,0.00608426705002785
10,4,0,0
22,3,0,0
30,4,0,0
32,2,1,0.101331353187561
42,2,1,0.0495878886431456
46,1,1,0.0410845335572958
56,2,1,0.0625779274851084
58,3,0,0
68,2,1,0.0486495522782207
70,2,1,0.00606581941246986
76,4,0,0
94,1,1,0.00612014438956976
98,3,0,0
100,3,0,0
106,2,1,0.101339393295348
108,4,0,0
112,3,0,0
128,3,0,0
134,1,1,0.058100463822484
146,4,0,0
150,1,1,0.0927454819902778
152,3,0,0
156,4,0,0
162,1,1,0.0239659398794174
176,1,1,0.015043780207634
196,4,0,0
198,1,1,0.0411083661019802
200,3,0,0
212,2,1,0.041147792711854
214,4,0,0
228,2,1,0.00606401450932026
230,1,1,0.0323974061757326
232,1,1,0.0149350520223379
242,4,0,0
244,1,1,0.0494682174175978
246,3,0,0
248,3,0,0
