CatchTime,CatchType,Accuracy,ResponseTime
8,1,1,0.0775052819808479
14,3,0,0
16,2,0,0
18,1,1,0.0508148419903591
28,4,0,0
30,1,1,0.104031037015375
36,3,0,0
40,2,1,0.00478607398690656
62,1,1,0.00621227800729685
66,2,1,0.00625967301311903
68,4,0,0
70,4,0,0
74,4,0,0
76,1,1,0.0060314740112517
80,3,0,0
82,3,0,0
86,2,1,0.0328330149932299
90,4,0,0
100,3,0,0
104,3,0,0
106,4,0,0
112,4,0,0
118,2,1,0.00606392900226638
136,1,1,0.0224972410069313
144,1,1,0.0516333029954694
146,3,0,0
154,3,0,0
170,3,0,0
178,1,1,0.0950879069860093
180,2,1,0.0512637450010516
198,2,1,0.0682998059783131
202,4,0,0
204,2,1,0.050831274013035
210,1,1,0.0151785130146891
222,3,0,0
228,2,1,0.0952257349854335
234,4,0,0
240,2,1,0.0682191579835489
242,4,0,0
248,1,1,0.0860649399983231
