Scenario - SSVEP
Logfile written - 09/13/2021 11:01:15

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

KS_Pilot	2	Response	1	698799	637813	1
KS_Pilot	3	Picture	Pic1:3:grating1_cont1_or1,grating0, fix:1	712637	0	1	4947	1	0	next	other	0
KS_Pilot	3	Picture	Pic2:30:grating1_cont1_or1,grating0, fix:3	717584	4947	1	1767	1	4540	next	other	0
KS_Pilot	3	Picture	Pic3:0:grating1_cont1_or1,grating0, fix:1	719350	6713	1	1767	1	5890	next	other	0
KS_Pilot	3	Picture	Pic4:0:grating1_cont1_or1,grating0, fix:1	721117	8480	1	1767	1	7240	next	other	0
KS_Pilot	3	Picture	Pic5:0:grating1_cont1_or1,grating0, fix:1	722883	10246	1	1767	1	8590	next	other	0
KS_Pilot	3	Picture	Pic6:0:grating1_cont1_or1,grating0, fix:1	724650	12013	1	1884	1	9940	next	other	0
KS_Pilot	3	Picture	Pic7:0:grating1_cont1_or1,grating0, fix:1	726535	13898	1	1767	1	11290	next	other	0
KS_Pilot	3	Picture	Pic8:0:grating1_cont1_or1,grating0, fix:1	728301	15664	1	1767	1	12640	next	other	0
KS_Pilot	3	Picture	Pic9:0:grating1_cont1_or1,grating0, fix:1	730068	17431	1	1767	1	13990	next	other	0
KS_Pilot	3	Picture	Pic10:0:grating1_cont1_or1,grating0, fix:1	731834	19197	1	1767	1	15340	next	other	0
KS_Pilot	3	Picture	Pic11:0:grating1_cont1_or1,grating0, fix:1	733601	20964	1	1767	1	16690	next	other	0
KS_Pilot	3	Picture	Pic12:0:grating1_cont1_or1,grating0, fix:1	735368	22731	1	1767	1	18040	next	other	0
KS_Pilot	3	Picture	Pic13:0:grating1_cont1_or1,grating0, fix:1	737134	24497	1	1767	1	19390	next	other	0
KS_Pilot	3	Picture	Pic14:5:grating1_cont1_or1,grating0, fix:2	738901	26264	1	1767	1	20740	next	other	0
KS_Pilot	3	Picture	Pic15:0:grating1_cont1_or1,grating0, fix:1	740668	28031	1	1767	1	22090	next	other	0
KS_Pilot	3	Picture	Pic16:0:grating1_cont1_or1,grating0, fix:1	742434	29797	1	1767	1	23440	next	other	0
KS_Pilot	3	Picture	Pic17:0:grating1_cont1_or1,grating0, fix:1	744201	31564	1	1767	1	24790	next	other	0
KS_Pilot	3	Response	2	744430	31793	1
KS_Pilot	3	Picture	Pic18:0:grating1_cont1_or1,grating0, fix:1	745968	33331	1	1649	1	26140	next	other	0
KS_Pilot	4	Picture	Pic1:3:grating1_cont4_or1,grating0, fix:1	762220	0	1	5535	1	0	next	other	0
KS_Pilot	4	Picture	Pic2:13:grating1_cont4_or1,grating0, fix:3	767756	5535	1	1413	1	5520	next	other	0
KS_Pilot	4	Picture	Pic3:0:grating1_cont4_or1,grating0, fix:1	769169	6949	1	1413	1	6870	next	other	0
KS_Pilot	4	Picture	Pic4:0:grating1_cont4_or1,grating0, fix:1	770583	8362	1	1413	1	8220	next	other	0
KS_Pilot	4	Picture	Pic5:0:grating1_cont4_or1,grating0, fix:1	771996	9775	1	1413	1	9570	next	other	0
KS_Pilot	4	Picture	Pic6:0:grating1_cont4_or1,grating0, fix:1	773409	11189	1	1413	1	10920	next	other	0
KS_Pilot	4	Picture	Pic7:0:grating1_cont4_or1,grating0, fix:1	774822	12602	1	1413	1	12270	next	other	0
KS_Pilot	4	Picture	Pic8:0:grating1_cont4_or1,grating0, fix:1	776236	14015	1	1413	1	13620	next	other	0
KS_Pilot	4	Picture	Pic9:0:grating1_cont4_or1,grating0, fix:1	777649	15429	1	1413	1	14970	next	other	0
KS_Pilot	4	Picture	Pic10:0:grating1_cont4_or1,grating0, fix:1	779062	16842	1	1413	1	16320	next	other	0
KS_Pilot	4	Picture	Pic11:0:grating1_cont4_or1,grating0, fix:1	780476	18255	1	1413	1	17670	next	other	0
KS_Pilot	4	Picture	Pic12:0:grating1_cont4_or1,grating0, fix:1	781889	19669	1	1413	1	19020	next	other	0
KS_Pilot	4	Picture	Pic13:0:grating1_cont4_or1,grating0, fix:1	783302	21082	1	1413	1	20370	next	other	0
KS_Pilot	4	Picture	Pic14:0:grating1_cont4_or1,grating0, fix:1	784716	22495	1	1413	1	21720	next	other	0
KS_Pilot	4	Picture	Pic15:0:grating1_cont4_or1,grating0, fix:1	786129	23908	1	1413	1	23070	next	other	0
KS_Pilot	4	Picture	Pic16:0:grating1_cont4_or1,grating0, fix:1	787542	25322	1	1413	1	24420	next	other	0
KS_Pilot	4	Picture	Pic17:0:grating1_cont4_or1,grating0, fix:1	788956	26735	1	1413	1	25770	next	other	0
KS_Pilot	4	Picture	Pic18:0:grating1_cont4_or1,grating0, fix:1	790369	28148	1	1413	1	27120	next	other	0
KS_Pilot	4	Picture	Pic19:0:grating1_cont4_or1,grating0, fix:1	791782	29562	1	1531	1	28470	next	other	0
KS_Pilot	4	Picture	Pic20:4:grating1_cont4_or1,grating0, fix:1	793313	31093	1	4475	1	29820	next	other	0
KS_Pilot	5	Picture	Pic1:3:grating2_cont4_or1,grating2_cont1_or1, fix:1	812746	0	1	4947	1	0	next	other	0
KS_Pilot	5	Picture	Pic2:31:grating2_cont4_or1,grating2_cont1_or1, fix:3	817693	4947	1	1413	1	4890	next	other	0
KS_Pilot	5	Picture	Pic3:5:grating2_cont4_or1,grating2_cont1_or1, fix:2	819106	6360	1	1413	1	6240	next	other	0
KS_Pilot	5	Picture	Pic4:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	820519	7773	1	1413	1	7590	next	other	0
KS_Pilot	5	Picture	Pic5:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	821933	9187	1	1413	1	8940	next	other	0
KS_Pilot	5	Picture	Pic6:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	823346	10600	1	1413	1	10290	next	other	0
