Scenario - SSVEP
Logfile written - 02/09/2021 13:36:51

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

MPS_Pilot	2	Response	1	427945	366395	1
MPS_Pilot	3	Picture	Pic1:3:grating1_cont3_or2,grating0, fix:1	440895	0	193	4470	420	0	next	other	0
MPS_Pilot	3	Picture	Pic2:17:grating1_cont3_or2,grating0, fix:3	445365	4470	227	1350	439	4470	next	other	0
MPS_Pilot	3	Picture	Pic3:0:grating1_cont3_or2,grating0, fix:1	446715	5820	212	1350	408	5820	next	other	0
MPS_Pilot	3	Picture	Pic4:0:grating1_cont3_or2,grating0, fix:1	448065	7170	196	1350	377	7170	next	other	0
MPS_Pilot	3	Picture	Pic5:0:grating1_cont3_or2,grating0, fix:1	449415	8520	181	1514	183	8520	next	other	0
MPS_Pilot	3	Picture	Pic6:0:grating1_cont3_or2,grating0, fix:1	450929	10034	2	1502	3	9870	next	other	0
MPS_Pilot	3	Picture	Pic7:0:grating1_cont3_or2,grating0, fix:1	452431	11536	1	1501	3	11220	next	other	0
MPS_Pilot	3	Picture	Pic8:0:grating1_cont3_or2,grating0, fix:1	453932	13037	2	1502	3	12570	next	other	0
MPS_Pilot	3	Picture	Pic9:0:grating1_cont3_or2,grating0, fix:1	455434	14539	1	1501	2	13920	next	other	0
MPS_Pilot	3	Picture	Pic10:0:grating1_cont3_or2,grating0, fix:1	456935	16040	1	1502	2	15270	next	other	0
MPS_Pilot	3	Picture	Pic11:0:grating1_cont3_or2,grating0, fix:1	458437	17542	1	1501	2	16620	next	other	0
MPS_Pilot	3	Picture	Pic12:0:grating1_cont3_or2,grating0, fix:1	459938	19043	1	1502	2	17970	next	other	0
MPS_Pilot	3	Picture	Pic13:0:grating1_cont3_or2,grating0, fix:1	461440	20545	1	1501	2	19320	next	other	0
MPS_Pilot	3	Picture	Pic14:0:grating1_cont3_or2,grating0, fix:1	462941	22046	1	1501	3	20670	next	other	0
MPS_Pilot	3	Picture	Pic15:0:grating1_cont3_or2,grating0, fix:1	464442	23547	2	1502	3	22020	next	other	0
MPS_Pilot	3	Picture	Pic16:0:grating1_cont3_or2,grating0, fix:1	465944	25049	1	1501	3	23370	next	other	0
MPS_Pilot	3	Picture	Pic17:0:grating1_cont3_or2,grating0, fix:1	467445	26550	2	1502	3	24720	next	other	0
